|0|1|2|3|sum
Maytenus|5.03607094544422e-18|6.463453179877492e-13|0.7019172970481328|0.0003380401111244771|0.7022553371599036
Lamiaceae|0.45308153653146854|0.1304827904044181|0.034211267880800374|0.005489439399566107|0.6232650342162532
Asphodellus|5.03607094544422e-18|6.463453179877492e-13|3.1013999121076793e-14|0.5416800986003409|0.5416800986010183
Poaceae|0.024216645015762248|0.2857584538977803|0.1126325336413352|0.09939953395609599|0.5220071665109738
Leguminosae|0.3775512093860757|0.04057486621998003|0.06954462014066329|0.00199627190565972|0.48966696765237877
Apiaceae|0.10532176064759281|0.27944467683770086|0.09229450021770684|0.0006747177864025539|0.47773565548940305
Indigofera|0.3188795204035495|0.11701422410556704|0.03611928651054238|0.0011898630109376754|0.47320289403059657
Acanthus|0.3198625195375347|0.11105998040392119|0.03937890358732486|0.00017406089646745024|0.4704754644252482
Combretum|0.2823101220666862|0.13594855745823162|0.034940953744376696|0.0005727247306505705|0.45377235799994503
Aloe|0.21787169529366937|0.224891352409861|0.001350871193448235|0.004285457055881049|0.44839937595285967
Erica|0.3320634722030331|0.10947072169635598|1.2095459657219946e-12|0.003676152974383234|0.44521034687498184
Anthyllis|0.05810535664513563|0.2043268730457329|0.06589202258676632|0.10068653528842703|0.42901078756606187
Planceolata|5.03607094544422e-18|6.463453179877492e-13|3.1013999121076793e-14|0.41996948999755085|0.4199694899982282
Saussurea|0.15333671756841694|0.23902309420403234|0.01103541455228328|0.005859858444489105|0.4092550847692217
Juniperus|0.02508377396505585|0.09796710488649504|0.2714282265469748|0.0015146987987323145|0.39599380419725805
Olea|0.1658700675987249|0.1448152443897484|0.041385339780740056|0.01881376363958395|0.3708844154087973
Justicia|0.05036061281373442|0.25698982537244536|0.05369239799332107|0.00032993982001330873|0.3613727759995142
Solanum|5.03607094544422e-18|0.03125957039231477|0.3269296089544929|2.8168562079380025e-19|0.3581891793468077
Anthospermum|0.11900304190365393|0.21194498643531187|0.015984242924614964|0.005364049218009844|0.35229632048159065
Heliotropium|0.028675355314143988|0.17920255597410178|0.04027630801739152|0.10034645450117677|0.34850067380681404
Asteraceae|0.10472767305343807|0.19145618871546113|0.040943010144566916|0.0021843452661830087|0.3393112171796491
Galium|0.24747335247692265|0.05403943494219832|0.02745733730547891|0.0018065251858157545|0.3307766499104156
Hagenia|0.007465301665381314|0.032922235160720716|0.2860855229104531|0.0021508541983546784|0.3286239139349098
Hypericum|5.03607094544422e-18|0.18570191663802113|0.12427584905282554|0.005697829552329809|0.3156755952431765
Ephedra|0.11065307651660246|0.17299007885118778|0.023400921896692163|0.0008210073345138244|0.30786508459899625
Celastraceae|5.03607094544422e-18|6.463453179877492e-13|3.1013999121076793e-14|0.2931313431534904|0.2931313431541677
Buxus|5.03607094544422e-18|6.463453179877492e-13|3.1013999121076793e-14|0.2931313431534904|0.2931313431541677
Senecio|0.052160454575564424|0.06632683700234829|0.17274013111073022|0.0011088750405174978|0.2923362977291604
Tamarindus|5.03607094544422e-18|6.463453179877492e-13|3.1013999121076793e-14|0.287377576620757|0.28737757662143437
Teclea|5.03607094544422e-18|0.08852500003528108|0.01573210856696751|0.17979875820358884|0.28405586680583744
Asteroideae|0.0767838634936056|0.19863525478520616|3.1013999121076793e-14|0.0029706193678073643|0.27838973764665015
Myrsine|5.03607094544422e-18|0.21586756056278003|0.03532380962887432|0.02003084401082574|0.27122221420248005
Blepharis|5.03607094544422e-18|0.17107063354689764|0.08159186549684658|0.0017192108354514369|0.25438170987919567
Podocarpus|0.07650995768635578|0.020435253630227933|3.1013999121076793e-14|0.15620897117914037|0.2531541824957551
Urticaceae|0.0012328835540221154|0.025169042215026634|0.22478528984111312|0.001310998992184482|0.2524982146023464
Cerealia|5.03607094544422e-18|6.463453179877492e-13|3.1013999121076793e-14|0.24353300794017257|0.24353300794084995
Iridaceae|5.03607094544422e-18|0.2226392338665164|0.01034963115835407|0.0003211159185462006|0.23330998094341668
Kohautia|5.03607094544422e-18|0.08321358033453773|0.04237427765400569|0.0997294737761093|0.2253173317646527
Hypoestes|0.0017283623535564886|0.05851398948820053|0.058284633962009884|0.09939953395609599|0.21792651975986288
Commiphora|5.03607094544422e-18|0.2065257336804784|3.1013999121076793e-14|9.419111575467274e-05|0.2066199247962641
Psydrax|5.03607094544422e-18|6.463453179877492e-13|3.1013999121076793e-14|0.2022322823685399|0.20223228236921728
Brassicaceae|0.0008320642297330464|0.051000455442624756|0.1383901312007714|0.0017956089908739079|0.19201825986400312
Rubiaceae|0.02508377396505585|0.12195511923392655|0.03866663273799912|0.004562491181002775|0.19026801711798427
Myrica|0.15967951409240647|0.00223742976169708|3.1013999121076793e-14|0.0017430404130061449|0.1636599842671407
Euclea|0.008632039626192831|0.15245978603726537|0.001350871340764731|8.461568663076004e-23|0.16244269700422292
Ricinus|5.03607094544422e-18|6.463453179877492e-13|3.1013999121076793e-14|0.16170182815676068|0.16170182815743805
Rhus|5.03607094544422e-18|0.07701052755590031|0.08391676686840838|0.0006258137133440503|0.16155310813765275
Cassia|0.0035915813490881385|0.11038000774981878|0.0364145301527625|0.0014203439396567703|0.15180646319132618
Tribulus|5.03607094544422e-18|0.005367975014311759|0.13217815780009254|2.2846235390305218e-21|0.1375461328144043
Phyllantus|5.03607094544422e-18|6.463453179877492e-13|3.1013999121076793e-14|0.13650918553246238|0.13650918553313976
Jasminum|0.00256042658328953|0.020435253630227933|0.009783821098720188|0.10047536436591446|0.13325486567815212
Alchemilla|0.004153162482313087|0.10531857038113711|0.0170773197243086|0.0014769301698655236|0.1280259827576243
Caryophylaceae|0.017944376959153876|0.09490200557595714|6.202799824215358e-13|0.0018398581704754968|0.1146862407062068
Swertia|0.013791214476840957|0.045547936167487015|0.0523264485765106|0.00019321852152609287|0.11185881774236467
Capparidaceae|0.013791214476840794|0.05460491723003314|0.037667486388181036|0.0005249659645824186|0.10658858405963738
Polygonum|5.03607094544422e-18|6.463453179877492e-13|3.1013999121076793e-14|0.10134984287800865|0.10134984287868601
Chenopodiaceae|8.651904003903887e-08|0.010109352386025816|0.08560618156598333|2.2846235390305218e-21|0.09571562047104919
Artemisia|2.8302718713396517e-15|0.010670226264706999|0.07986765600555779|0.0002712639703733387|0.09080914624064096
Euphorbia|1.7122641214510346e-16|0.028993958016327107|0.0373734532912287|0.02336433653002514|0.08973174783758112
Dobera|5.03607094544422e-18|0.08511378999690604|3.1013999121076793e-14|0.00345256911963724|0.08856635911657429
Cichoroideae|0.024216645015731775|0.04658634435539068|0.013761947196676885|9.643040692579163e-05|0.08466136697472512
Plantago|5.03607094544422e-18|6.463453179877492e-13|0.08395473657839318|8.461568663076004e-23|0.08395473657903953
Euphorbiacea|5.03607094544422e-18|6.463453179877492e-13|0.0791822024256913|0.004168315943618487|0.08335051836995612
Clematis|5.03607094544422e-18|0.06204761426483292|0.004609805474058697|8.461568663076004e-23|0.06665741973889162
Securinega|8.651904003903886e-08|0.06406677989585616|3.1013999121076793e-14|8.461568663076004e-23|0.06406686641492722
Rapanea|5.03607094544422e-18|0.006618262711216118|0.052784962710511925|0.0010523745499341098|0.06045559997166215
Schefflera|5.03607094544422e-18|0.013873807306320117|0.006551199363390214|0.0371096515763664|0.05753465824607674
Ekebergia|5.03607094544422e-18|0.0053679750052629234|0.04774463579608896|0.002421004393732797|0.05553361519508468
Alchornea|5.03607094544422e-18|6.463453179877492e-13|0.04774463579608896|0.002421004393732797|0.050165640190468104
Carduus|5.03607094544422e-18|6.463453179877492e-13|0.04697130435938765|0.0002771032238485213|0.047248407583882525
Celtis|5.03607094544422e-18|0.01327330987167963|0.0231989882990066|0.004256122363939677|0.040728420534625914
Macaranga|5.03607094544422e-18|0.016389013969969883|3.1013999121076793e-14|0.019739415424011728|0.03612842939401263
Zanthoxylum|5.03607094544422e-18|0.025447044337944418|1.2095459657219946e-12|0.0010480574012868235|0.026495101740440792
Vernonia|5.03607094544422e-18|0.012084941205001714|0.004609805451077323|0.00570752026387182|0.022402266919950863
Dodonaea|1.7122641214510346e-16|9.69517976981624e-12|0.022361285968472266|8.461568663076004e-23|0.022361285978167618
Rumex|5.03607094544422e-18|6.463453179877492e-13|3.1013999121076793e-14|0.018930116201489298|0.018930116202166662
Acalypha|5.03607094544422e-18|0.015313499213702708|0.0013508713295686773|0.0012714612833709452|0.017935831826642337
Lannea|5.03607094544422e-18|0.006509431237818146|3.1013999121076793e-14|0.004528386666086852|0.011037817903936018
Rosa|5.03607094544422e-18|6.463453179877492e-13|0.01103541455228328|2.9784721694027544e-20|0.011035414552929631
Acacia|5.03607094544422e-18|0.008624747094929958|3.1013999121076793e-14|8.461568663076004e-23|0.008624747094960977
Cussonia|5.03607094544422e-18|0.006361870196463029|3.1013999121076793e-14|0.00033804011112447736|0.006699910307618526
Brucea|5.03607094544422e-18|6.463453179877492e-13|3.1013999121076793e-14|2.2846235390305218e-21|6.77364355464395e-13
Allophylus|5.03607094544422e-18|6.463453179877492e-13|3.1013999121076793e-14|8.461568663076004e-23|6.77364353264387e-13
