depth	min	max	median	mean
1	-63	117	48	43
2	-52	117	52	48
3	-38	118	57	53
4	-28	119	61	57
5	-17	121	66	62
6	-8	124	71	67
7	2	127	75	72
8	11	129	80	76
9	19	130	85	81
10	27	134	91	86
11	32	140	95	91
12	43	146	102	97
13	49	152	108	103
14	53	161	115	110
15	57	172	121	116
16	59	182	126	122
17	62	191	132	128
18	65	200	137	135
19	67	211	143	141
20	70	220	148	147
21	72	231	153	153
22	82	233	158	159
23	91	236	164	164
24	96	239	171	170
25	100	242	176	176
26	105	245	183	181
27	109	249	189	187
28	113	254	195	193
29	116	258	201	198
30	120	264	206	204
31	123	272	211	209
32	139	275	227	221
33	154	280	245	232
34	170	287	260	244
35	177	307	269	255
36	181	332	277	267
37	187	359	284	278
38	191	386	292	290
39	194	415	300	301
40	198	443	309	313
41	200	472	318	324
42	220	477	333	339
43	237	485	348	353
44	253	495	365	368
45	270	504	382	382
46	284	515	398	397
47	294	524	414	411
48	303	536	431	426
49	310	551	447	440
50	315	570	462	455
51	318	592	477	469
52	365	597	493	489
53	407	602	509	509
54	449	608	524	528
55	490	616	536	548
56	518	630	549	567
57	530	660	574	587
58	536	698	602	606
59	541	739	624	626
60	547	783	641	646
61	550	827	659	665
62	569	846	683	689
63	578	860	709	712
64	584	879	736	736
65	590	903	763	759
66	595	930	790	783
67	600	966	817	806
68	606	1002	842	830
69	612	1045	863	853
70	616	1094	887	877
71	621	1141	907	900
72	678	1146	928	926
73	733	1151	954	952
74	790	1160	979	978
75	845	1172	1003	1004
76	894	1184	1029	1030
77	940	1198	1054	1056
78	979	1209	1079	1081
79	1011	1223	1104	1107
80	1038	1248	1131	1133
81	1056	1295	1155	1159
82	1137	1409	1269	1270
83	1189	1545	1385	1381
84	1236	1705	1500	1491
85	1278	1872	1615	1602
86	1323	2042	1727	1713
87	1367	2209	1842	1823
88	1405	2381	1954	1934
89	1444	2549	2066	2045
90	1482	2719	2180	2156
91	1522	2891	2293	2266
92	1716	2901	2388	2362
93	1911	2911	2483	2458
94	2104	2923	2574	2553
95	2299	2938	2664	2649
96	2491	2964	2754	2745
97	2683	2996	2845	2841
98	2846	3053	2935	2936
99	2903	3157	3035	3032
100	2922	3325	3125	3128
101	2935	3510	3217	3223
102	2999	3515	3250	3256
103	3064	3520	3283	3289
104	3127	3527	3317	3322
105	3189	3534	3350	3354
106	3250	3541	3383	3387
107	3309	3549	3417	3420
108	3365	3557	3451	3453
109	3416	3570	3482	3485
110	3453	3605	3514	3518
111	3474	3640	3547	3551
112	3485	3644	3554	3558
113	3494	3651	3562	3565
114	3500	3657	3569	3571
115	3505	3665	3576	3578
116	3509	3675	3583	3585
117	3513	3685	3590	3592
118	3517	3697	3597	3599
119	3520	3710	3604	3606
120	3522	3723	3610	3613
121	3524	3739	3616	3620
122	3532	3743	3622	3626
123	3542	3746	3629	3633
124	3550	3751	3635	3639
125	3559	3757	3642	3646
126	3565	3763	3649	3653
127	3570	3770	3656	3659
128	3576	3781	3663	3666
129	3579	3791	3670	3673
130	3582	3803	3676	3679
131	3587	3813	3683	3686
132	3595	3818	3689	3692
133	3602	3821	3696	3699
134	3606	3826	3703	3706
135	3610	3831	3709	3712
136	3614	3838	3716	3719
137	3617	3845	3723	3726
138	3621	3852	3730	3732
139	3625	3861	3737	3739
140	3628	3872	3744	3746
141	3632	3884	3750	3752
142	3640	3888	3756	3759
143	3648	3892	3762	3765
144	3655	3896	3769	3772
145	3662	3902	3776	3778
146	3667	3908	3782	3785
147	3671	3917	3788	3791
148	3676	3925	3795	3798
149	3680	3933	3802	3804
150	3683	3942	3809	3811
151	3688	3955	3816	3817
152	3697	3961	3822	3824
153	3707	3966	3828	3830
154	3716	3971	3834	3837
155	3722	3978	3840	3843
156	3729	3984	3847	3850
157	3735	3991	3853	3856
158	3741	3999	3860	3863
159	3744	4007	3867	3869
160	3750	4016	3874	3876
161	3753	4025	3880	3882
162	3770	4028	3886	3889
163	3784	4031	3892	3896
164	3797	4035	3898	3903
165	3810	4038	3904	3910
166	3823	4042	3910	3917
167	3833	4046	3917	3924
168	3841	4050	3924	3931
169	3849	4056	3931	3938
170	3855	4063	3938	3945
171	3861	4071	3944	3952
172	3879	4083	3961	3968
