|0|1|2|3|sum
Euclea|0.1803370525306409|0.391119353644969|0.16916981417500884|2.0356483578263346e-18|0.7406262203506188
Lamiaceae|0.46938306904743515|0.11108928202282312|0.12310851874436377|0.005045459347605231|0.7086263291622273
Plantago|3.553785730421887e-14|1.063487164158983e-12|0.08647482493272796|0.502266760427492|0.5887415853613189
Indigofera|0.2036453568755025|0.12323188387830938|0.2169837381210668|0.0006958199923554474|0.5445567988672342
Teclea|0.019754718130971603|0.13069788097276797|0.2768278077289129|0.1144595405576099|0.5417399473902623
Securinega|0.03054358187235921|0.14762321492808275|0.12647707290353952|0.21026045102630497|0.5149043207302865
Solanum|3.553785730421887e-14|0.364920603206464|0.14211490367935534|0.0007698462007347845|0.5078053530865897
Aloe|0.18428826536084503|0.25417873097158644|0.062457110315561754|0.004023905765728676|0.5049480124137219
Erica|0.34598162639357805|1.063487164158983e-12|0.057177204611954|0.08241877458720692|0.4855776055938025
Urticaceae|0.2351204584042922|0.002541183632734061|0.22880741672245727|0.001937226350592061|0.4684062851100756
Hypoestes|0.14620637341471787|0.07455412029855776|0.15486269646821937|0.07662699708072013|0.45225018726221516
Planceolata|3.553785730421887e-14|1.063487164158983e-12|9.844780741381379e-20|0.42286861620681343|0.42286861620791244
Galium|0.19384685486121897|0.07455412029855776|0.1371032020808867|0.0002350742755892356|0.4057392515162527
Apiaceae|0.049298709581624564|0.1867846125870203|0.1502438618638214|0.016672372079987795|0.402999556112454
Clematis|3.553785730421887e-14|0.0015540914723961385|0.17059589478932694|0.22891435768502932|0.4010643439467879
Iridaceae|3.553785730421887e-14|0.3915244783559508|0.0018662258975640751|0.005890459613695251|0.39928116386724566
Commiphora|3.553785730421887e-14|0.25222347682240037|0.14248521195030406|0.00038758888068779235|0.39509627765342775
Vernonia|0.25664291004001893|0.006952537325084675|0.09982672246191307|0.0156859124506038|0.3791080822776205
Cerealia|3.553785730421887e-14|1.063487164158983e-12|9.844780741381379e-20|0.36187163493444874|0.36187163493554775
Anthyllis|0.12555913301307828|0.11016175454809511|0.08212032536164825|0.03811499938591989|0.3559562123087415
Saussurea|0.12010139428891166|0.13379327527596774|0.0647633553459449|0.019785356594733874|0.33844338150555814
Justicia|8.529085753012529e-13|0.025503317313472232|0.30747611601996044|7.965623770359664e-05|0.3330590895719892
Capparidaceae|0.0923028105283998|0.034538579552471624|0.1931843783208339|0.006096036185289765|0.3261218045869951
Caryophylaceae|0.2862081867766542|0.03582497533100826|9.844780741381379e-20|0.0021458081360918365|0.3241789702437543
Alchemilla|0.15254062800413962|0.048078379571266025|0.11249863317388088|0.004496899697967692|0.3176145404472542
Jasminum|0.1294587899232952|0.008152159212709528|0.09542671467316628|0.08094824152453424|0.31398590533370524
Poaceae|3.553785730421887e-14|0.10155614765960805|0.052390462555687106|0.15509051301822013|0.3090371232335508
Cichoroideae|0.09760680636875278|0.07463154582675832|0.1318778008975634|0.0011486989112602186|0.30526485200433473
Rosa|3.553785730421887e-14|1.063487164158983e-12|0.15811141920117752|0.13743449923900222|0.29554591844127875
Brassicaceae|3.553785730421887e-14|0.00688041036325215|0.27596125348670464|0.00042200236348155344|0.2832636662134739
Rhus|3.553785730421887e-14|0.021367076106368586|0.2551562714920149|0.0048971924337998|0.2814205400322189
Schefflera|3.553785730421887e-14|0.01155219878978549|0.06446569778624296|0.20442784379044407|0.28044574036650805
Tribulus|3.553785730421887e-14|0.00042052307988499045|0.04764250080802128|0.22741514530210666|0.27547816919004847
Chenopodiaceae|0.07778721390109257|0.011705907816241446|0.18071561128718816|2.0356483578263346e-18|0.2702087330045222
Swertia|7.278153175904026e-11|0.027162472207856225|0.23686520565268224|0.0002985282545195511|0.26432620618783953
Acanthus|0.1077112293054763|0.05888428153657858|0.09431050269125678|0.002033046138999746|0.2629390596723114
Hypericum|3.553785730421887e-14|0.16679950026477744|0.08650857560673801|0.0021219791416923393|0.2554300550132433
Zanthoxylum|0.1731167048562291|0.0015540914723961385|0.07565587867773611|0.0029555515876372833|0.2532822265939986
Cussonia|3.553785730421887e-14|0.05683634949112413|0.09920200570744384|0.09460125710038787|0.2506396122989914
Blepharis|8.529085753012529e-13|0.14249517035078954|0.10307784129437123|0.0014431419863205194|0.24701615363233417
Myrica|0.20819158358258774|0.0013258371174868233|0.03246903603696821|0.0012471355630151565|0.24323359230005792
Heliotropium|0.05475644830415645|0.0888088721264017|0.05748295805160975|0.03890170532666197|0.23994998380882987
Leguminosae|0.18428826536084503|0.013854851855951271|0.0395277818333775|2.0356483578263346e-18|0.2376708990501738
Macaranga|0.0277558115679255|0.19500020059895107|0.005566639390402968|0.00717890396549096|0.2355015555227705
Myrsine|3.553785730421887e-14|0.21518574508743485|0.005566639390402968|0.014714283069274125|0.23546666754714748
Dobera|3.553785730421887e-14|0.17187311282521214|0.05300490443164377|0.008740385010792247|0.23361840226768368
Hagenia|0.13945848580275177|0.004073194334837274|0.08617143321027419|0.0012830707398202447|0.2309861840876835
Euphorbia|0.09360487567615046|0.04356516844745961|0.07349202381441723|0.007193971407848129|0.2178560393458754
Asphodellus|3.553785730421887e-14|1.063487164158983e-12|9.844780741381379e-20|0.20236397164558553|0.20236397164668457
Euphorbiacea|3.553785730421887e-14|0.18118890618352734|0.016604443342272037|0.001937226350592061|0.19973057587642698
Juniperus|9.843986473268629e-12|0.12977321721799004|0.06361404861212959|2.0356483578263346e-18|0.19338726583996363
Senecio|0.0277558115875424|1.063487164158983e-12|0.14953365840254684|0.0010893772447251094|0.17837884723587782
Psydrax|3.553785730421887e-14|1.063487164158983e-12|9.844780741381379e-20|0.1661464798446395|0.16614647984573855
Asteraceae|3.553785730421887e-14|0.14165674869761138|0.01917402609477242|0.0031626630169047376|0.16399343780932407
Cassia|0.11280913644640975|0.042765702322723656|9.844780741381379e-20|0.001528243504022147|0.15710308227315556
Buxus|3.553785730421887e-14|1.063487164158983e-12|9.844780741381379e-20|0.14957920672806993|0.14957920672916897
Kohautia|3.553785730421887e-14|0.0593493031952745|0.05036777142402067|0.038194655623623446|0.14791173024295415
Olea|0.07069621271020193|1.5952307462384748e-11|0.06578304368332358|0.00828904705669862|0.14476830346617645
Acalypha|0.03832244169159499|0.03717008543188181|0.0571925113141791|0.0068654473751069214|0.1395504858127628
Ricinus|3.553785730421887e-14|1.063487164158983e-12|9.844780741381379e-20|0.1382328730001863|0.13823287300128534
Anthospermum|3.553785730421887e-14|0.05947500125877295|0.06572521349860301|0.00011716504158770442|0.1253173797989992
Ephedra|0.011992838301021911|0.07463154582675832|0.03246903603696821|0.005871375885663357|0.1249647960504118
Phyllantus|3.553785730421887e-14|1.063487164158983e-12|9.844780741381379e-20|0.12352371214443196|0.12352371214553098
