depth,age,accrate,CHAR (# cm-2 yr-1),Charcoal concentration (# cm-3)
1,48,4,,
2,61,5,6004.300459,26899.26606
3,80,5,19832.94607,95396.47059
4,102,6,3629.791131,19419.38255
5,126,6,3910.774813,23816.61861
6,148,5,7057.79693,49757.46835
7,171,5,24869.87163,204430.3448
8,183,6,21495.83026,191097.931
9,195,6,13918.79452,133759.6154
10,206,5,40468.81617,420471
11,227,18,33598.39572,376974
12,260,9,13390.12987,162020.5714
13,277,7,41266.38462,536463
14,292,8,30169.84816,417249
15,309,9,40993.20988,597681
16,333,15,1454.915911,22202.01681
17,365,17,1007.524303,15969.2602
18,398,16,1003.799633,16432.2
19,431,16,2632.290303,44248.8
20,462,15,3991.076805,68566.69951
21,493,16,23805.15464,415638
22,524,12,54702.88625,966600
23,549,25,27679.16901,492966
24,624,17,14435.29117,266186.7692
25,683,26,13035.509,267749.3548
26,736,27,8742.800678,199073.5714
27,790,27,11363.63991,291591
28,842,21,22494.45585,657288
29,887,20,17348.48938,579960
30,928,26,17956.06891,687897
31,979,24,9478.631699,415638
32,1029,25,4920.907411,246340.625
33,1079,25,4260.505164,242550.559
34,1131,24,13015.96029,839008.8
35,1269,116,3318.958333,238965
36,1500,115,5260.660776,410805
37,1727,115,5928.386394,489744
38,1954,112,6005.012853,513909
39,2180,113,3502.844828,304747.5
40,2388,95,7207.772021,625995
41,2574,90,5032.010333,428526
42,2754,91,7514.065934,615402
43,2935,100,4990.35932,384706.8
44,3125,92,10756.60669,765225
45,3250,33,7823.228189,508431.6
46,3317,33,7739.386712,454302
47,3383,34,1823.38865,95326.75862
48,3451,31,2945.130056,134651.3462
49,3514,33,3519.317124,137358.9474
50,3554,8,37207.49306,1206639
51,3569,7,13931.9864,368919
52,3604,6,28396.91358,414027
53,3622,7,100640.7181,953067.6
54,3635,7,69079.84761,478032.5455
55,3649,7,84385.71429,425304
56,3663,7,316843.9481,1219849.2
57,3676,7,182870.2703,608958
58,3689,7,108118.1763,355708.8
59,3716,6,73978.63751,242649.931
60,3744,6,109291.3931,358475.7692
61,3769,7,116895.7317,383418
62,3795,7,75548.41511,248554.2857
63,3822,6,57930.90909,191172
64,3847,6,48884.03614,162295
65,3874,6,28940.11976,96660
66,3898,6,75668.27153,255758.7578
67,3924,7,60404.06368,205977.8571
68,3961,17,91499.3311,315672.6923
