depth,age,accrate,Acer,Alnus glutinosa type,Betula pendula/pubescens type,Castanea sativa,Celtis australis type,Corylus avellana,Fagus sylvatica,Frangula alnus,Fraxinus angustifolia type,Juglans regia,Juniperus type,Olea europaea,Pinus,Populus,Quercus ilex type,Quercus pyrenaica/faginea type,Quercus suber type,Salix,Tamarix,Ulmus,Arbutus unedo,Calluna vulgaris,Cistus,Crataegus type,Ephedra distachya type,Ephedra fragilis type,Erica arborea/scoparia type,Erica australis type,Erica tetralix type,Erica umbellata,Erica undiff.,Genista type,Helianthemum,Lamiaceae 6-colpate,Ligustrum vulgare type,Lonicera periclymenum type,Myrtus communis,Phillyrea,Pistacia,Prunus type,Rhamnus,Rosa type,Rubus type,Sambucus nigra type,Thymelaeaceae,Viburnum tinus type,Vitis vinifera,Agrimonia,Allium type,Anagallis type,Anthemis type,Anthriscus sylvestris type,Aphanes,Apiaceae,Arenaria type,Artemisia,Asphodelus,Aster type,Astragalus type,Boraginaceae undiff.,Brassicaceae,Bryonia dioica type,Bupleurum type,Campanula type,Campanulaceae,Cannabis sativa type,Cardueae,Caryophyllaceae undiff.,Centaurea cyanus type,Centaurea nigra type,Centaurea scabiosa type,Cerastium type,Cerealia type,Chelidonium majus type,Chenopodiaceae,Cichorioideae,Consolida,Convolvulaceae,Corrigiola litoralis type,Corrigiola telephiifolia type,Daucus type,Echium,Eryngium type,Fabaceae undiff.,Filipendula,Gentianaceae,Geranium,Herniaria,Humulus lupulus,Hypericum perforatum type,Illecebrum verticillatum,Jasione type,Liliaceae undiff.,Linaria type,Linum catharticum type,Lotus type,Minuartia type,Papaver rhoeas type,Paronychia type,Pimpinella major type,Plantago coronopus type,Plantago lanceolata type,Plantago major type,Plantago maritima type,Plantago undiff.,Poaceae,Polygala vulgaris type,Polygonum aviculare type,Potentilla type,Rosaceae undiff.,Rubiaceae,Rumex acetosa/acetosella type,Rumex obtusifolius type,Sagina,Sanguisorba minor type,Scabiosa,Scandix pecten-veneris type,Scilla type,Scleranthus,Scrophulariaceae,Secale,Sedum type,Silene dioica type,Silene vulgaris type,Smyrnium type,Spergularia type,Stachys type,Teucrium type,Trifolium pratense type,Trifolium repens type,Tuberaria,Urtica dioica type,Urtica pilulifera type,Valeriana officinalis,Vicia/Lathyrus type,Alisma,Caltha palustris,Cyperaceae,Drosera rotundifolia type,Lythrum hyssopifolia type,Lythrum portula type,Myrica gale,Myriophyllum spicatum,Oenanthe,Parnassia palustris,Potamogeton,Ranunculus,Sagitaria sagittifolia,Thalictrum,Typha/Sparganium,Utricularia,Isoetes,Monolete,Ophioglossum type,Pteridium aquilinum,Selaginella type,Trilete,Cercophora type,Gelasinospora,Podospora type,Sordaria type,Sphagnum,Sporormiella type,Tilletia sphagni,,CHAR (# cm-2 yr-1),Charcoal concentration (# cm-3),,Lycopodium exotic marker pollen,Lycopodium tablets,Nr Lycopodium spores/tablet,Unidentified,Volume (cm3),,Obligate coprophilous fungi infl.,Podospora type infl.,Sordaria type infl.,Sporormiella type infl.
21,493,16,0,0.3,2.6,0.3,0,0,0,0.6,0.3,0,0,0.6,0.3,0,5.1,8.3,1.6,0.3,0,0,0.3,4.5,1,0,0,0,36.7,2.6,4.2,0,0.6,0.6,0,0.3,0,0,0,1.6,0.3,0,0,0.6,0,0,0,0,0,0,0,0,0.6,0,0,0.3,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,15.7,0,0,1.6,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,108.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0.3,0,0.6,0.6,1,12.1,1.9,2.2,,23805.15464,415638,,54,2,9666,,0.6,,375.906834669721,68.3466972126766,102.520045819015,205.04009163803
22,524,12,0,0,4,0,0,0,0,0,0,0,0,0,0.6,0,3.1,5.9,0.3,0.6,0,0,0.3,5.6,0.9,0,0,0,49.2,0.3,5.3,1.5,0.3,0.6,0,1.2,0,0,0,1.5,0,0,0,0.6,0,0.3,0.6,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0.3,0.3,0,0.3,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,12.4,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,48,0,0,0,0,1.5,0,0,0,0,0,0,0,0.6,0,0,0,0.6,0.3,0.6,20.1,2.2,1.5,,54702.88625,966600,,51,2,9666,3,0.5,,429.042245081394,42.9042245081394,85.8084490162788,300.329571556976
23,549,25,0,0,14.2,0,0,0,0,0,0.3,0,0,0.3,0.6,0,0.9,5.3,0,0.3,0,0,0,5.6,0.3,0,0,0,57.3,0.6,2.2,0,0.6,0.3,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,5.6,0,0,0.3,0,0,0.6,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.3,0,0,0,0,0,0,0,0,1.9,0,0,0,22,0,0,0,0,5.6,0,0,0,0,0,0,0,4,0,0,0,0.3,0.3,0.9,3.1,3.7,0,,27679.16901,492966,,30,2,9666,,0.6,,964.851207186974,60.3032004491859,180.909601347558,723.63840539023
24,624,17,0,0,10.8,0,0,0,0,0,0,0,0,0.3,0,0,1.5,7.7,0.9,3.4,0,0,0.3,3.7,0.6,0,0,0,51.1,1.2,3.7,0,0.6,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0.9,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0.3,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,28,0,0,0,0,2.2,0,0,0,0,0,0,0,2.2,0,0,0,0.3,0,0,10.2,1.5,2.8,,14435.29117,266186.7692,,80,2,9666,,0.5,,131.046637744035,0,0,131.046637744035
25,683,26,0,0,11.4,0,0,1.6,0,0,0,0,0,0.3,2.6,0,3.2,8.1,1.6,0,0,0,0.6,6.8,2.3,0,0,0,17.5,2.3,12.3,0,1,1,0,0.3,0,0,0,2.3,0.3,0,0.6,0.3,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.3,0,0.3,0,0,0.3,0,0,0,0,0,0.6,0,0,0,0,0,1,0,0,1.3,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.6,0.3,0,0,14,0,0,0.3,0,0,1.6,0,0,0.3,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,61.4,0,0,0,0,0.3,0,0,0,0,0,0,0,0.6,0,0,0,1.3,0.3,1,15.3,2.6,4.5,,13035.509,267749.3548,,84,2,13911,1,0.6,,322.506607316734,26.8755506097278,80.6266518291835,215.004404877823
26,736,27,0,0,21.3,0,0,0,0,0,0,0,0,0,0.3,0,5.2,9.7,0.6,2.3,0,0,0.3,3.2,0.3,0,0,0,26.5,0.6,3.2,0.3,1,0.6,0,0,0,0,0.3,1,0.6,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,0.3,0,0.3,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0.3,0,0,0,0,0.6,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0.6,0.6,0,0,0,12.9,0,0,0.6,0.3,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,3.2,0,0,0,187.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.6,0,0.6,16.5,1,11,,8742.800678,199073.5714,,66,2,9666,,0.6,,107.198466882261,0,42.8793867529045,64.3190801293568
27,790,27,0,0.3,28.3,0.3,0,0,0,0,0.3,0,0,0,0.3,0,2.5,4.3,0.9,15.4,0.3,0,0.3,0.3,0.9,0.3,0,0,16.6,0.3,1.8,0.3,0.6,0.6,0.3,0,0,0,0,0.3,0,0.3,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0,13.5,0,0,0.9,0,0,2.2,0,0.3,0,0,0,0.3,0,0.6,0,0,0,0,0,0.6,0.3,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0.6,0,1.8,4.6,1.8,2.5,,11363.63991,291591,,42,2,9666,1,0.5,,430.508852020933,0,215.254426010467,215.254426010467
28,842,21,0,0,16.6,0.3,0,0,0,0,0.3,0,0,0,0.9,0,2.2,7.2,0.3,5.6,0,0.3,0,7.8,0.6,0,0,0,22.9,0.9,3.8,0.6,0.6,0.9,0,0.3,0,0,0,1.6,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0.6,0,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0.3,2.8,0,0,0,0,0,0,0.3,0,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.6,0,0,0.3,16.3,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0.6,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,56.7,0,0,0,0,0,0,0,0,0,0,0,0.3,1.6,0,0.6,0,3.4,0.9,0.6,7.5,2.5,0.9,,22494.45585,657288,,100,2,9666,,0.6,,143.347022587269,33.0800821355236,22.0533880903491,88.2135523613963
29,887,20,0,0,8.5,0.3,0,0,0,0,0,0,0,0,1.3,0,3.4,6,0.9,2.8,0,0,0,1.9,0.9,0,0,0,26,0.6,4.1,0,0.6,0.3,0,0.3,0,0,0,0.9,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,1.3,0,0.6,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.6,0,0.9,0.3,30.4,0,0,0.9,0,0,1.3,0,0,0,0,0,0,0,0.3,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.3,0,0,6,0,0,0,52.7,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,1.3,0.3,0.6,12.2,1.9,1.3,,17348.48938,579960,,75,2,9666,1,0.5,,138.787915046366,15.4208794495962,30.8417588991923,92.525276697577
30,928,26,0,0,2.2,0.3,0,0,0,0,0.6,0,0,0.9,0.6,0,2.8,7.1,0.9,0.3,0,0,0.9,0.6,0.9,0,0,0,40.4,0.6,5.6,0.6,0.9,0,0,0.3,0,0,0,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.3,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0.9,0,0.3,0,0,0,0.6,0,0,0,0,0,0,0,0,0.9,0,0,0,0.3,20.7,0,0,0.3,0,0,3.1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0,19.8,0,0,0,0,0.9,0,0,0,0,0.3,0,0,0.3,0,0,0,0.9,0,0,100,0.6,3.1,,17956.06891,687897,,43,2,9666,,0.6,,39.11784524048,0,0,39.11784524048
31,979,24,0,0.3,0,0,0,0,0,0,0.3,0,0,0.7,1,0,3.7,9.3,1.3,0.3,0,0,0.3,0.7,0.7,0,0,0,41.2,0.7,3.7,0.7,1,0,0,0,0,0,0,1.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0.3,0,1,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0.7,0,0.7,0,0.3,21.9,0,0,1,0.3,0,1,0,0,0.3,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0,8.3,0,0,0,0,4.7,0,0,0,0,0,0,0,0.7,0,0,0,1.7,0,0,158.8,1,14.3,,9478.631699,415638,,66,2,9666,,0.5,,40.0787809681766,0,0,40.0787809681766
32,1029,25,0,0.7,1.6,0.3,0,0,0.3,0,0,0,0.3,1.3,1.3,0,2.9,9.4,3.9,0.7,0,0,0,1.3,0.7,0,0,0,18.9,2.3,14,0.3,2.3,2.9,0.3,0.3,0,0,0,2,0.3,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.3,0,1,0,0.7,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,1,0,0.7,0,0,0,0.3,0,0,0,1.6,0,0.3,0.3,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0,19.2,0.3,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,4.9,0,0,0,0.3,0.7,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,87.3,1,6.5,,4920.907411,246340.625,,82,2,13911,1,0.6,,33.8886019703186,0,0,33.8886019703186
33,1079,25,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,1.7,0,4,7.3,1.7,0.3,0,0,0.7,2.3,0.3,0,0,0,31.4,1,6.6,0,0.3,0.7,0,0,0,0,0,2.3,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.7,0,0.3,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.7,0.3,0,0,0,28.4,0,0,0.7,0,0,3.6,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,0,0.3,0,5.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,1.3,25.1,2.6,0,,4260.505164,242550.559,,121,2,9666,,0.7,,52.1189364266189,4.00914895589376,16.0365958235751,32.0731916471501
34,1131,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.9,3.2,0.6,0.3,0,0,0,3.2,0.3,0,0,0,34.5,2.9,4.8,0.3,1.6,0,0,0,0,0,0,2.6,0.6,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,1.3,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3,0.6,0,0,0,29.4,0,0,1.9,0,0,1.3,0,0,0.3,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0.3,0,9.7,0,0.3,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,28.7,2.9,0.3,,13015.96029,839008.8,,48,2,9666,,0.5,,112.46509463233,0,0,112.46509463233
35,1269,116,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0.9,0,5.9,2.5,0.3,0.3,0,0,0,4,0.3,0,0,0,28,1.2,9.6,0,1.2,0.6,0,0.3,0,0,0.3,1.2,0.3,0,0,0.3,0,0,0,0.3,0,0,0,0,0.9,0,0,0,0,0.3,0,0.6,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0.3,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,28.6,0,0,2.8,0.6,0,3.4,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,13.7,0,0,0,20.8,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,1.6,0,0.3,31.1,0.9,1.6,,3318.958333,238965,,84,2,9666,,0.6,,21.3095238095238,0,5.32738095238095,15.9821428571429
36,1500,115,0,0,1.8,0.3,0,0,0,0,0,0,0,0,1.2,0,3,5.4,0.3,0.3,0,0,0,3.9,2.1,0,0,0,29,0.9,8.7,0.3,0.9,0.6,0.3,0,0,0,0.3,1.2,0.6,0,0,0,0,0,0,0,0,0,0,0.6,1.5,0,0,0.3,0,0,0,0.9,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0.3,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0.3,0,0,24.5,0,0,2.7,0,0.3,4.5,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0.3,0,33.7,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1.8,0,0.3,22.4,1.8,2.4,,5260.660776,410805,,64,2,9666,1,0.6,,45.1282174414138,0,6.44688820591625,38.6813292354975
37,1727,115,0,0.3,3.6,0.7,0,0,0,0,0,0,0.3,0,1.3,0,2.6,3.9,0,0.7,0,0,0,1.3,1,0,0,0,20.9,1.3,5.9,0.3,0.3,0.3,0.7,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.7,0,0,0,0.7,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0.3,0,0.3,0.3,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,1,0.3,0,0,0.3,35.6,0,0,1.6,0,0,5.2,0,0,0.7,0,0,0,0.3,0.7,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0.3,0,36.9,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0.3,0.7,4.2,89.2,4.2,17,,5928.386394,489744,,81,2,9666,1,0.5,,161.78832264052,11.5563087600371,75.1160069402413,75.1160069402413
38,1954,112,0,0.3,4.3,0,0,0,0,0,0,0,0,0,2.6,0,5,6,0.7,0.3,0,0,0.7,4.6,1.3,0,0,0,27.5,1.7,4,0.3,0.7,0,0,0,0,0,0.3,0.7,0,0,0,0.3,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.7,0,0,0,0.3,2.6,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0,0.7,1,0.3,0.3,0,23.2,0,0,1,0,0,3.6,0.3,0,0,0,1,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,4.6,0.3,0,0.3,48.7,0,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,1.7,4.3,92.4,26.5,7.3,,6005.012853,513909,,65,2,9666,,0.6,,567.630826756791,28.9607564671832,75.2979668146763,463.372103474931
39,2180,113,0,0,4.1,0,0,0,0,0,0.6,0,0,0,3.8,0,2.5,6,0.9,0,0,0,0,5.4,0,0,0.3,0,27.5,1.6,7.9,0,0.9,0,0,0,0,0,0.3,1.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.3,0,1.6,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.3,0,0.6,0.9,0,0,0,0,0.3,0,0.3,0,0.3,0.3,0,0,0,0,0,0,0,0.3,0,1.6,0,0,0,0,0.3,0,0,0.3,0,23.1,0,0,0.9,0.3,0,1.9,0,0,0,0,0.3,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0,0,0.3,4.7,66.5,1.9,3.8,,3502.844828,304747.5,,53,2,9666,,0.6,,153.728041639558,6.98763825634353,104.814573845153,41.9258295380612
40,2388,95,0,0,10.7,0,0,0.3,0,0,0.3,0,0.3,0.7,3.6,0,2.3,7.8,0.7,1,0,0,0.7,10.1,2,0,0,0,23.8,2.6,8.5,0,0.3,1.6,0,0,0,0.3,0,1,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,1,0,0,0,14.7,0,0,1,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,24.4,0,0,0,0,0.3,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0.7,93.8,2.6,1.6,,7207.772021,625995,,61,2,13911,,0.5,,105.031286276508,0,21.0062572553017,84.0250290212067
41,2574,90,0,0,13.5,0,0,0,0,1.2,0.3,0,0,0,4,0,3.2,6.3,0.9,0.3,0,0,0,7.2,1.7,0,0,0,22.5,1.7,5.5,0,0.9,0.9,0,0.3,0,0,0,0.9,0.3,0,0,0,0,0,0.3,0,0.3,0,0,0.3,0.3,0,0.3,0,0,0.9,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.3,0.3,0,0,0.3,0,0,0.3,0,0.3,0,1.2,0,0,0,0,0.9,0,0,0,0,17.9,0,0,1.2,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,4.3,0.3,0,0,29.1,0,0,0.3,0,0,0,0,0,0,0,0,0,0.9,0,1.7,0,0.3,0.3,0.3,76.4,0,0.9,,5032.010333,428526,,39,2,9666,1,0.6,,19.4023918777324,9.70119593886621,9.70119593886621,0
42,2754,91,0,0.3,12.9,0,0,0.3,0,0.9,0,0,0.3,0,3.9,0.3,2.7,5.4,0.6,0,0,0,0.3,5.1,1.5,0,0,0,34.4,1.8,3.9,0.6,0,0.3,0.3,0.6,0,0,0.3,0.6,0.9,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0,0,16.2,0,0,0.3,0,0,1.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,8.7,0,0,0,75.1,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,1.2,0,0.3,0,0.3,45.2,0,0.9,,7514.065934,615402,,28,2,9666,2,0.6,,14.0502354788069,0,14.0502354788069,0
43,2935,100,0,0,5.4,2.7,0,0,0,0,0.3,0,0,0,3.3,0,2.4,6.8,0.3,0.3,0,0,0,4.6,2.4,0,0,0,29.5,2.7,6.2,0,0.5,0.8,0,0.3,0,0,0,1.6,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.3,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,21.1,0,0,0.3,0,0,2.2,0,0,0,0,0,0,0,0.3,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0.3,0,0,48.5,0,0,0,0.3,0,0,0,0,0,0,0,0,0.8,0,0,0,0.3,0,0.5,29.8,0,7.3,,4990.35932,384706.8,,18,2,9666,2,0.5,,55.7270722532105,0,55.7270722532105,0
44,3125,92,0,0,12.8,0,0,0,0,0,0,0,0,0,2.9,0,2.9,6.4,1.2,0,0,0.3,0.6,3.5,4.1,0,0,0,27.8,6.4,4.9,0,0.6,0.3,0,0.6,0,0,0,2,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.6,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0.3,0,0,0,0,17.1,0,0,0.3,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,5.5,0.3,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,2.9,0,1.4,10.7,0.6,6.7,,10756.60669,765225,,26,2,9666,2,0.6,,121.937241841656,0,87.0980298868969,34.8392119547588
45,3250,33,0,0.3,10.5,0,0,0,0,0,0.3,0,0,0,3.5,0,2,8.5,0.9,0,0,0,0,0.6,1.8,0,0,0.3,33.3,4.1,7,0,0.3,0,0,0,0,0,0,4.4,0.3,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0,0,0.3,0.6,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,13.5,0,0,0.9,0,0,2,0,0,0,0,0,0,0,0.6,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,2.6,0.3,0,0,34.5,0,0,0,0,0,0,0,0,0,0.6,0,0,0.3,0,0.3,0,0.6,0,0.3,12.6,0.9,2,,7823.228189,508431.6,,20,2,9666,1,0.5,,118.984459147561,0,29.7461147868903,89.2383443606709
46,3317,33,0,0,0.6,0,0,0,0,0,0,0,0,0,5.1,0,3.3,16.6,2.1,0,0,0,0,1.2,1.2,0,0,0,35.3,4.2,7.9,0,0.6,0.9,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0.9,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,59.8,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,5.4,1.2,0,,7739.386712,454302,,37,2,9666,2,0.6,,103.844560062618,0,44.5048114554077,59.3397486072103
