depth,age,accrate,Acer,Alnus glutinosa type,Betula pendula/pubescens type,Castanea sativa,Celtis australis type,Corylus avellana,Fagus sylvatica,Frangula alnus,Fraxinus angustifolia type,Juglans regia,Juniperus type,Olea europaea,Pinus,Populus,Quercus ilex type,Quercus pyrenaica/faginea type,Quercus suber type,Salix,Tamarix,Ulmus,Arbutus unedo,Calluna vulgaris,Cistus,Crataegus type,Ephedra distachya type,Ephedra fragilis type,Erica arborea/scoparia type,Erica australis type,Erica tetralix type,Erica umbellata,Erica undiff.,Genista type,Helianthemum,Lamiaceae 6-colpate,Ligustrum vulgare type,Lonicera periclymenum type,Myrtus communis,Phillyrea,Pistacia,Prunus type,Rhamnus,Rosa type,Rubus type,Sambucus nigra type,Thymelaeaceae,Viburnum tinus type,Vitis vinifera,Agrimonia,Allium type,Anagallis type,Anthemis type,Anthriscus sylvestris type,Aphanes,Apiaceae,Arenaria type,Artemisia,Asphodelus,Aster type,Astragalus type,Boraginaceae undiff.,Brassicaceae,Bryonia dioica type,Bupleurum type,Campanula type,Campanulaceae,Cannabis sativa type,Cardueae,Caryophyllaceae undiff.,Centaurea cyanus type,Centaurea nigra type,Centaurea scabiosa type,Cerastium type,Cerealia type,Chelidonium majus type,Chenopodiaceae,Cichorioideae,Consolida,Convolvulaceae,Corrigiola litoralis type,Corrigiola telephiifolia type,Daucus type,Echium,Eryngium type,Fabaceae undiff.,Filipendula,Gentianaceae,Geranium,Herniaria,Humulus lupulus,Hypericum perforatum type,Illecebrum verticillatum,Jasione type,Liliaceae undiff.,Linaria type,Linum catharticum type,Lotus type,Minuartia type,Papaver rhoeas type,Paronychia type,Pimpinella major type,Plantago coronopus type,Plantago lanceolata type,Plantago major type,Plantago maritima type,Plantago undiff.,Poaceae,Polygala vulgaris type,Polygonum aviculare type,Potentilla type,Rosaceae undiff.,Rubiaceae,Rumex acetosa/acetosella type,Rumex obtusifolius type,Sagina,Sanguisorba minor type,Scabiosa,Scandix pecten-veneris type,Scilla type,Scleranthus,Scrophulariaceae,Secale,Sedum type,Silene dioica type,Silene vulgaris type,Smyrnium type,Spergularia type,Stachys type,Teucrium type,Trifolium pratense type,Trifolium repens type,Tuberaria,Urtica dioica type,Urtica pilulifera type,Valeriana officinalis,Vicia/Lathyrus type,Alisma,Caltha palustris,Cyperaceae,Drosera rotundifolia type,Lythrum hyssopifolia type,Lythrum portula type,Myrica gale,Myriophyllum spicatum,Oenanthe,Parnassia palustris,Potamogeton,Ranunculus,Sagitaria sagittifolia,Thalictrum,Typha/Sparganium,Utricularia,Isoetes,Monolete,Ophioglossum type,Pteridium aquilinum,Selaginella type,Trilete,Cercophora type,Gelasinospora,Podospora type,Sordaria type,Sphagnum,Sporormiella type,Tilletia sphagni,,CHAR (# cm-2 yr-1),Charcoal concentration (# cm-3),,Lycopodium exotic marker pollen,Lycopodium tablets,Nr Lycopodium spores/tablet,Unidentified,Volume (cm3),,Obligate coprophilous fungi infl.,Podospora type infl.,Sordaria type infl.,Sporormiella type infl.
11,227,18,0,0,1.9,0,0,0.3,0,0,0,0,0,0.9,0.6,0,2.2,2.8,0.3,0,0.3,0,0.6,3.4,0.6,0,0,0,19.7,2.2,5.9,0,0.9,0,0,0,0,0,0,0.6,0.3,0,0,0,0,0,0,0.3,0,0,0,0,2.8,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,13.4,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,8.1,0.6,0,0,0,22.8,0,0,0.6,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,25.9,0,0,0,0,0.3,0,0,0,0,0,0,0,0.6,0,0,0,0.6,0.3,0.6,0.6,2.8,0,,33598.39572,376974,,48,2,9666,2,0.6,,717.914438502674,59.8262032085562,119.652406417112,538.435828877005
12,260,9,0,0,1,0,0,0,0,0,0,0,0,1,0.6,0,1.6,4.2,0,0.3,0,0,0,3.5,3.5,0,0,0,36.4,2.9,8.3,0,0.3,0,0.3,0.3,0,0,0,0.6,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0.3,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,1.9,1,0,0.3,0,22.4,0,0,0.6,0.3,0,2.2,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,3.2,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.6,1,1.3,5.4,0,,13390.12987,162020.5714,,54,2,9666,1,0.7,,929.87012987013,84.5336481700118,126.800472255018,718.536009445101
13,277,7,0.3,0,0,0,0,0.3,0,0,0,0,0,0.3,1,0,2.9,7.1,0,0,0,0,0,3.6,3.2,0,0,0,26.2,1.3,8.7,0.6,1.6,0.6,0.6,0.3,0,0,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.3,0,0.6,0,2.9,0,0,0.6,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,2.3,0,0,0,0,0.6,0,0.6,0,0,0.3,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,1,2.6,0,0.3,0,20.7,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0.3,0,0,1,0,0,0,0.3,0,0,0,0,0,0,0,3.6,0,0,0,35,0,0.6,0,0,0.3,0,0,0,0,0.3,0,0,0.3,0,0,0,0,1,2.9,3.2,3.6,1.3,,41266.38462,536463,,35,2,9666,1,0.6,,1628.7032967033,212.43956043956,637.318681318681,778.945054945055
14,292,8,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0.3,0,3.6,5.9,0.3,1,0,0,0,5.3,4.6,0,0,0,28,4.3,3.3,0.3,1,0.3,0.3,0.7,0,0,0.3,0.7,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0,2,0,0,0.7,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,3.9,0,0,0,0,0.3,0.3,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,21.1,0,0,0.7,0,0.3,1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,3,0,0.3,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1,0.7,3.3,7.9,0.7,,30169.84816,417249,,42,2,9666,2,0.6,,1608.61481251937,166.408428881314,110.938952587543,1331.26743105051
15,309,9,0,0,0,0,0,0,0,0,0.3,0,0,0.3,2.3,0,3.6,7.5,2.3,0,0,0,1.3,4.9,4.9,0,0,0,23.4,2.3,4.5,0.6,0.3,0.3,0.6,1,0,0,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,1.6,0,0.3,0,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,3.6,0,0,0,0,0,0.6,0,0,0.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.3,1.6,0.6,0,0,19.2,0,0,0.3,0,0,1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0.6,0.3,0,0,0,0,0.6,0,0,9.1,0,0,0,24,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,4.2,11,5.5,,40993.20988,597681,,44,2,9666,2,0.6,,1757.85634118967,50.2244668911336,0,1707.63187429854
16,333,15,0,0,0,0,0,0,0,0,0,0,0,1.3,0.3,0,3.6,8.6,0.7,0,0,0,0,8.9,0,0,0,0,21.1,1.7,0,0,1,0,0,0,0,0,0,2,0,0,0.3,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0.7,1,0.3,0,0,0.3,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0.3,0,0,0,0,1.7,0,0.7,0.7,0,0,0,35,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0.7,0,0,0,0,0,0,0,8.3,0,0.3,0,46.5,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.7,38.6,0.3,17.2,,1454.915911,22202.01681,,193,2,9666,,0.6,,32.8197257892557,0,21.8798171928371,10.9399085964186
17,365,17,0,0,1.8,0,0,0,0,0,0,0,0,2,0.9,0,13.5,4.4,3.2,0,0,0,0.6,1.5,0.3,0,0,0,13.2,0.9,7.9,0.6,1.5,1.2,0,0,0.3,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,1.5,0,0.9,0,0,0.3,0,0,0,0,0,5,0,0,0,0,0,0.9,0,0,0.3,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.3,0,0,0,0,0.6,2,0,0,0,25.1,0,0,2.9,0.3,0,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0.9,0,0,0,38.6,0,0,0,0,1.2,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,2.3,9.1,11.4,3.8,,1007.524303,15969.2602,,139,2,13911,1,0.7,,847.898949880204,0,144.323225511524,703.57572436868
18,398,16,0,0,0.7,0,0,0,0,0,0,0,0,0.4,0.4,0,3.2,4.3,1.8,1.8,0,0,1.1,1.1,1.8,0,0,0,19.9,2.1,4.6,0.4,0,0,0.4,0,0,0,0,2.8,0.4,0,0,0.4,0,0,0.4,0.4,0,0,0,0,1.1,0,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0.4,1.8,0,0,0,0,0,0.4,0,0,1.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.4,0,40.8,0,0,2.5,0,0,1.4,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.4,8.2,2.5,9.9,,1003.799633,16432.2,,194,2,9666,,0.6,,121.746468584096,10.1455390486747,40.5821561946986,71.0187733407226
19,431,16,0,0,6.6,0,0,0.3,0,0,0,0,0,1.8,0.3,0,6,11.4,2.7,0.3,0,0,0.6,2.4,0.9,0,0,0,27.4,2.1,16,0.6,0,0,0,0.3,0,0,0.3,2.4,0,0,1.8,0,0,0,0.9,0,0,0,0,0,0.3,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.3,0,0,0,9,0,0,0.9,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,1.2,0,0,0,30.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,23.5,2.4,54.2,,2632.290303,44248.8,,52,2,9666,,0.6,,368.599276987141,0,73.7198553974283,294.879421589713
20,462,15,0,0,1,0.3,0,0,0,0,0,0,0,0.3,1,0,4.5,15.2,1.6,0,0,0,0,0.6,1,0.3,0,0,40.6,3.2,5.8,0,1,0,0.3,0.6,0,0,1,3.5,0,0,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0.6,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,13.5,0,0,0.6,0,0,0.6,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82.9,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,12.9,3.9,3.9,,3991.076805,68566.69951,,79,2,9666,,0.7,,264.528121559406,20.3483170430312,0,244.179804516375
