|0|1|2|3|sum
Lamiaceae|0.5390472342937533|0.09539940094643443|0.06437668684697936|0.02264623020885032|0.7214695522960175
Erica|0.3500089181478806|0.15242314337781052|0.12267740693011903|0.08411229058797823|0.7092217590437883
Hypoestes|0.30935413873718587|0.07271577735721309|0.17417893171076074|0.08702365594720436|0.6432725037523641
Euclea|0.1062194716105965|0.31334064104712167|0.17958502304361082|0.02499589860103553|0.6241410343023646
Plantago|8.956926915993808e-15|5.031576655114309e-12|0.1290727534511423|0.47744914053822113|0.6065218939944039
Teclea|0.014611514776258206|0.13790002489344586|0.2565436779767078|0.11604340786496191|0.5250986255113738
Aloe|0.18323509338197927|0.2668002388119376|0.06788799789117259|0.005308911401375827|0.5232322414864653
Solanum|8.956926915993808e-15|0.4118064844148603|0.09986121089991633|5.8079839630492395e-05|0.511725775154416
Securinega|4.8666541536396144e-06|0.1412766422439056|0.15690903182278662|0.19764043519480998|0.49583097591565584
Indigofera|0.19719840351128332|0.11807993773381993|0.1584876443999628|0.0009501895486856302|0.47471617519375164
Planceolata|8.956926915993808e-15|5.031576655114309e-12|3.544028232466258e-27|0.4421890774391865|0.44218907744422703
Justicia|0.006981655063626465|0.13115848561446142|0.2744368126416225|0.0017883090636626122|0.414365262383373
Urticaceae|0.2307381331607018|0.00833474406594119|0.16824381578693096|0.0012750362982102239|0.4085917293117842
Clematis|8.956926915993808e-15|0.02249013993425163|0.17851472532350288|0.2005365169063656|0.40154138216412905
Saussurea|0.1654236501544608|0.12983668658806985|0.07704615711983895|0.02506899578059374|0.3973754896429633
Jasminum|0.13973462403240205|0.009225134190387058|0.14101200399684385|0.10415860093494135|0.3941303631545743
Commiphora|8.956926915993808e-15|0.2280963904616149|0.16532343608044592|0.0001446943453364837|0.39356452088740623
Combretum|0.2390025007291582|0.043914697747007105|0.10408527960818266|0.0002334236892770011|0.38723590177362494
Cerealia|8.956926915993808e-15|5.031576655114309e-12|3.544028232466258e-27|0.3786527411530429|0.37865274115808345
Iridaceae|8.956926915993808e-15|0.3677355177010241|0.00534421785436491|0.0011756148674923934|0.3742553504228903
Vernonia|0.2566661835305322|0.006615287853174998|0.08721163338607194|0.020531138951335702|0.3710242437211148
Capparidaceae|0.023222619068313372|0.03359891524226971|0.2454576219602403|0.04378103239664022|0.3460601886674636
Galium|0.1337471486190024|0.05946952262905867|0.1252888005692649|0.005579223963689387|0.3240846957810153
Acanthus|0.14352626151691447|0.0417000933035227|0.13134836252970325|0.0007713467258509665|0.31734606407599136
Senecio|0.022911343403522133|0.028928931072360213|0.2596948550499761|0.0025598588328532763|0.3140949883587117
Schefflera|8.956926915993808e-15|0.0138243646614564|0.05013976464563898|0.23764058133464447|0.3016047106417488
Rosa|8.956926915993808e-15|5.031576655114309e-12|0.17299091904642291|0.12374028233302356|0.296731201384487
Leguminosae|0.18323509338197927|0.018934506019915538|0.07117698963763824|0.01697808192704427|0.29032467096657727
Anthyllis|0.060417699756771776|0.10927556242406199|0.08151537735781948|0.037986132737766014|0.28919477227641927
Ephedra|3.4412441555832897e-06|0.25805728980510073|0.0209845627748812|0.006941060132110782|0.2859863539562483
Allophylus|8.956926915993808e-15|5.031576655114309e-12|0.27533338501566346|1.860110995465611e-19|0.275333385020704
Zanthoxylum|0.18497935076454397|0.0017507034308676247|0.08276162388877246|0.003756132437964038|0.2732478105221481
Apiaceae|0.020537655588746328|0.1902295804862754|0.046605212942449036|0.015459660090960505|0.27283210910843125
Tribulus|8.956926915993808e-15|0.02738298510749467|0.03134500424144998|0.19912356887941288|0.2578515582283665
Myrsine|8.956926915993808e-15|0.2169391501267289|0.017025833957554425|0.01770624853902217|0.2516712326233145
Rhus|8.956926915993808e-15|0.020977774535877146|0.2245541812775525|0.00303931103448717|0.2485712668479258
Cichoroideae|0.04546463535133605|0.06979323753011911|0.08796093162688197|0.044803056402241505|0.24802186091057862
Brassicaceae|8.956926915993808e-15|0.01064520555931354|0.22345949812395327|0.009775988995784487|0.24388069267906026
Euphorbiacea|8.956926915993808e-15|0.1770290887327252|0.05424177690387357|0.0012750362982102239|0.23254590193481794
Myrica|0.1812620427048749|0.00125560775999915|0.0209845627748812|0.00519401363642825|0.20869622687618347
Asphodellus|8.956926915993808e-15|5.031576655114309e-12|3.544028232466258e-27|0.2076959579413933|0.20769595794643383
Hypericum|8.956926915993808e-15|0.13774435384396552|0.06294126819831733|0.006253245443643763|0.20693886748593557
Cussonia|8.956926915993808e-15|0.007189686691767661|0.10675659890112421|0.0873220931339855|0.20126837872688635
Dobera|8.956926915993808e-15|0.1387356982771561|0.05430005014797213|0.001471830977068377|0.19450757940220556
Carduus|8.956926915993808e-15|5.031576655114309e-12|0.19408921030245577|0.0004145134577315187|0.19450372376522782
Macaranga|2.060093190678576e-13|0.18084290094104205|3.544028232466258e-27|0.007850526286122473|0.18869342722737054
Alchemilla|0.03610527987993518|0.04329083712117951|0.10127765705223758|0.005164114145081833|0.1858378881984341
Juniperus|8.956926915993808e-15|0.12632348310429833|0.051022523305423895|0.004834154205198615|0.1821801606149298
Anthospermum|0.04546463535133605|0.07795704750534391|0.054494045895080126|0.00010243232584062381|0.1780181610776007
Psydrax|8.956926915993808e-15|5.031576655114309e-12|3.544028232466258e-27|0.17708121822839235|0.17708121823343287
Cassia|0.10170668099651035|0.0486067917616229|3.544028232466258e-27|0.02392996645165224|0.1742434392097855
Hagenia|0.05098221236856397|0.006154435533232467|0.09779969115886891|0.008595337171388712|0.16353167623205406
Chenopodiaceae|3.4412441555832897e-06|0.01503412706987833|0.14847653013356826|1.860110995465611e-19|0.16351409844760217
Olea|8.956926915993808e-15|0.027901126848537648|0.12706587504729527|0.0080468727997319|0.1630138746955738
Asteraceae|0.020537655588549274|0.13861363832074236|3.544028232466258e-27|0.002846354454671923|0.16199764836396358
Heliotropium|0.017330764813228046|0.03219124100399016|0.07169827806734297|0.03991834468558894|0.1611386285701501
Blepharis|2.060093190678576e-13|0.07163936776578649|0.08614237562010697|0.002612810510228874|0.16039455389632834
Caryophylaceae|0.10428263145553698|0.04731242689875413|3.544028232466258e-27|0.006148566963060849|0.15774362531735195
Buxus|8.956926915993808e-15|5.031576655114309e-12|3.544028232466258e-27|0.1540378904030811|0.15403789040812163
Poaceae|0.007432339108733522|0.043749024506799274|0.016425680792532718|0.08221864465344807|0.14982568906151358
Rubiaceae|0.07007444548416245|0.0391656917248242|0.023714311099154284|0.0077855707511326425|0.14074001905927358
Acalypha|0.0359926096397804|0.03981250185983871|0.05603154564243035|0.007143902480856762|0.1389805596229062
Euphorbia|0.05330935342470742|0.010495747903213047|0.06491349717153015|0.009416433235783804|0.13813503173523442
Phyllantus|8.956926915993808e-15|5.031576655114309e-12|3.544028232466258e-27|0.13769069049628183|0.13769069050132235
Ricinus|8.956926915993808e-15|5.031576655114309e-12|3.544028232466258e-27|0.13666921221227077|0.1366692122173113
Kohautia|0.006981655065695516|0.0558459709282115|0.014628945612519087|0.0443460294059079|0.121802601012334
Celastraceae|8.956926915993808e-15|5.031576655114309e-12|3.544028232466258e-27|0.11182890992079139|0.11182890992583193
Rumex|8.956926915993808e-15|5.031576655114309e-12|3.544028232466258e-27|0.11085950544992577|0.11085950545496631
Tamarindus|8.956926915993808e-15|5.031576655114309e-12|3.544028232466258e-27|0.09591284431694407|0.0959128443219846
Swertia|2.060093190678576e-13|0.013596886009152853|0.07799751290358463|0.0013609019950960627|0.09295530090803955
Podocarpus|0.015454954051437136|0.01145254581788948|3.544028232466258e-27|0.058674578304216664|0.08558207817354328
Alchornea|8.956926915993808e-15|0.03092142995846165|0.027200183172926266|0.016763447837927457|0.07488506096932433
Ekebergia|8.956926915993808e-15|0.03092142995846165|0.027200183172926266|0.016763447837927457|0.07488506096932433
Artemisia|8.956926915993808e-15|0.00125560775999915|0.06685286725803175|0.0009446861614513313|0.06905316117949117
Acacia|8.956926915993808e-15|5.031576655114309e-12|0.06419207426579183|0.00031715086046633196|0.0645092251312987
Asteroideae|8.956926915993808e-15|0.0534807621323069|3.544028232466258e-27|0.006083594219826867|0.05956435635214273
Lannea|8.956926915993808e-15|0.001167649978533562|0.045947677217449315|0.006133136315856418|0.053248463511848254
Rapanea|0.014876932489031856|0.007555759071436812|0.02130886886575033|0.007439684076636295|0.0511812445028553
Dodonaea|0.014876932489031856|0.0004976849051204662|0.03267122817342315|0.0008843512196448303|0.0489301967872203
Polygonum|8.956926915993808e-15|5.031576655114309e-12|3.544028232466258e-27|0.04161188792720697|0.0416118879322475
Maytenus|8.956926915993808e-15|0.0026236565257836586|0.03134500424144998|1.8789600160190302e-05|0.033987450367402784
Celtis|8.956926915993808e-15|0.011737583302033892|0.01442131410933848|0.0019250220618649099|0.02808391947324624
Brucea|8.956926915993808e-15|5.031576655114309e-12|3.544028232466258e-27|0.001630480297019243|0.0016304803020597766
