|0|1|2|sum
Cardueae|0.1820555756496325|0.10582229229664274|0.40987564636538365|0.6977535143116589
Fraxinus|0.17951537032493123|0.037254841014550726|0.4347346799100548|0.6515048912495368
Scrophulariaceae|0.25693602371040236|0.2594935040925433|0.050309390064297646|0.5667389178672433
Fabaceae|0.20433413738270612|0.12548056549536943|0.21642213988451756|0.5462368427625931
Salix|0.31035061770521916|0.12976446289681906|0.09390191069608937|0.5340169912981275
Rosaceae|0.2682766213140649|0.2516698733323344|1.6022655932093517e-36|0.5199464946463993
Convolvulaceae|0.19637490503064592|0.1827266195055207|0.1002243102551331|0.47932583479129975
Centaurea|0.12575474585581486|0.28173067283703773|0.06600501806599061|0.4734904367588432
Valerianaceae|0.08088205811272|0.28173067283703773|0.11034167289653973|0.4729544038462975
Tilia|0.3269866022277987|0.11309168271715134|1.6022655932093517e-36|0.44007828494495005
Galium|1.4108507065408144e-21|0.11247811924400672|0.31201935130795727|0.42449747055196396
Euphorbiaceae|0.022340595192101402|0.2671990452429236|0.1282153908005216|0.4177550312355466
Ulmus|1.4108507065408144e-21|0.12340633601690822|0.2812108742317099|0.4046172102486181
Liliaceae|0.1557876018534421|0.1820523311371403|0.06632830719781432|0.4041682401883967
Ribes|0.22727101889412335|0.16149633781791128|0.004417409524090875|0.3931847662361255
Genista|0.27326204686217603|0.07331839025068554|0.014972753843516236|0.36155319095637783
Cichorioideae|1.4108507065408144e-21|0.22611511293073946|0.13484915970303352|0.36096427263377295
Abies|0.2782740021626585|0.021222916355261114|0.06130057748017734|0.36079749599809696
Oleaceae|0.03018332771803556|0.0390745930442429|0.2889611907753023|0.3582191115375808
Olea|1.4108507065408144e-21|1.323479869377215e-26|0.3436656225671962|0.3436656225671962
Ericaceae|0.10907890694273015|0.1000969542234198|0.12821593864383463|0.33739179980998457
Tamarix|0.023514217119663505|0.3031080102924658|1.6022655932093517e-36|0.3266222274121293
Sedum|0.17902807643706528|0.1264783586337765|0.02042069801683985|0.3259271330876816
Viburnum|0.19530979528567907|0.09458141659543039|1.6022655932093517e-36|0.28989121188110945
Chenopodiaceae|0.0693928920781594|0.18142129315427247|0.03747787458760087|0.28829205982003275
Rubiaceae|0.15118639856504826|0.09745940147447633|0.03684519991761545|0.28549099995714
Plantago|0.05240379616331571|0.20419293049413065|0.0006804156079800734|0.2572771422654265
Iridaceae|0.09769563285224782|0.14241480711660293|0.005875067934806958|0.2459855079036577
Pistacia|0.08323287279050508|0.1523823930533054|0.00173365791434099|0.23734892375815148
Helianthemum|0.07097136628361726|0.12074858743925367|0.04555200232573493|0.23727195604860585
Alnus|0.12479400216692385|0.08345894074692732|0.02694850077092724|0.2352014436847784
Fagus|1.4108507065408144e-21|0.07772177621029432|0.13560875559488647|0.2133305318051808
Berberidaceae|0.12223583652707923|0.07429971033166088|0.010839852194876662|0.20737539905361677
Pinus|1.4108507065408144e-21|1.323479869377215e-26|0.20246740820609713|0.20246740820609713
Brassicaceae|0.025997858634894722|0.09703218842262694|0.0793470871516643|0.20237713420918596
Buxus|0.10719184761302968|0.06429105888351126|0.027624852364495033|0.19910775886103596
Asteroideae|0.032402538267812094|0.15500051820414568|0.008012644624824697|0.19541570109678247
Populus|0.09564238063366065|0.044362283789834214|0.0523008337049758|0.19230549812847064
Corylus|0.1029330994240579|0.016485734682124015|0.057163620159020705|0.1765824542652026
Primulaceae|0.08537581388840837|0.08276453895658863|0.0006804156079800734|0.16882076845297708
Apiaceae|0.06960754288568784|0.02563590473554523|0.0673697638629916|0.16261321148422467
Taxus|0.14236502462141967|1.323479869377215e-26|1.6022655932093517e-36|0.14236502462141967
Rumex|0.026875306091427964|0.0818852383777744|0.0266773801773574|0.13543792464655977
Lamiaceae|1.4108507065408144e-21|0.118918581638353|0.014705697264358674|0.13362427890271167
Sambucus|0.018659980647312228|0.043994625520203806|0.06798663718297283|0.13064124335048888
Cistaceae|0.12575474585581486|1.323479869377215e-26|1.6022655932093517e-36|0.12575474585581486
Juglans|0.046702514854732896|0.04746208005328802|0.02748587045452691|0.12165046536254782
Papaver|0.06181570614743129|0.04746208005328802|0.011256010978046235|0.12053379717876554
Ranunculus|1.4108507065408144e-21|0.062065451573500345|0.050309390064297646|0.11237484163779798
Thymelaeaceae|1.4108507065408144e-21|0.10582229229664274|1.6022655932093517e-36|0.10582229229664274
Poaceae|1.4108507065408144e-21|0.06997528999172123|0.027548828652930082|0.09752411864465131
