depth,age,Macroscopic charcoal concentration (# cm-3),Macroscopic CHAR (# cm-2 yr-1)
1,55,157,21.7451523545706
2,60,94,13.0193905817175
3,66,43,5.95567867036011
4,71,109,15.1178918169209
5,77,85,11.8055555555556
6,82,98,13.6490250696379
7,88,38,5.29986052998605
8,94,66,9.23076923076923
9,100,31,4.35393258426966
10,106,106,14.9295774647887
11,112,211,29.8444130127298
12,118,63,8.94886363636364
13,125,36,5.13552068473609
14,133,77,11.0473457675753
15,140,84,12.1212121212121
16,147,120,17.4165457184325
17,154,107,15.6204379562044
18,161,168,24.7058823529412
19,167,202,29.9259259259259
20,173,135,20.1793721973094
21,180,126,18.9759036144578
22,188,115,17.4772036474164
23,196,133,20.398773006135
24,204,140,21.7054263565891
25,212,218,34.1158059467919
26,219,333,52.6898734177215
27,226,132,21.1538461538462
28,233,130,21.0355987055016
29,239,152,24.7960848287113
30,244,102,16.6666666666667
31,250,170,27.6872964169381
32,256,179,28.9176090468498
33,262,212,33.7579617834395
34,266,99,15.4929577464789
35,271,129,19.7247706422018
36,276,121,18.0059523809524
37,282,102,14.7186147186147
38,287,81,11.2970711297071
39,292,79,10.6040268456376
40,297,101,13.0154639175258
41,304,137,16.9135802469136
42,310,128,15.112160566706
43,317,219,24.6899661781285
44,325,98,10.5263157894737
45,333,102,10.4401228249744
46,341,146,14.2161635832522
47,347,212,19.6296296296296
48,355,158,13.9084507042254
49,363,175,14.6321070234114
50,369,185,14.7058823529412
51,382,253,19.1087613293051
52,396,305,21.8951902368988
53,411,163,11.1262798634812
54,424,318,20.6225680933852
55,436,223,13.7315270935961
56,448,351,20.4784130688448
57,460,373,20.5963556046383
58,471,235,12.2779519331243
59,482,342,16.8805528134255
60,493,214,9.98134328358209
61,513,512,22.5650066108418
62,534,795,33.097418817652
63,556,852,33.530106257379
64,578,992,36.9047619047619
65,601,794,27.9380717804363
66,623,1467,48.8511488511489
67,645,1529,48.2182276884264
68,667,1556,46.5032875074716
69,687,1806,51.1759705298952
70,708,2011,54.0882194728349
71,754,1640,41.8901660280971
72,806,2084,50.5948045642146
73,864,1777,41.0392609699769
74,920,1308,28.7788778877888
75,966,4276,89.9263932702419
76,1014,2432,49.0619326205366
77,1062,2014,39.0992040380509
78,1112,1668,31.2535132096684
79,1160,3460,62.7379873073436
80,1207,3545,62.3570800351803
81,1284,1670,28.5616555498546
82,1365,3229,53.8076987168805
83,1444,3950,64.2589881242883
84,1527,2464,39.2106938255888
85,1611,1998,31.1506080449018
86,1697,1888,28.8861689106487
87,1780,2110,31.7340953526846
88,1867,4174,61.7912657290896
89,1948,1842,26.8787392382898
90,2025,2331,33.5782195332757
91,2064,2915,41.500569476082
92,2099,2775,39.1010286036353
93,2131,2119,29.5825771324864
94,2169,2139,29.6260387811634
95,2229,2698,37.1012101210121
96,2289,2997,40.9090909090909
97,2336,2550,34.529451591063
98,2374,3284,44.0923737916219
99,2417,2154,28.655048556605
100,2459,1360,17.913593256059
101,2478,2115,27.5247267048412
102,2493,2204,28.2745349583066
103,2508,1655,20.8832807570978
104,2521,1100,13.6239782016349
105,2534,742,9.00266925503519
106,2545,426,5.05398030608613
107,2557,297,3.43949044585987
108,2569,356,4.01805869074492
109,2580,379,4.16300527240773
110,2590,311,3.32016654211594
111,2620,375,3.88641309980309
112,2646,610,6.13003718219274
113,2672,961,9.35644046344076
114,2698,1569,14.7879359095193
115,2724,2118,19.3107221006565
116,2748,277,2.44138903578354
