depth,age,Juniperus type,Pinus,Taxus,Alnus glutinosa type,Betula pubescens type,Corylus avellana,Castanea sativa,Deciduous Quercus,Quercus ilex type,Quercus suber type,Juglans regia type,Fraxinus angustifolia type,Olea europaea,Frangula alnus,Prunus type,Populus,Salix,Pistacia,Lonicera periclymenum type,Viburnum tinus type,Cistus type,Helianthemum type,Ephedra distachya type,Ephedra fragilis type,Ericaceae undiff.,Arbutus unedo,Calluna vulgaris,Erica arborea type,Erica australis,Erica tetralix type,Erica umbellata,Genista type,Myrtus communis,Ligustrum vulgare type,Phillyrea angustifolia type,Rhamnus,Crataegus type,Rosa type,Rubus type,Thymelaeaceae (Daphne),Vitis vinifera,Apiaceae,Bupleurum falcatum type,Daucus carota type,Eryngium campestre type,Pleurospermum austriacum type,Scandix pecten-veneris type,Anthemis type,Artemisia vulgaris type,Aster type,Centaurea nigra type,Centaurea cyanus type,Cardueae,Cichoriodeae,Boraginaceae undiff.,Cynoglossum officinale type,Echium vulgare type,Heliotropium europaeum type,Lythospermum officinale type,Myosotis arvensis type,Brassicaceae,Jasione type,Cannabis sativa type,Arenaria serpyllifolia type,Corrigiola litoralis type,Minuartia rubra type,Paronychia type,Silene dioica type,Silene vulgaris type,Spergula arvensis type,Chenopodiaceae,Tuberaria type,Sedum type,Succisa pratensis type,Euphorbiaceae,Mercurialis annua type,Fabaceae undiff.,Astragalus type,Lotus type,Trifolium pratense type,Trifolium repens type,Vicia/Lathyrus type,Gentianaceae,Hypericum perforatum type,Hypericum elodes type,Lamiaceae 6-colpate,Stachys type,Teucrium type,Papaver rhoeas type,Plantaginaceae,Plantago coronopus type,Plantago lanceolata type,Plantago major/media,Polygala vulgaris type,Rumex acetosa/acetosella type,Rumex obtusifolius type,Anagallis tenella type,Lysimachia vulgaris type,Resedaceae,Rosaceae undiff.,Aphanes arvensis type,Filipendula vulgaris type,Potentilla type,Sanguisorba minor type,Rubiaceae,Ruta montana type,Scrophulariaceae,Linaria type,Rhinanthus type,Liliaceae undiff.,Allium type,Asphodelus,Poaceae,Cerealia type,Apium inundatum type,Oenanthe fistulosa type,Drosera rotundifolia type,Myriophyllum verticillatum,Myrica gale,Epilobium type,Caltha palustris type,Ranunculus,Pedicularis sylvatica type,Alisma plantago-aquatica type,Cyperaceae,Trilete,Pteridium aquilinum,Isoetes,Ophioglossum type,Sporormiella type,Podospora type,Sordaria type,Gelasinospora,Sphagnum,Tilletia sphagni,Unidentified,Lycopodium (exotic marker),Volume (cm3),Lycopodium tablets,Nr Lycopodium spores/tablet,Charcoal counts (#),Lycopodium charcoal
70,708,,4,1,,28,,,100,8,3,,,1,,,,,,,,10,,,,,1,6,85,2,6,1,,,1,2,,,,1,,,,,,1,1,,1,1,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,5,,,,,,,,,,1,,,,,1,,,74,,,,,,,,,,,,9,,2,,,2,,4,2,8,,,31,1,1,20848,452,20
72,806,,3,,,34,,,86,8,2,,,1,,,,,1,,,14,,,,1,1,6,82,3,6,1,,1,,,,,1,,1,,,,,3,,,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,8,,1,,,,,,,,,,,,,,,,38,,,,,,,,,,,,2,,5,,,8,,2,2,18,1,,22,0.6,2,9666,353,20
74,920,,9,,1,47,,,48,2,,,,,,,,,,,,21,,,,1,1,5,118,6,10,1,1,,,4,,,,,,,1,,,,,,4,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,2,,,,,,,,,,,,,1,,,2,,,,,,,,1,,,,,,,,,,46,,,,,,,,,,,,4,1,1,,,,,1,,39,,,26,1,1,20848,457,22
76,1014,,5,,1,70,,,31,9,,,,,,,,1,,,,7,,,,2,1,4,114,1,15,1,,,,3,,,,,,,,,1,3,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,1,,,5,,1,,,,,,2,,,,,,,1,,2,19,,,,,,,,,,,,5,3,1,1,,3,,,,42,2,,20,0.7,2,9666,555,20
78,1112,,5,,,63,1,,41,2,1,,,,1,,,1,,1,,12,,,,,1,9,110,3,7,4,1,,,3,,,1,,1,,,,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,2,,,,1,,,2,,3,39,,,,,,,,,1,,,8,2,,1,,,,,,41,1,,23,1,1,20848,736,20
80,1207,,3,,,108,1,,24,3,2,,,1,,1,,2,,1,,11,,,,1,1,6,110,,10,1,,,,2,,,1,,1,,,,,1,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,1,,,,,,,,,,,,,12,,,,,,,,,1,,,12,2,2,1,,1,,,,55,3,,28,0.6,2,9666,536,20
82,1365,,4,,,68,,,22,1,3,,,1,,1,,4,,,,20,,,,,,7,102,7,11,4,3,,,6,,,1,,,,2,,,3,,,1,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,1,,,1,,,,,,,,1,,,,,65,,,,,,,,,,,,5,1,,,,,,,,47,1,,15,1,1,20848,797,20
84,1527,,2,,1,58,1,,22,7,2,,,1,,,,3,,,,10,,,,,3,8,143,5,21,1,1,,,3,1,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,1,,,,,,,,5,,,,,,,1,,,,,1,,1,,,,31,,,,,,,,,,,,10,2,,,,2,,,1,68,1,,33,0.6,2,9666,567,20
86,1697,,7,,,47,,,21,4,2,,,,,2,,2,,,,15,,,,1,,2,112,7,13,5,3,,,5,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,3,,3,,,1,,1,,,,,1,1,,,,,62,,,,,,,,,,,,7,1,,,,1,,,1,21,1,,28,1,1,20848,353,21
88,1867,,5,,1,64,,,23,5,2,,,,,,,2,,,,31,,,,1,1,3,111,3,15,4,,,,7,,,1,,1,,1,,1,1,,,2,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,,,37,,,,,,,,,,,,9,2,2,,,3,,,1,50,2,,34,0.7,2,9666,353,20
90,2025,,5,,,43,,,20,3,3,,,1,,,,1,,1,,19,,,,1,1,7,130,7,12,4,1,,,1,,,,,,,2,,,1,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,57,,,,,,,,,,,,7,4,,,,,,,,26,,,17,1,1,20848,536,22
92,2099,,4,,,43,,,17,4,4,,,,,,,,,,,6,,,,1,2,5,130,2,12,1,1,,,8,,,,,,,,,,,,,1,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,1,,,,,,,,,2,,,,,,,,1,,,,,,,,,,52,,,,,,,,,,,,3,1,,1,,3,,,,35,2,,47,0.6,2,9666,386,20
94,2169,,5,,,24,,,29,6,,,,,1,,,4,,,,13,,,,,2,3,138,8,16,6,,,,2,,,,,,,1,,,1,,,,1,,,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,1,2,,,,,,,,,,37,,,,,,,,,1,,,6,,2,1,,,,,1,24,,,27,1,1,20848,431,20
96,2289,,6,,,20,,,20,9,3,,,,,,,3,,,,13,,,,1,2,3,124,9,20,1,,,,5,,,1,,1,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,1,,,2,,1,,,,,1,3,,,,,,,,,,51,,,,,,,,,,,,8,3,1,,,,,1,1,20,3,,49,0.6,2,9666,308,20
98,2374,,6,,1,15,,,26,4,,,,,,,,2,,,,16,,,,,,6,153,6,15,2,1,,,2,,,,,,,,,,3,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,6,,2,,,,,,3,,,,1,1,,,,,47,,,,,,1,,,,,,8,2,,2,,,,,2,17,,,35,1,1,20848,862,20
100,2459,,6,,,27,,1,25,5,1,,1,,,,,1,,,,13,,,,,,1,100,12,21,3,2,,,3,1,,,,,,1,,1,1,,,,2,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,1,3,1,1,,,1,,1,,,,,,,,,4,,,,,,,1,1,,,,1,,,,,,60,,,,,,,,,,,,9,1,,,,,,,1,28,,,41,0.6,2,9666,295,20
102,2493,,8,,,6,1,,39,7,2,,,,,1,,2,,,,16,,,,,1,3,127,9,21,2,,1,,2,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,,,,,2,,,,1,1,,,,,73,,,,,,,,,,,,4,1,2,,,,,,2,13,,1,33,1,1,20848,355,21
104,2521,,8,,,1,,,24,8,,,,,,,,1,,,,10,,,,,1,5,177,13,11,4,1,1,,1,,,1,,,,3,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,,,,,53,,,,,,,1,,,,,11,4,2,,,,,,,17,,,81,1,1,20848,246,32
106,2545,,12,,1,9,,,38,3,1,,,,,,,2,,,,9,,,,1,2,3,138,7,12,4,,,,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,2,,,,,,,,,,1,,,,,,54,,,,,,,,,,,,8,4,5,4,,,,,,16,,,452,1,1,20848,163,60
108,2569,,10,,1,3,,,29,8,1,,,1,,,,,,,,38,,,,1,3,7,132,14,12,7,,,,2,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,4,,,,1,,,,1,,,,,,,,,,54,,,,,,,,,,,,12,6,1,3,,,,,,17,,,296,1,1,20848,165,50
110,2590,,10,,1,2,,,39,14,1,,,2,,,,1,,,,10,,,,,3,7,104,5,7,2,2,,,6,,,1,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,1,,,,,2,,,,,78,,,1,,,,,,,,,8,3,,1,,,,,,14,,,142,1,1,20848,154,53
112,2646,,11,,,1,,,44,11,,,1,1,,,,,1,,,7,,,,1,2,15,128,3,7,,1,,,7,,,,,2,,2,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,2,,,,,1,,,,,65,,,,,,,,,,,,17,2,1,3,,,,,,20,,,144,1,1,20848,163,40
114,2698,,9,,1,32,,,25,8,1,,,1,,,,,1,,,17,,,,,2,9,122,5,8,3,,,,,,,,,,,,,,1,,,,1,2,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,1,,,,,1,,,,,,,,,2,,,,,,,,1,,,,,,,3,,,52,,,,,,,,,,,,14,1,1,,,,,,,29,,1,70,1,1,20848,185,21
116,2748,,21,,,,1,,54,11,,,,2,,,,,1,,,8,,,,1,2,15,105,,6,3,3,,,5,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,1,,81,,,,,,,,,1,,,8,1,1,5,1,,,,,26,,,122,1,1,20848,186,47
