"labID","age","error","depth","cc","dR","dSTD","ta","tb","calibration.mean","calibration.sd"
"Surface",0,1,0,1,0,0,3,4,117.102829848109,73.7344319033573
"UBA-33688",120,30,27,1,0,0,3,4,133.383780466136,80.2162981210795
"UBA-33689",280,30,53,1,0,0,3,4,344.874402636127,87.4097839399991
"UBA-33690",950,40,73,1,0,0,3,4,848.64598312787,55.9235326112358
"UBA-34533",2190,35,94,1,0,0,3,4,2203.7884568561,77.030759067509
"UBA-33691",2530,50,99,1,0,0,3,4,2594.54406416602,100.746738167837
"UBA-33692",2130,30,113,1,0,0,3,4,2114.7918568557,85.8678840530156
"UBA-33693",4670,40,127,1,0,0,3,4,5402.07455940388,78.18238222389
"BE-4642",6960,55,136,1,0,0,3,4,7793.01877967801,77.1547271176213
