depth,age,acer,alisma,alnus,amaranthaceae,apiaceae,artemisia,asteroideae undiff.,betula,brassicaceae,buxus,calluna vulgaris,campanula-type,carpinus,caryophyllaceae undiff.,centaurea cyanus-type,centaurea jacea-type,centaurea scabiosa,centaurea undiff.,cichorioideae,circaea,corylus,cyperaceae,echium,equisetum,euonymus europaeus,fabaceae undiff.,fagopyrum,fagus,filipendula,frangula,fraxinus,galium-type,hedera,helianthemum,humulus/cannabis,juglans,juniperus,lamiaceae undiff.,lithospermum-type,mentha-type,menyanthes trifoliata,micranthes stellaris-type,myriophyllum alterniflorum,myriophyllum spicatum/m. verticillatum,persicaria amphibia,picea,pinus,plantago lanceolata,plantago major/p. media,plantago uniflora,poaceae,poaceae (cerealia-type),polygonum aviculare,populus,potentilla-type,quercus,ranunculaceae undiff.,ranunculus sect. batrachium,ranunculus-type,rhamnus cathartica,rosaceae undiff.,rumex-type,salix,sambucus,secale,sparganium-type,spergula,succisa,symphytum,taxus,tilia,trifolium-type,ulmus,urtica-type,vaccinium-type,valeriana,vicia-type,viscum
200,780,3,,118,5,1,5,15,92,5,,23,,37,2,,,,,34,,102,57,,,,,,237,8,1,2,1,,,,2,,,,,,,,,,1,5,13,,,200,8,10,,1,100,,7,38,,3,22,10,,52,1,,,,,,,1,13,,,,
210,825,2,,129,3,4,5,12,43,1,,11,1,30,5,,,,,25,,141,30,,,1,,,227,10,,,,,,,1,1,,,1,,,,1,,,4,16,,,248,6,15,2,,110,,2,36,1,,48,8,,70,,,,,,,,1,13,,,,
220,882,2,,316,2,2,5,4,69,2,,4,,28,1,,,,,7,,121,29,,,,,,168,11,2,10,3,,,,,,,,,,2,,,,,12,15,,,159,7,2,1,,87,,2,2,,,37,12,1,35,,1,,,,,,1,13,,,,
230,943,1,,239,3,6,6,5,39,,,2,,42,1,,,,,7,,141,17,,,,,,219,9,,1,2,1,,,,5,1,,1,,,,,,2,6,12,,,236,3,1,3,1,143,1,,,,,39,23,1,52,,,,,,2,,6,3,,,,
240,1008,1,,119,,4,4,2,41,3,,1,,114,,,,,,,,85,9,,,,,,413,4,,9,,1,,,,,,,,,,,,,1,10,12,1,,94,13,,1,,124,,,3,,,40,9,,44,,,,,,1,,5,11,,,,
250,1128,2,,379,,,4,1,20,,,,,108,,,,,,,,57,8,,,,,,346,6,,13,,,,,,,,,,,,,,,1,3,6,,,26,,,1,,94,,,,,1,10,5,,5,,,,,,2,,9,7,,,,
260,1237,1,,344,,,2,,20,,,2,,88,,,,,,,,70,4,,,1,,,375,2,,17,,,,,,,,,,,,,,,,1,7,,,28,,,1,,117,,,1,,,2,5,,1,,,,,,,,6,,,,,
270,1339,,,312,,,1,,31,2,,,,144,,,,,,,,89,5,,,,,,393,5,,35,1,1,,,,,,,,,,,,,,2,4,,,36,1,,,,193,,,,,1,8,7,,1,,,,,,2,,4,4,,,,
280,1434,1,,249,,,,,31,1,,,,90,,,,,,,,98,4,,,,,,279,5,,28,1,,,,,,,,,,,,,,,3,8,,,25,2,,,,201,,,2,,,1,5,,,,,,,,1,,6,1,,,,
290,1516,1,,255,,1,2,,137,,,,,122,,,,,,,,198,6,,,,,,160,1,1,32,,,,,1,,,,,,,,,,,11,6,,,23,,,5,2,142,,,,,,1,4,,1,,,,,,3,,4,,,,,
300,1602,1,,215,2,,1,,392,,,1,,40,,,,,,,,153,6,,,,,,123,5,1,36,,,,,,,,,,,,,1,,,6,9,,,37,,,1,,129,,1,1,,,5,6,,,,,,,,2,,3,,,,,
310,1686,1,,400,1,1,2,5,154,1,,1,1,49,1,,,,,5,,223,9,,,,,,90,7,,21,3,,,,,1,,,,,,,,,1,4,39,,,109,1,,,,170,,,,1,,16,11,,2,,,,,,6,,9,2,,,,
320,1774,1,,256,1,3,6,2,44,1,,2,,59,,,,1,,5,,99,29,,,,,,118,10,,9,4,1,,,,,,,,,2,,,,2,6,39,2,,285,6,1,,,135,,,3,,,19,3,,,,,,,,3,,5,2,,,,
330,1852,3,,298,,2,5,11,30,2,,1,,24,2,1,,,,10,,73,22,,,,1,,131,5,1,13,2,,,,,,,,,,,,2,,1,6,44,1,,243,4,,,,223,,,,,2,58,4,,,,,,,1,6,,7,4,,,,
340,1921,,,279,3,1,10,8,26,,,2,,19,1,,,1,,11,,86,20,,,,,,129,8,,4,2,1,,,,,,,,,1,,3,,2,14,41,3,,160,4,,,,174,,,3,,,52,4,,,,,,,,7,,8,3,,,,
350,1978,3,,240,4,1,7,12,52,1,,3,,14,1,,,1,,7,,72,17,,,,2,,129,6,,10,3,,,,,1,1,,1,,,,4,,1,16,89,1,,259,3,,,,203,,2,,,,77,13,,,,,,,,4,,3,2,,,1,
360,2073,1,,213,1,3,18,3,95,1,,1,,15,1,,,,,10,,146,14,,,,1,,124,4,,10,1,,,,,,,,1,,,,1,,1,9,58,3,,259,2,,,,207,,1,4,1,2,34,14,1,,,,,,,1,,3,,,,,
370,2163,2,,256,3,3,14,10,58,1,,1,,13,2,,,,4,14,,121,10,,,,1,,111,,,3,1,,,,,,1,,,,,,,,,15,40,2,,234,7,1,,2,186,,,1,1,2,53,7,,,,,,,,1,,3,6,,,,
380,2254,3,,233,2,3,10,2,76,1,,2,,7,1,,,,,5,,153,25,,,,1,,144,8,,12,1,,,,,,,,,,,,,,1,10,38,,,254,3,,1,1,197,,1,6,,3,43,3,,,,,1,,,6,,10,,,1,1,
390,2356,,,203,1,3,6,5,168,2,,5,,23,,,,,,7,,129,12,,,,,,125,1,,7,2,,,,,1,,,1,,,,,,,7,35,1,,127,1,1,,,125,,,2,,,14,15,,,,,,,,4,,3,,1,1,,
400,2450,4,,310,5,2,28,4,62,2,,,,1,,,,,,20,,108,23,,,,,,116,5,,13,3,,1,,,,,,,,1,,1,,1,13,48,,,188,8,1,,,126,,,11,1,1,24,6,,,,,,,,7,,5,1,,,,
410,2530,1,,254,7,1,16,2,51,1,,2,,3,1,1,1,,,6,,131,11,,,,,,132,9,,13,4,,,,,,,,,,,,,,1,8,41,1,,198,4,,,,115,,,1,,1,16,3,,,,,,,,4,,6,2,,,,
420,2588,1,1,250,5,4,27,1,91,1,,3,,2,4,1,,,,15,,137,20,,,,,,167,3,,8,1,,,,,,,,,,,,1,,1,7,43,1,,150,9,1,,,89,,1,5,,,27,4,,,1,,,,1,8,,5,2,,,1,
430,2616,2,,268,5,1,7,3,77,,,,,1,,,,,,1,,183,10,,,,,,179,2,4,3,4,,,,,,,,,,,,,,,6,29,1,,142,2,2,2,,82,,2,4,,4,27,7,,,,,,,,4,,6,,,,,
440,2696,,,354,,,2,,75,,,1,,6,,,,,,,,100,1,,,,,,520,1,,26,,,,,,,,,,,,,,,1,2,1,,,3,,,2,,134,,,2,,,1,2,,,,,,,1,11,,11,,,,,
450,3045,5,,251,1,1,11,2,52,4,,,,1,,,,,,,,157,3,,,,,,252,22,,16,,,,,,,,,2,,2,,,,,3,12,,,32,1,,1,,194,,,3,2,2,10,14,,,,,,,,17,1,11,1,,,,
460,3353,3,,345,1,,1,,201,,,,,1,,,,,,1,,220,1,,,1,,,65,3,,22,,,,,,,,,,,,,1,,2,6,4,,,10,,,12,,164,,,,2,3,,7,2,,,,,,1,7,,11,,,,,
470,3562,,,361,,5,1,,56,,,,,1,,,,,,1,,288,5,,,,,,60,3,1,21,1,,,,,,,,,,1,,,,,3,11,,,48,,,,,162,,,,1,1,1,14,1,,,,,,,8,,8,1,,,,
480,3937,,,190,,1,,,10,,,,,1,,,,,,,,773,4,,,,,,21,3,,24,,,,,,,,,,,,,,,2,3,9,3,,24,2,,,,153,,,2,,,,2,,,,,,,,43,,6,,,,,2
490,4390,6,,271,,,,,7,,,,,1,1,,,,,1,,564,,,,,,,9,2,,17,,,,,,,,,,,,,,,1,4,,,,5,,,,,134,,,,,1,2,,,,,,,,,34,,6,,,,,1
500,4750,1,,396,,1,3,,28,,,,1,,,,,,,,,453,2,,,,,,15,3,,29,,1,,,,,,,,,,,2,,,2,,,,5,,,,,195,3,,,,2,,1,,,,,,,1,53,,20,,,,,
510,4983,1,,279,,,,,52,,,,1,1,,,,,,,,411,1,,,,,,17,1,,16,,1,,,,,,,,,,,,,,3,,,,5,,,,,213,,,1,,1,1,4,,,,,,,,35,,11,,1,,,1
520,5134,,,280,,,1,,84,,,,1,,1,,,,,,,327,13,,,,,,18,1,,16,,,1,,,,,,,,,,,,1,6,1,,,7,,,1,,191,,,3,,1,1,5,,,,,,,1,31,,18,,,,,
530,5271,,,238,,,5,1,16,1,,,,,,,,,,,,411,14,,,,,,8,3,,14,3,1,,,1,,,,,,,,,,,11,8,,,26,1,,,,264,,,,,,3,4,,,,,,,,48,,14,,,,,
540,5507,4,,142,,1,2,,6,1,,,,,,,,,,,,596,5,,,,,,3,3,,41,,2,,,,,,,,,,,,,1,2,1,,,16,1,,2,,216,,,3,,,3,1,,,,,,,,60,,30,,,,,
550,5693,6,,91,,1,1,1,25,2,,,,1,,,,,,,,466,6,,,,,,,7,,60,,2,,,,,1,,,,,,,,,10,,,,11,1,,,,245,,2,1,,,1,3,,,,,,,,99,,23,,,,,
