depth,age,abies,acer,alnus,amaranthaceae,apiaceae,aristolochia,artemisia,asphodelus,asplenium,asteroideae,berberidaceae,betula,boraginaceae,botrychium,brassicaceae,buxus,campanulaceae,cardueae,carpinus,caryophyllaceae,castanea,centaurea,cichorioideae,cistaceae,convolvulaceae,corydalis,corylus,crassulaceae,cyperaceae,dipsacoideae,droseraceae,ephedra distachya,ephedra fragilis,epilobium,ericaceae,erodium,euphorbiaceae,fabaceae,fagus,fraxinus,galium,genista,gentiana,geraniaceae,hedera helix,helianthemum,ilex aquifolium,iridaceae,isoëtes,juglans,juncus,juniperus,lamiaceae,lemna,liliaceae,linum,lonicera,lotus-type,lythrum,myrtus,olea,oleaceae,orobanchaceae,papaver,pedicularis,phillyrea,pinus,pistacia,plantago,poaceae,poaceae (cerealia),podospora,polygonaceae,populus,potamogeton,potentilla,primulaceae,quercus (deciduous),quercus (evergreen),quercus faginea,ranunculaceae,ranunculus,rhamnus,ribes,rosaceae,rubiaceae,rumex,salix,sambucus,saxifragaceae,scrophulariaceae,sedum,selaginella,sordaria,sparganium,sporormiella,tamarix,taxus,thalictrum,thymelaeaceae,tilia,trifolium-type,typha,ulmus,urticaceae,valerianoideae,viburnum,viscum album,vitis
686.5,7425.06,,,,,3,,5,,,2,,42,,1,2,,,,,5,,,2,2,,,21,2,2,,,,,,,,,12,,,,,,,1,,,1,,,,7,6,,3,,,1,,,,,,,1,,108,,,18,,,,1,1,,4,35,9,31,2,,,,4,1,,2,,2,2,,,,,,,,,,4,,,1,4,,,,
700,7512149,,,,2,2,,4,,,4,,49,,1,2,,,,,1,,,1,1,,,21,4,4,,,,1,,,,1,15,,,,,,,1,1,,1,,,,3,4,,2,,,,,,,,,,,,110,,,11,,,,1,2,,3,20,12,24,4,1,,,10,,,,1,,4,,,,,,1,,,,3,,,,3,,,,
710,7576.66,,,1,2,6,,3,,1,2,4,40,,,5,,1,,,5,,1,2,,3,,14,2,1,,,,,,,,,19,,1,,2,,,,6,,,,,,1,4,,1,,,1,,,,2,,,,,125,,,24,,,,,1,,2,18,14,18,2,,,1,6,,,2,,1,5,1,,,,,,,,,1,5,,1,1,1,,,
720,7641.17,,,,1,6,,7,,,2,,39,,,1,,,,,2,,1,1,4,1,,15,3,5,,,,,,,,,22,,1,,3,,,,6,,,,,,1,14,,2,,,,,,,,,1,,,105,,1,16,,,,1,1,1,1,22,4,25,7,3,,1,4,1,,,,1,2,,,,,,,,,,5,1,,1,2,,,,
730,7705681,,,,3,4,,11,,,1,1,58,,,6,,,,,4,,2,,,1,,14,4,1,,,,,,,,,29,,1,,1,,,,2,,1,,,,1,6,,1,,,2,,,,1,,1,,,71,1,,16,,,,,1,,4,16,18,28,7,1,,1,1,2,1,3,,1,1,1,2,,,,1,,1,,2,4,,4,2,,,,
740,7770191,,,,3,11,,2,,,1,,45,2,,5,,,,,1,,,1,1,,,22,1,2,,,,,,,,,22,,,,,1,,,6,,,,,,2,9,,3,,,2,1,,,1,,,,,85,1,1,29,,,,,,1,1,31,18,20,4,2,,,9,5,2,5,,,2,1,,,,,,,,,1,1,,1,5,,,,
750,7834702,,,,3,14,,3,,,2,1,57,,,2,,1,,,7,,,,,,,19,5,,,,,,,,,,18,,,,6,1,,,5,,,,,,3,15,,,,,5,,,,1,,2,,,61,1,,12,,,,,1,,5,20,22,20,12,2,,,12,,1,1,,3,3,1,,,,,2,,1,,2,6,,1,4,,,,
760,7899213,,,,4,8,,6,,,2,1,51,,,4,1,,,,,,,1,,,,14,3,1,,,,,,,,,13,,1,,7,1,,,1,,,,,,2,6,1,1,,,1,,,,1,,,1,,109,,1,13,,,,,1,1,,16,11,13,13,3,,,5,,1,3,,,2,,1,,,,3,,,,1,6,,1,3,,,,
770,7963724,,,,6,1,,6,,1,,,64,,,4,,,,,3,,,,,1,,23,5,2,,,1,,,,,,10,,,,7,,,,2,,1,,,,4,11,,1,,,1,,,,,1,1,1,,82,1,,18,,,,,,,3,12,12,34,4,4,,,2,,,1,,3,3,2,,,,,,,1,,1,2,,2,5,,,,
775,7995979,,,,2,6,,5,,,1,,49,,,1,,,1,,3,,,1,,,,41,2,4,,,,1,,,,,10,,,,1,,,,,,,,,,5,9,,,,,6,,,,,,,,,72,,,23,,,,,,,5,6,2,13,4,,,,4,1,,7,,,7,1,,,,,,,2,,,2,,,7,,,,
780,8028234,,,,2,6,,1,,,3,,48,,1,4,,,,,4,,,5,1,,,23,1,1,,,1,1,,1,1,,10,,,,3,,,,1,,1,,,,5,10,,4,,,2,,,,1,,,,,97,,,10,,,,,2,,3,14,7,9,6,2,,,3,,,1,,1,5,1,1,,,,,,,,1,5,,2,8,,,,
785,8060489,,,,1,9,,4,1,1,3,,45,,,2,,,1,,4,,,3,,,,24,2,3,,,,,,1,,,5,,1,,1,,,,2,,,,,,6,4,,2,,,3,,,,1,,,,,78,,,32,,,,1,1,,,13,5,9,6,1,,,7,,,1,,2,3,1,1,,,,1,,1,1,,6,,3,8,1,,,
790,8092745,,,,5,3,,2,,,,,37,,,1,,,,,,,,,,,,16,,11,,,,,,,,,18,,,,17,,,1,,,,,,3,11,5,1,,,,,,1,,,,,,,73,,,20,,,,2,,,,36,7,,,8,3,,2,,2,2,,,,,,,,,,1,1,,,,,2,9,,,,
795,8125,,,,1,19,,3,,1,2,1,37,,,3,,,1,,4,,,1,,,,20,3,1,,,,1,,1,1,,5,,,,5,1,,,4,,,,,,5,6,,,,,2,,,,,,,,,77,,,27,,,,,,,7,21,4,9,8,3,,,5,,,,,1,2,2,,,,,,,,,1,6,,1,4,1,,,
800,8147061,,,,2,1,,6,,1,5,,51,,,5,,,,,1,,1,2,,,,22,4,2,,,,,,1,,,,,,,7,,,,1,,,,,,1,6,,,,,,,,,1,,,1,,123,1,1,4,,,,,,,1,6,8,18,5,1,,,4,1,1,1,,4,3,1,,,,,,,2,,,2,,1,7,,,,
805,8169122,,,,3,5,,2,,,2,,54,,1,3,,,1,,1,,,5,,,,15,,,,,1,,,1,1,,16,,,,6,,,,2,,,,,,5,4,,3,,,1,,,,,,,1,,158,1,,17,,,,,,,2,6,8,12,3,1,,,3,,,2,,,2,1,1,,,,,,,,,2,,1,7,,,,
810,8191183,,,,1,5,,4,,,6,,60,,,2,,,,,2,,1,1,,,1,18,4,,,,,1,,,,,21,,,,4,,,,2,,,,,,5,10,,3,,,,,,,1,,,,,140,,,7,,,,,,,,4,10,2,5,3,,,2,,,1,,2,1,,,,,,,,,,,4,,,10,,,,
815,8213243,,,,1,7,,4,,,2,1,41,,,1,,,2,,3,,,8,,,,13,,2,,,2,2,,,1,,13,,,,5,1,,,2,,,,,,4,8,,1,,,2,,,,1,,,,,162,1,,21,,,,,,,1,6,8,12,6,1,,,3,,,1,,1,1,1,,,,,,,1,,,2,,,6,,,,
820,8235304,,,,,1,,1,,,1,,22,,,1,,,,,3,,,5,1,,,8,2,3,,,,1,,1,,,17,,,,4,,,,3,,,,,1,12,4,,9,,,,,,,1,,,,,249,,,21,,,,,1,,1,11,2,11,6,3,,,1,,,,,2,5,,,,1,,,,,,,1,,1,1,,,,
825,8257365,,,,1,3,,1,,2,,,18,,,,,,1,,,,,4,,,,10,,1,1,,,,,1,,,13,,,,6,,,,1,,,,,,6,3,,,,,1,,,,,,,,,313,,1,21,,,,,2,,,10,8,8,3,3,,,,,,,,,4,,,,,,,,,,,3,,,5,,1,,
830,8279426,,,,1,2,,2,,,1,,20,,1,1,,2,,,1,,,6,,,,5,1,1,,,1,,,,,,16,,,,2,,,,2,,,,,1,10,12,,2,,2,,,,,,1,,,,335,,,16,,,,,1,,1,11,4,14,7,1,,,,,,,,,7,,,,,,,,,,,,,1,1,,,,
835,8301486,,,,,1,,1,,1,,,17,,,4,,,1,,2,,2,10,,,,13,1,2,,,1,,,,,,15,,,,6,,,,2,,4,,,,5,2,,1,,,1,,,,,,,,,478,,,24,,,,1,,,1,2,4,8,2,1,,,1,,,,,,3,,,,,,,,,,,1,,,1,1,1,,
838,8314723,,,,1,3,,5,,,1,1,29,,,4,,1,,,4,,1,11,,,,14,,1,,,,,,,,,13,,1,,4,3,,,3,,,,,,12,8,,4,,,2,,,,,,1,,,261,,,19,,,,,,,4,6,6,13,4,2,,,1,,,,,,3,,,,,,,,,,,1,,,7,,,,
843,8336784,,,,4,4,,2,,,2,,19,1,,2,,,1,,2,,,7,,1,,14,,4,,,,3,,,,,13,,,,2,,,1,7,,1,,,2,5,1,,,,1,1,,,,,,,,,279,,1,13,,,,1,,,,4,1,10,,2,,,1,,,,,1,,,,,,,,,,,,3,,,2,,,,
848,8358845,,,,4,1,,4,,,,,25,,,1,,,,,,,,4,,,,5,2,2,,,,1,,,,,9,,1,,4,,,,1,,,,,,10,7,,2,,,1,,,,,1,,,,366,,,18,,,,,1,,,6,2,8,5,,,,,,,,,,2,,,,,,,1,,,,,,1,3,,,,
855,8389729,,1,,2,,,1,,3,,,11,,,1,,,2,,2,,,3,,,,3,2,,,,,,,,,,7,,,,8,,,,,,,,,1,7,2,,,,,,,,,,,1,,,285,,,7,,,,,,,3,10,1,12,2,1,,,,,,,,2,7,1,1,,,,,,,,3,,,,5,,,,
860,8411791,,1,,3,6,,6,,,4,,29,,,4,,1,,,2,,,1,,,,16,4,1,,,,,,,,,20,,,,24,,,,2,,,,,,14,7,,,,1,1,,,,,,,1,,106,,,25,,,,,,,,8,8,,4,1,,,1,,1,1,,,,,,,,,,,1,,1,3,,,6,,,,
870,8455912,,,,1,3,,2,,1,2,,47,,,3,,1,1,,1,,,2,,,,9,4,,,,,1,,,1,,19,,,,18,,,,,,,,,,5,12,,3,,,,,,,,,,,,130,,,18,,,,,,,4,2,4,,7,2,,,,1,,,,1,1,,1,,,,1,1,,,1,2,,,5,,,,
880,8500034,,,,3,3,,4,,,1,,27,,,5,,2,,,2,,,1,,,,13,7,2,,,,1,,,,,26,,,,11,,,,,,,,,,9,14,1,5,1,,,,,,1,,,,,116,1,,28,,,,,1,,5,10,10,18,4,2,1,,,,,1,,,3,,,,,,,,,,,1,,,5,,,,
890,8544155,,1,,1,4,,1,,,1,,28,,,1,,1,,,,,,,,,,10,1,2,,,,,,,,,17,,,,2,,,,,,,,,,8,10,,1,,,,,,,,1,,,,143,,,20,,,,,1,,2,12,3,16,6,3,,,2,,,2,1,,,,,,,,1,,,,,,,,2,,,,
900,8588277,,,,3,2,,3,,,1,,38,,,5,,1,,,1,,,4,,,,14,7,,,,,,,,,,9,,,,3,,,1,,,,,,,12,8,,1,,,1,,,,1,2,,,,122,,,27,,,,,1,,3,10,8,14,7,2,,,3,,,,,,1,,,,,,,,1,,,,,,6,,,,
910,8632398,,,,2,3,,4,,,3,,48,,,4,,,,,,,1,3,,,,10,5,2,,,,,,,,,8,,,,3,,,,,,,,,2,8,9,,4,1,,,,,,1,,,,,115,1,,23,,,,,1,,3,20,8,20,6,1,,,2,,,1,,1,6,,,,,,1,,,,,,,,4,,,,
920,8676521,,,,2,5,,4,,,3,,37,,,3,,2,,,1,,,3,,,1,9,1,2,,,,,,,,,13,,,,15,,,,,,,,,,9,11,,1,,,,,,,1,2,,,,142,,,13,,,,,1,,2,20,10,20,7,1,1,,2,,,4,,,1,,,,,,,,,,,1,,,3,,,,
930,8720642,,,,2,,,1,,1,2,,21,,,3,,1,,,2,,1,3,,,,4,2,1,,,,1,,,,,7,,,,4,,,,,,,,,,5,3,,2,,1,,1,,,,,,,,292,,,10,,,,,1,,,4,4,8,3,,,,,,,1,,,3,,,,,,,,1,,,,,,6,,,,
940,8764764,,1,,,2,,1,,,1,,35,,,4,,,,,1,,,1,,,,9,1,1,,,,,,,,,5,,,,4,,,,,,,,,,3,10,,2,,2,1,,,,,,,,,162,1,,12,,,,,1,,1,4,8,6,9,1,,,,,,4,,1,1,,1,,,,1,1,,,,2,,1,6,,,,
950,8782015,,1,,1,3,,4,,,2,,27,,,2,,1,,,,,,1,,,,13,,1,,,,1,,,,,5,,,,8,,,,,,,,,,7,14,,,,,,,,,2,,,,,163,,,21,,,,1,1,,2,1,11,17,5,1,,,1,,,1,,,3,,,,,,,,,,,1,,1,4,,1,,
960,8787.75,,,,1,2,,5,1,,,,43,,,,,,,,,,,,,,,14,3,3,,,,,,,,,19,,,,1,,,,,,1,,,,4,7,,2,,,,,,,2,,,,,134,2,,12,,,,,,,,12,17,17,6,3,,,,1,,4,1,,5,,,,,,,,1,,,,,2,1,,1,,
975,8796353,,,,1,1,,4,,,,,52,,,1,,,,,,,,2,,,,12,1,,,,,1,,,,,7,,,,6,,,,,,1,,,,9,5,,,,,,,,,1,,,1,,149,1,,17,,,,,1,,,16,10,20,3,2,,,,,,5,,,,,,,,,,,,,,1,,2,4,,,,
985,8802088,,,,3,1,,2,,,2,,36,,,1,,,,,,,,1,,,,7,1,,,,,,,,,,7,,,,4,,,,,,1,,,,11,7,,2,,,1,,,,1,,,,,157,2,,19,,,,,1,,1,3,14,8,1,3,,,2,1,,2,,,3,,1,,,,,,3,,,1,,1,3,,,,
995,8807823,,,,5,2,,7,,,,,38,,,2,,,,,,,,,,,,15,1,,,,,,,,,,6,,,,2,,,,,,,,1,,11,5,,3,,,,,,,1,,,,,163,,,12,,,,,1,,5,16,6,12,1,,,,3,,,1,,,2,,,,,,,,,,,,,2,4,,,,
1005,8813559,,,,1,,,2,,,1,,17,,,1,,,,,1,,,,,,,5,1,1,,,,1,,,,,7,,,,2,,,,1,,,1,,,22,3,,4,,,,,,,1,,,,,192,,,21,,,,,1,,,6,6,6,2,2,,,1,,1,3,1,,,,,,,,,,,,,1,,,2,,1,,
1010,8816427,,,,4,,1,1,,1,1,,15,,,,,,,,,,,,,,,4,,1,,,,1,,,,,8,,,,2,,,,,,1,,,,14,2,,1,,,,,,,,,,,,222,,,19,,,,,5,,,1,3,5,1,,,,3,1,1,,,,,,,,,,,,1,,,,,,5,,,,
1015,8842073,,1,,2,1,,2,,,,,16,,,1,,1,,,2,,,,1,,,4,,3,,,,,,,,,7,,,,1,,,,,,1,,,,24,6,1,,,,,,,,1,,,,,193,,,15,,,,,,,,3,9,6,2,1,,,1,,,1,2,,,,,,,,,,1,,,,,3,3,,,,
1025,8904757,,,,5,2,,8,,,,,32,,,1,,,,,,,,,,,,15,,6,,,,,,,,,14,,,,3,,,,,,1,,,1,10,10,1,1,,,1,,,,1,,,,,149,,,18,,,,,,,,6,2,15,4,2,,,,,,4,,,1,,,,,,,,,,,,,,5,,,,
1035,8967.44,,2,,4,1,,3,,,,,23,,,2,,1,,,,,,2,,,,16,2,1,,,,,,,,,16,,,,3,,,,,,,,,1,9,9,,1,,,1,,,,1,,,,,180,,,9,,,,2,,,,6,1,9,5,1,,,1,,,2,,1,1,,1,,,,1,,,,,1,,,3,,,,
1040,8998783,,,,5,,,3,,,2,,29,,,1,1,,1,,1,,,,,,,18,,1,,,,,,,,,8,,,,,,,2,,,,,,,13,1,,1,,,,,,,,,1,,,255,,,10,,,,,,,,6,7,11,,1,2,,1,1,,3,2,,,,,,,,,,4,1,,,,2,4,,,,
1050.5,9064601,,,,2,,,5,,2,1,,26,,,1,,1,,,1,,,,,,,21,2,1,,,,,,,,1,8,,,,4,,,,,,,,,,8,3,,3,,,1,1,,,1,,1,,,150,1,,12,,,,,1,,1,3,6,15,4,1,,,1,1,,4,,1,3,,,,,,2,,2,,,1,,1,7,,,,
1060.5,9127284,,,,1,5,,8,,,,,63,,,,,,,,,,,1,,,,4,,3,,,,1,,,,,14,,,,3,,,,4,,,,1,1,12,5,1,,,,4,,2,,,,,,,149,,,5,,,,4,,,2,1,8,,,1,1,,2,,1,,,,,,,,,,,,1,,,,,,6,,,,
1065.5,9158626,,,,2,2,,9,,,2,,39,,,2,,,,,,,,3,,,,20,2,5,,,,,,1,,,15,,,,3,,,,,,,,,,10,12,1,4,,1,4,,,,2,,,,,152,,,14,,,,,3,,,6,3,18,3,1,,,,,,1,,,,,2,,,,1,,1,,,2,1,1,3,,,,
1070.5,9189968,,,,1,,,4,,,2,,11,,1,,,,,,,,,2,,,,6,,,,,,,,,,,9,,,,3,,,,,,,,,,8,4,,4,,,,,,,1,,,,,175,,,8,,,,,1,,,1,8,,4,,,,1,,1,,,1,2,,,,,,,,,,,,,2,1,,,,
1085.5,9283993,,1,,3,2,,4,,1,1,,44,,,2,,,,,2,,,1,,,,12,5,,,,1,,,,,,12,,,,6,6,,,,,,,,1,6,9,,1,,,1,,,,,,,,,115,2,,20,,,,,,,4,6,16,10,3,3,,,1,,,1,,1,,,1,,,,1,,,,,1,,3,9,,,,
1090.5,9315336,,1,,5,4,,7,,,4,,49,,,3,,1,,,,,,2,,,,10,7,3,,,,,,,,,15,,,,2,1,,,,,,,,,10,6,,1,,,1,,,,,,,,,105,,,20,,,,,1,,4,2,14,10,6,4,,,1,,,,,,,,,,,,,,,,,,1,4,6,,,,
1100.5,9378.02,,,,5,5,,5,,,1,,50,,,6,,,,,3,,,1,,,,16,8,,,,,,,,1,,14,,,,1,1,,,,,,,,,10,13,,2,,,2,,,,,,1,,,63,1,,19,,,,,1,,2,6,18,20,8,3,,,1,,2,1,,1,7,,,,,,1,,3,,,3,,4,6,,,,
1105.5,9409361,,,,3,5,,11,,,1,,43,,,2,,,,,1,,,,1,,,8,1,1,,,,1,,,,,16,,,,1,,,,,,,,1,,12,7,,1,,1,2,,1,,4,,,,,100,,2,9,,,,,1,,3,4,18,4,7,6,,,3,,,1,,3,1,,,,,,,,,,,4,,4,2,,,,
1115.5,9472045,,,,5,6,,5,,,2,,54,,,2,,,,,,,,,,,,12,3,1,,,,1,,,,,15,,1,,4,,,,,,,,,,3,17,,1,,,,,,,1,,,,,79,,,27,,,,,2,,3,2,16,14,10,1,,,4,,,2,1,3,3,,,,,,1,,1,,,4,1,1,4,,,,
1125.5,9534729,,,,1,,,5,,,,,34,,,1,,,,,,,,4,,,,16,3,7,,,,1,,,,,16,,,,3,,,,,,1,,2,1,12,18,,4,,1,,,,,3,,1,,,103,1,,9,,,,,,,2,3,19,13,4,2,1,,4,,,1,,,2,,,,,,4,,1,,,,,4,7,,,,
1135.5,9597412,,,,2,4,,7,,,2,,38,,,1,,,,,5,,,,,,,13,,,,,,,,,,,14,,,,10,,,1,,,,,,,19,10,,2,,5,1,,,,1,,,1,,110,,,20,,,,,2,,,8,7,,3,2,,,1,,,4,,,,,,,,,4,,,,,,,3,12,,,,
1140.5,9628754,,,,2,3,,5,,1,1,,56,,,,,1,,,5,,,,,,,20,1,,,,,,,2,,,9,,,,2,,,,,,,,,2,13,2,1,,,,4,,,,,,,,,130,,,7,,,,,,,,14,17,,,,,,1,,2,3,,2,1,,,,,,,,2,,,,,2,4,,,,
1145.5,9660096,,,,4,1,,3,,,2,,30,,,2,,,,,1,,1,2,,,1,3,3,1,,,,,,,,,23,,,,1,1,,,,,,,,,11,10,,1,,4,1,,,,,,1,1,,173,1,,10,,,,1,,,,3,12,6,4,3,,,,,,1,1,1,2,,,,,,,,,,,1,,3,4,,,,
1150.5,9691438,,,,1,1,1,5,,,,,11,,,,,,,,4,,,1,,,,3,,3,,,,,1,1,,,12,,,,6,,,,1,,,,,1,20,12,,2,,2,,,1,,2,,,,,194,,,14,,,,,,,1,1,11,13,,7,2,,1,,,,,1,1,,1,,,,,1,,,,,,1,4,,,,
1155.5,9722779,,,,3,,,7,,1,1,,22,,,5,,,,,,,,,,,,6,4,5,,,,1,,,,,11,,,,3,,,,,,,,,,10,6,,2,,1,1,,,,2,,,,,161,2,,18,,,,,1,,2,3,9,6,7,3,,,1,,,,,1,1,,,,1,,,,2,,,2,,1,7,,,,
1160.5,9754121,,,,3,2,1,10,,,2,,32,,,,,,,,6,,,,,,,9,,1,,,,,,,,,19,,,,8,,,,1,,,,,1,14,17,,4,,,1,,,,1,,1,,,130,,,16,,,,,1,,,3,15,13,,4,,,2,,,,,4,2,,,,,,1,,1,,,,,3,8,,,,
1165.5,9785463,,,,3,1,,7,,,,,31,,,,,,,,4,,,,,,,15,,3,,,,,,,,,10,,,,1,,1,,,,,,,,15,10,,,,7,1,,,,1,,,,,129,,,21,,,,,2,,,9,12,9,,6,,,5,,1,2,,,,1,,,,,,,2,,,,,1,9,,,,
1167.5,9798,,,,3,7,,20,,,,,66,,,2,,,,,5,,,1,,,,15,,,,,1,,,,,,30,,,,15,,,,1,,,,,,4,9,,,,,,,,,,,1,1,,71,3,,25,,,,,,,5,4,10,8,6,4,,,6,1,,,,2,5,3,,,,,,,2,,,2,,2,6,1,,,
