depth,age,abies,acer,aconitum,alchemilla,alnus incana-type,alnus viridis,amaranthaceae,anemone nemorosa-type,apiaceae,artemisia,asteroideae,bartsia-type,betula,bistorta officinalis,boraginaceae,botrychium,brassicaceae,bupleurum,calluna vulgaris,campanulaceae,cannabaceae,carpinus,caryophyllaceae,castanea sativa,centaurea cyanus,centaurea nigra-type,centaurea scabiosa,cichorioideae,circaea,corylus,cystopteris fragilis,daphne-type,dryas-type,dryopteris-type,echium,ephedra distachya-type,ephedra fragilis-type,epilobium,ericaceae,fabaceae,fagus,filipendula,fraxinus,genista-type,gentiana purpurea-type,geranium,geum-type,globularia,hedera,helianthemum,homogyne-type,hypericum,juglans,juniperus,juniperus,knautia,larix,larix,liliaceae-type,lilium martagon-type,lonicera,mentha-type,menyanthes trifoliata,mercurialis,micranthes stellaris-type,odontites-type,olea,onobrychis,ononis-type,picea,pinus,pinus cembra,pinus sylvestris-type,plantago,plantago alpina,plantago atrata-type,plantago lanceolata-type,plantago major-type,poaceae,poaceae (cerealia),polypodium,potamogeton,potentilla-type,primulaceae,pteridium aquilinum,pteridophyta (monolete) undiff.,quercus,ranunculaceae,ranunculus-type,rhinanthus,rosaceae,rubiaceae,rumex-type,salix,sambucus nigra-type,sample quantity,sanguisorba officinalis,saxifraga oppositifolia-type,scabiosa,scrophulariaceae,secale,sedum-type,selaginella selaginoides,sorbus,sparganium-type,teucrium,thalictrum,tilia,trifolium-type,trollius europaeus,ulmus,urtica,valeriana,varia,viburnum
88,1840.83,25,1,,,22,125,2,1,3,5,5,,65,,,4,1,,,4,,,,,,,,11,,10,,,,4,,,,,1,,40,,1,,4,,,,,,,,,9,,,28,,,,,,,,,,,,,177,,44,127,1,7,1,,,106,1,1,71,1,,1,6,54,8,2,1,2,2,4,4,,1,,,,,,,1,,,,1,1,,,2,,,3,
110,1848.17,14,,,,38,137,2,,,8,6,,34,,,,,,,2,3,1,1,,,,,,1,15,,,,1,,,,,1,,27,1,,,,,,,,,,,7,6,,,16,,,,,,,,1,1,,,,252,,47,71,,12,1,1,,168,8,,34,,1,1,6,27,2,,1,1,2,8,1,,1,,,,,23,,,,,,2,,,1,,5,,4,
120,1925,16,1,,,35,187,2,,1,10,1,,65,,,1,1,,,1,4,2,,1,,,,5,,26,,,,2,,,,,2,,42,1,,,,,,,,,,,4,10,,,14,,,,,,1,1,,,,,,172,,42,113,,13,,,1,88,1,,49,1,,2,4,48,1,,,,1,5,,,1,,1,,,1,,1,1,,,,,,,1,3,,3,
130,2095,25,2,,,13,273,1,,3,9,,,31,,,,,1,,,2,1,,,,,,1,,13,,,,5,,,,,1,,31,1,,,,,,,,,,2,,15,,,14,,,,,,2,,,1,,,,147,,31,75,,8,,,,86,1,1,103,1,,3,6,75,4,,,2,,10,2,,1,,1,,,,,,1,,,,,,,4,1,,4,
140,2268.04,24,1,2,,17,226,1,,,6,,,43,,,2,,,,2,3,,1,,,,,2,,18,,,,2,,,,1,,,33,,1,,2,,,,,,,,,9,,,39,,,,,1,,,1,,,,,141,,49,79,,2,,,,96,2,,83,,,1,3,68,3,,,2,1,6,2,,1,,,,,,,1,,,,2,1,,,,3,,3,
150,2451.55,28,1,,,24,150,2,1,2,26,1,,88,,,3,1,2,,2,4,,3,,,,,9,,22,,,,1,,,,,1,,28,2,2,,4,,,,,,,,,11,,,16,,,,,1,1,,1,1,,,,155,,41,79,,9,,,,135,,,47,1,,,9,24,8,1,,3,1,10,4,,1,,,,,,,,1,,,,,1,,,6,,2,
160,2636.61,44,2,,,26,103,2,,1,7,2,1,34,,,1,,,,3,2,,2,,,,,2,,15,,,,,,,,,1,,39,2,2,,3,,,,,1,,1,,6,,,13,,,,,,1,,,,,,,213,,40,153,,7,,,,107,1,,83,4,,,11,31,2,1,,2,,7,,,1,,,,,,,,,,,1,3,,,,3,1,3,
165,2729.14,33,1,,,11,251,3,,2,10,3,,32,,,,,,,,,,,,,,,4,,9,,,,1,,,,,1,,25,,,,,,,,,,,,,8,,,11,,,,,,,,,,,,,139,,21,92,2,11,,1,,99,5,,43,,,1,9,29,1,3,1,2,,9,2,1,1,,1,,,,,,,1,,1,1,1,,2,2,,,
170,2821.67,45,6,,,24,111,,,1,1,2,,51,,,1,1,,,1,1,,1,,,,,3,,25,,,,,,1,,,1,,38,,2,,1,,,,,,,,,8,,,16,,,,,,,,,,,,,231,,33,253,,3,,,,61,,,25,,,,2,40,2,2,,2,,5,1,,1,,1,,,,,1,,,,,1,,,4,,,4,
175,2914.2,27,3,1,,6,160,1,,1,3,2,,28,,,1,,,,3,1,,,,,,,4,,25,,,,,,,,,,,47,,,,1,,,,,,,,,7,,,14,,,,,1,1,,,,,,,255,,40,221,2,3,,,,55,,,17,,,3,7,29,3,,,,,7,3,,1,,,,,,,1,,1,,2,,,,1,4,,,
