depth,age,acer,achillea-type,alchemilla,alnus,amaranthaceae,anemone nemorosa-type,angelica-type,apiaceae undiff.,arctostaphylos,artemisia,betula,betula/corylus/myrica,bistorta officinalis/b. vivipara,brassica-type,calluna vulgaris,campanula-type,capsella-type,carex-type,carpinus betulus,caryophyllaceae undiff.,cerastium fontanum-type,cichorioideae,cirsium/carduus,cornus suecica,corylus avellana,cryptogramma crispa,cyperaceae undiff.,cystopteris fragilis,diphasiastrum,dryopteris carthusiana-type,dryopteris filix-mas-type,dryopteris-type,empetrum nigrum,epilobium,equisetum,ericaceae cf. cassiope,ericaceae-type,eriophorum-type,eucalyptus spike,eucalyptus tablets,eucalyptus tablets,fagus sylvatica,filipendula,frangula alnus,fraxinus excelsior,gentiana purpurea-type,gentianella campestris-type,geranium sylvaticum-type,geum cf. g. rivale,gymnocarpium dryopteris,humulus lupulus,huperzia selago,isoëtes lacustris,juncaceae,juniperus communis,lotus cf. l. corniculatus,melampyrum,oxyria digyna,phegopteris connectilis,picea abies,pinus sylvestris,plantago lanceolata,plantago major/p. media,poaceae undiff.,polygonum aviculare-type,populus tremula,potentilla-type,prunus padus,quercus,ranunculus acris-type,ranunculus trichophyllus-type,ranunculus undiff.,rosaceae undiff.,rubiaceae,rubus chamaemorus,rumex acetosa,rumex acetosa/r. acetosella-type,rumex acetosella-type,rumex longifolius-type,sagina,salix herbacea-type,salix undiff.,saussurea nuda,saxifraga oppositifolia-type,sedum,silene dioica-type,silene viscaria-type,solidago-type,tilia cordata,trientalis europaea,ulmus,urtica,vaccinium-type,valeriana excelsa subsp. sambucifolia-type,veronica-type,viburnum opulus,viola palustris-type,cf. callitriche,cf. galeopsis,cf. sorbus aucuparia
1015,9097,,,,9,,,,,,,107,1,,,1,,,17,,,,1,,,62,,2,1,15,,,40,,,,,,2,247,0.1715,182100,,3,,1,,,,,13,1,,,,18,,1,1,,,203,,,59,,,1,1,2,,,,,,,4,2,3,,,,11,,,,,,2,,,17,1,2,,,,,,,2
1016,9126,,,,5,,,,,,,105,1,,,2,,,21,,,,3,,,63,,6,,8,1,7,38,2,,1,,1,3,359,0.1699,182100,,2,,,,,,,11,,2,,,17,,,,,,262,,,82,,,3,,1,,,,,1,,10,8,1,,,1,10,,,,,,1,1,,8,,,1,,,,,,
1017,9154,,,,6,,,,1,,1,122,1,,,3,,,17,,,,1,,,78,,2,,11,,4,40,,1,,,5,,344,0.2013,182100,,,,,,,,,18,,1,,,20,,,2,,,212,,,75,,1,,,3,,,,1,,,5,2,1,,,,8,,,,,,3,,,11,2,2,,,,,,,1
1018,9182,,,,4,,,,,,,102,5,,,2,,,17,,,,,,,55,1,5,,8,,,36,,,2,,2,,338,0.1985,182100,,,,,,,,2,9,,,,,29,1,1,3,,,185,,,85,,,,,,,,,,,,5,8,1,,,1,7,,,,,,1,,,4,,1,,,,,,,1
1019,9210,,,,6,1,,,,,1,98,,,,1,,,21,,,,,,,66,1,4,,11,,2,38,,,1,,1,1,266,0.1804,182100,,1,,,,,,,19,1,1,,1,26,1,2,,,,188,,,72,,,1,,4,,,,1,,,5,3,1,,,,11,,,1,,,2,,,10,,,,,,,,,
1020,9239,,,,5,,,,,1,2,104,1,,,1,,,12,,,,3,,,73,1,2,,9,,4,37,,1,2,,,2,284,0.1708,182100,,1,,,,,,,12,,4,1,,20,,1,2,,,192,,,68,,,2,,,,,,,,,11,1,1,,,1,11,,,,,,,,,5,,2,,,,,,,1
1021,9267,,,,2,,,1,,,,94,1,,,1,,,13,,,,,,,55,,4,,11,,5,28,,,2,,1,,276,0.1991,182100,,2,,,,,,,11,,,,1,27,3,2,3,,,211,,,42,,,,,3,,,,,,,4,3,,,,4,4,,,,,,3,,,6,3,1,,,,,,,3
1022,9295,,,,5,,,3,,,,89,3,,,2,,,12,,,,2,,,48,,2,,10,,,58,,,1,,1,2,393,0.2081,182100,,2,,1,,,,,8,,1,,,23,,3,1,,,196,,,65,,,,,5,,,,,,,4,2,1,,,1,10,,,1,,,1,1,,7,1,2,,,,,2,,2
1023,9323,,,,3,,,,1,,,97,2,,,3,,,23,,,,1,,,71,,2,,16,,8,42,,,1,,2,4,428,0.1764,182100,,2,,,,,,,8,,1,,,23,1,,1,,,223,,,81,,,2,,3,,,,,,,5,4,1,,1,1,10,,,,,,4,,,11,2,1,,,,,,,
1024,9352,,,,,1,,,,,1,96,,,,1,,,13,,,,,,,51,,4,,12,,7,21,2,1,,,,,320,0.2017,182100,,,,,,,,,9,,,,,17,,,,,,198,,,85,,,2,,1,,,,,,,6,5,1,,,2,10,,,,,,,,,5,,,,,,,1,,
1025,9402,,,,1,,,,,,1,117,,,,1,,,10,,,,,,,37,,1,,16,,1,46,,,,,2,,282,0.2009,182100,,,,1,,1,,,5,,2,,,23,,1,2,,,204,,,53,,,1,,3,,,,1,,,9,3,,,,2,9,,1,,,,,,,2,,,,,1,,,,
1026,9539,,,1,3,1,,1,,,,99,1,,,1,,,7,,,,1,,,63,,2,,11,,1,23,,,3,,1,1,296,0.1959,182100,,2,,,,,,,7,,1,,1,12,1,1,1,,,161,,,66,,,1,1,,1,,,,,,10,2,1,,,1,4,,,2,,1,1,,,4,,2,,,,,1,,1
1027,9676,,,,1,2,,1,,,,135,,,,3,,,23,,,,,1,,67,2,4,,21,,3,43,,,,,1,1,433,0.1925,182100,,6,,,,,,,11,2,1,,1,12,,,2,,,223,,,100,,,,,1,1,,,,,,9,5,1,,,1,9,,,,,,1,,,7,1,,,,,,1,,
1028,9813,,,,2,,,1,,,2,104,,,,3,,,15,,,,1,,,49,,1,,12,,8,33,1,,,,1,4,362,0.1678,182100,,1,,,,,,,7,,1,,,12,,3,1,,,225,,,87,,,,,2,,,,,,,7,2,,,,,11,,,,,,1,,,4,,1,,,,,1,,4
1029,9950,1,,,,,,,1,,1,99,,,,1,,,10,,,,1,,,55,,4,,19,,2,40,,,,,5,2,280,0.1777,182100,,1,,,,,,,12,,,,,20,,1,,,,175,,,67,,,,,3,,,,1,,,7,1,,,,,6,,,,,,2,,,5,,,,1,,,2,,1
1030,10087,,,,,,,,2,,,80,2,,,1,,,16,,,,,,,52,,4,,9,,4,46,,,1,,2,1,348,0.1802,182100,,1,,,,,,,16,,2,,,17,,,,,,223,,,81,,,,,,,,,,,,10,9,2,,,2,7,,,1,,,1,,,7,1,1,,1,1,,6,,3
1031,10224,,,,,,,1,,,,100,,,,,,,7,,,,2,,,52,,3,,13,,5,24,1,,1,,2,,257,0.1725,182100,,2,,,,,,,18,,5,,,6,1,4,2,,,201,,,47,,,1,,,,,,,,,4,,,,,,17,,,,,,,,,7,1,,,,,,2,,
1032,10361,,,,,,,,,,,107,,,,,,,8,,,,1,,,73,,2,,15,,8,28,1,,2,,2,1,347,0.1871,182100,,1,,,,,,,16,1,,,,4,1,4,4,,,166,,,59,,,,,1,,,,2,,,4,7,3,,,2,5,,,,,,,,,10,1,,,,,1,2,,3
1033,10498,,,,,,,1,,,1,88,2,,,1,,,15,,,,,,,58,,5,1,14,,7,19,1,,,1,1,,322,0.169,182100,,2,,,,,,,21,,,,2,8,,1,3,,,195,,,47,,,,,,,,,1,,,7,3,1,,1,,9,,,,,,2,,,8,1,,,,,,1,1,2
1034,10636,,,,,,,,,,3,66,,,,2,,,10,,,,1,,,96,,4,,17,,2,18,,,3,,,3,445,0.1806,182100,,5,,,,,,,14,,2,,,6,2,,1,,,204,,,24,,,,,,,,,,,,1,2,,,,1,11,,,,,,2,,,7,,,,,,,3,,3
1035,10773,,,,,1,,,,,3,155,1,,,3,,,16,,,,2,,,58,2,9,,17,,7,26,2,,1,,1,2,652,0.1754,182100,,,,1,,,,,27,1,,,,7,3,,2,,,207,,,61,,,,,8,,,,,,,4,5,,,,1,4,,,,,,,,,12,1,2,,,1,,1,,3
1036,10910,,,,,,,2,,1,,64,2,,,6,,,9,,,,,,,77,,2,,12,,4,37,,,,,,1,481,0.1816,182100,,2,,,,,,,16,,3,,,5,,,4,,,190,,,30,,1,,,,,,,,,,7,8,1,,,1,18,,,,,,,,,6,,,,,,,1,,2
1037,11047,,,,,,,,,,,188,3,,,3,,,4,,,,,,,82,1,2,,12,,5,30,,,4,,,2,527,0.1775,182100,,5,,,,,,,12,,2,,,13,,,7,,,206,,,56,,1,,,1,,,,,,,5,4,5,,,3,8,,,1,,,1,,,6,2,,,,,,4,,2
1038,11115,,,,1,,,,,,2,117,2,,,1,,,7,,,,,,,91,,6,,1,,5,14,,,3,,2,,625,0.2057,182100,,1,,,,,,,11,,1,,,3,,,12,,,200,,,25,,1,,,2,2,,,1,,,4,8,2,,,3,13,,1,,,,,,,3,,,,1,,,4,,1
