depth,age,abies,acer,achillea-type,alisma,alnus glutinosa-type,alnus viridis-type,amaranthaceae,anemone-type,anthericum,anthoceros,apiaceae undiff.,arctostaphylos,artemisia,asteroideae undiff.,betula,boraginaceae,botrychium,brassicaceae,bupleurum-type,calluna,caltha-type,calystegia,campanulaceae,carpinus,caryophyllaceae undiff.,castanea,centaurea cyanus,centaurea jacea-type,centaurea scabiosa-type,cerastium-type,cichorioideae,cirsium-type,cladium,convolvulus arvensis,cornus sanguinea,corylus,dianthus-type,dryas-type,empetrum/rhododendron subsect. ledum,ephedra distachya,ephedra fragilis,epilobium,ericaceae undiff.,euonymus,euphorbia,fabaceae undiff.,fagopyrum,fagus,ficaria verna-type,filipendula,frangula,fraxinus,genista-type,geraniaceae,geum-type,gypsophila,hedera,helianthemum,heracleum-type,hippophaë,hippuris,hordeum-type,humulus/cannabis,hydrocotyle,hypericum-type,hystrix,ilex aquifolium,impatiens,jasione,juniperus,knautia,lamiaceae,lemnoideae,lotus,melampyrum,menyanthes,mercurialis perennis,myriophyllum spicatum,onobrychis-type,ononis-type,ophioglossum,papaver argemone,papaver-type,parnassia,persicaria amphibia,persicaria maculosa-type,picea,pinus,plantago lanceolata,plantago major/p. media,plantago maritima-type,plantago undiff.,poaceae,poaceae (cerealia-type) undiff.,polygonum aviculare,populus,potentilla-type,poterium sanguisorba,quercus,ranunculaceae undiff.,ranunculus acris-type,ranunculus sect. batrachium-type,rhamnus cathartica,rhinanthus-type,rosaceae undiff.,rubiaceae,rumex acetosa-type,rumex subg. rumex,sagina,salix,sambucus,sanguisorba officinalis,scabiosa,scirpus-type,scleranthus annuus,scleranthus perennis,scrophulariaceae,secale,sedum,selaginella selaginoides,silene-type,solanum dulcamara,sorbus-type,stachys-type,stratiotes,succisa,symphytum,taxus,thalictrum,thelypteris,tilia,trifolium-type,trollius-type,ulmus,urticaceae,vaccinium-type,valerianoideae,varia,verbena,viburnum,vicia-type,viscum,xanthium
209,3025,3,,1,,312,,3,,,,1,,6,,141,,,,,17,,,,11,,,,,,,1,,,,,36,,,,,,,,,,,,46,,2,1,10,,,,,,,,,,,,,,,,,1,,,1,,,6,,,,,,,,,,,,2,538,12,1,,,65,1,,1,,,136,,,,,,,4,14,,,4,1,,,,,,,,,,,,,,,,,,1,,3,,,5,1,,,,,,,,
216,3087,4,,,,286,,2,,,,,,6,1,188,,,1,,12,,,,10,,,,,,,1,,,,,25,,,,,,,,,,,,30,,,,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,576,9,,,,35,1,,,,,90,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,1,,,,,,,,
223,3143,1,,1,,330,,2,,,,4,,2,1,195,,,,,6,,,1,5,,,,,,,2,,,,,34,,,,,,,,,,,,32,,1,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,479,5,,,,43,,,,,,130,,,,,,,,3,,,4,,,,,,,,,,,,,,,,,,,,,2,,,3,1,,,,,,,,
231,3207,2,1,,,383,,,,,,2,,1,,97,,,1,,18,,,,11,,,,,,,2,,1,,,36,,,,,,,,,,,,35,,1,,9,,,,,1,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,3,591,3,,,,49,1,,1,,,98,,1,,,,,,9,,,6,1,,,,,,,,,,,,,,,,,2,,,4,,,4,,,,,,,,,
238,3263,3,1,1,1,258,,2,,,,1,,10,1,121,,,,,10,,,,9,1,,,1,,,4,,,,,37,,,,,,,,,,,,35,,2,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,748,8,,,,60,3,,,,,92,,,,,,1,1,4,,,4,1,,,,,1,,,,,,,,,,,,,,,2,1,,11,,,,,,1,,,
245,3319,12,,,,203,,7,,,,2,,25,,65,,,3,,10,,,1,7,4,,,1,,,11,,,,,69,,,,,,,,,,,,54,,1,,9,,,,,,,,,,,3,,,,,,,1,,,,,1,,,,,,,,,,1,,10,801,18,,,,100,3,1,1,1,,112,,,1,,,,1,21,,,4,,,,1,,3,,,,,,,,,,,,2,1,,4,,,9,,,,2,,,,,1
252,3374,14,2,,,244,,6,,,,2,,26,1,83,,,1,,14,,,,13,1,,,,,,3,,,,,60,,,,,,,,,,1,,41,,4,,11,,,,,,,,,,,2,,,,,,,1,,1,,,1,,,,,,,,,,,,10,669,13,,,,58,6,,,1,,117,,,,,,,2,8,,,2,,,,,,1,,,,,,,,,,1,,,1,,7,,,14,1,,,1,,,,,
259,3430,7,,,,283,,1,,,,2,,25,1,92,,,2,,10,,,,11,2,,,,,,2,,,,,60,,,,,,,,,,,,61,,1,,11,1,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,8,647,5,,,,70,3,1,,1,,124,,,,1,,1,,5,,,6,,,,,,,,,,,,,,,,,,1,,,4,,,9,1,,,,,,,,
266,3486,6,,,,244,,4,,,,9,,25,,80,,,,,11,,,,15,,,,,,,3,,1,,,65,,,,,,,,,,,,46,,2,,14,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,10,701,8,,,,77,7,,5,1,,128,,,,,,,2,6,,,7,,,,,,3,1,,,,,,,,,,,,,,10,,,7,,,,3,,,,,
273,3542,8,,,,405,,2,,,,2,,19,2,122,,,1,,12,,,,11,,,,,,,4,,,,1,100,,,,,,,,,,,,54,,,,9,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,7,618,9,1,,,51,1,1,1,,,132,,1,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,1,,14,,,8,,,,,,1,,,
280,3598,4,2,,,452,,7,,,,1,,11,,77,,,1,,11,,,,9,,,,1,,,1,,,,,150,,,,,,,,,,,,35,,1,,14,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,4,465,8,,,,53,3,,,,,136,,1,,,,,,12,,,7,,,,,,,,,,,,,,,,,,,1,,11,,,11,,,,1,,,,,
287,3654,4,2,,,379,,,1,,,1,,4,,81,,,,,6,,,,6,,,,,,,1,,,,,141,,,,,,,,,,,,33,,,,9,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,4,522,9,,,,29,1,1,,,,118,,1,,1,,,,14,1,,3,2,,,,,,,,,,,,1,,,,,1,1,,15,,,11,1,,,1,,,,,
294,3710,9,,1,,326,,,,,,4,,14,1,112,,,1,,13,1,,,14,,,,,,,1,,,,,144,,,,,,,,,,,,37,,4,,11,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,532,2,,,,32,,,2,,,204,,,,,,,1,3,,,4,,,,,,,,,,,,,1,,,1,,,,,26,,,19,,,,,,,,,
301,3766,6,,,,310,,,,,,3,,4,,139,,,,,14,1,,1,14,,,,,,,,,,,,107,,,,,,,,,,,,25,,,1,17,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,4,532,2,1,,,23,2,,4,,,173,,,1,,,,1,1,,,5,,,,,,,,,,,,,,,,,,3,,,21,,,21,,,,1,,,,,
308,3822,2,,,,353,,,,,,3,,7,1,114,,,,,15,,,,12,,,,1,1,,,,,,,129,,,,,,,,,,,,35,,2,,9,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,508,7,,,,42,,,,,,170,,,,,,,,2,,,8,,,,,,,,,,,,,,,,,,3,,,42,,,20,,,,,,,,,
326,3965,9,,,,325,,,,,,2,,5,,88,,,1,,12,,,1,5,,,,,,,,,,,,111,,,,,,,,,,,,16,,3,,14,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,9,585,3,,,,48,,,2,,,232,,1,,,,,1,1,,,5,,,,,,,,,,,,,,,,1,,,1,,27,,,18,,,,,,,,3,
333,4021,5,,1,,326,,,,,,,,4,1,114,,,,,6,,,,3,,,,,,,,,,,,139,,,,,,,,,,,,13,,1,,32,1,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,10,499,5,,,,53,,,2,,,204,,,,1,,1,1,4,,,5,,,1,,,,,,,,,,,,,,,1,,,22,,,15,1,,,,,,,,
340,4077,6,1,1,,296,,1,,,,,,5,1,97,,,,,9,,,,5,,,,,,,,,,,,85,,,,,,,,,,,,16,,,,24,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,5,541,3,,,,18,,,1,,,186,,,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,13,,,16,,,,,,,,,
347,4133,5,,,,352,,1,,,,15,,3,,103,,,,,8,,,,4,,,,,,,,,1,,,132,,,,,,,,,,,,17,,1,,20,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,10,519,4,,,,30,,,2,,,231,,,,1,,,1,3,,,1,1,,,,,,,,,,,,,,,1,,,2,,27,,1,18,3,,,,,,,,
354,4189,3,,1,,318,,2,,,,3,,10,3,85,,,,,7,,,,4,,,,,,,1,,,,,142,,,,,,,,,,,,14,,1,1,20,,,,,,,,,,,1,,,,,,,,,,,,3,,,1,,,,,,,,,11,591,3,,,,40,2,,4,,,194,,,,1,,,,5,1,,3,,,,,,,,,,,,,,,,,,1,,,24,,,17,,,,,,,,,
361,4245,4,2,,,186,,1,,,,,,3,,73,,,,,6,,,,3,,,,,,,,,,,,86,,,,,,,,,,,,15,,,,15,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,14,700,6,,,,29,1,,3,2,,143,,,,,,,1,5,,,3,,,,,,,,,,,,,,,,,,1,,,24,,,12,1,,,,1,,,1,
368,4301,5,,,,270,,2,,,,,,4,,80,,,,,7,,,,4,,,,,,,1,,1,,,115,,,,,,,,,,,,11,,,,19,1,,,,1,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,6,640,1,,,,31,,,1,,,152,,1,,1,,1,1,3,,,3,,,,,,,,,,,,,,,,,,1,1,,29,,,8,1,,,,,,,,
375,4357,2,1,,,350,,1,2,,,1,,7,2,111,,,,,12,,,,3,,,,,,,1,,,,,140,,,,,,,,,,,,17,,1,,26,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,17,670,7,2,,,48,,,3,,,266,1,,,2,,,,8,,,3,,,,,,,,,,,,,,,,,,1,1,,17,,,17,,,,1,,1,,3,
382,4413,2,,,,255,,1,,,,3,,6,1,101,,,,,4,,,,,,,,,,,,,1,,,112,,,,,,,,,,,,8,,1,1,12,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,11,740,3,1,,,16,1,,,,,165,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,18,,,13,,,,,,,,,
389,4468,2,1,,,288,,1,,,,,,2,,138,,,,,7,,,,,,,,,,,,,1,,,112,,,,,,,,,,,,11,,,1,17,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,11,502,4,,,,21,,,2,,,231,,,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,5,,,8,,,9,,,,,,,,,
396,4524,2,1,,,241,,,,,,1,,7,,104,,,,,12,,,,1,,,,,,,,,,,,91,,,,,,,,,,,,14,,2,,9,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,18,622,3,,,,36,,,2,1,,192,,,,1,,,1,1,,,4,,,,,,,,,,,,,1,,,,,2,,,13,,,12,,,,,,,,,
403,4580,2,,,,280,,,,,,,,10,1,111,,,,,16,,,,2,,,,,,,,,1,,,164,,,,,,,,,,,,3,,1,,21,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,11,642,5,,,,43,1,,1,,,168,,,,,,,1,6,,,1,,,,,,,,,,,1,,,,,,,1,,,10,,,11,,,,1,,,,,
410,4636,1,,,,200,,,,,,,,7,,115,,,1,,8,,,,1,,,,1,,,,,,,,103,,,,,,,,1,,,,10,,1,,10,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,22,730,,,,,38,,,5,,,124,,,,1,,,,3,,,4,,,,,,,,,,,,,1,,,,,,,,13,,,9,3,,,,,,,,
417,4692,2,,,,306,,,,,,,,5,1,134,,,1,,11,,,,2,,,,,,,,,2,,,137,,,,,,,,,,,,13,,,,17,2,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,31,583,6,,,,33,,,1,,,231,,,,1,,,,1,,,2,,,,,,,1,,,,,,,,,,,2,,,17,,,13,,,,,,,,,
424,4748,,,,,331,,,1,,,5,,5,,130,,,,,13,,,,1,,,,,,,2,,1,,,138,,,,,,,,,,1,,7,,1,,23,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,19,626,1,,,,37,,,3,,,149,,,,2,,,,,,,4,,,,,,,1,,,,,,,,,,,1,,,15,,,11,,,,,,,,,
429,4788,2,1,1,,284,,,,,,2,,7,,167,,,,,10,1,,,4,,,,,,,,,,,,105,,,,,,,,,,,,15,,,,23,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,12,771,4,,,,28,,,3,,,253,,,,2,,,3,3,,,,,,,,,,1,,,,,,,,,,,1,,,19,,,13,,,,2,,,,,
436,4844,1,,1,,276,,1,,,,,,4,,140,,,,,13,,,,2,,,,,,,1,,,,,121,,,,,,,,,,,,6,,,,18,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,11,543,2,,,,28,,,,,,200,,,,,,,,2,,,,,,,,,,1,,1,,,,,,,,,,2,,6,,,14,,,,,,,,,
443,4900,2,1,,,243,,2,,,,2,,11,,125,,,,,14,,,,2,,,,,,,,,1,,,100,,,,,,,,,,,,13,,1,,15,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,1,,,,,,,20,651,3,,,,33,,,4,,,173,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,1,,,12,,,12,,,,,,,,1,
450,4956,1,,,,247,,1,,,,1,,13,,131,,,,,13,,,,,,,,,,,,,,,,120,,,,,,,,,,,,5,,1,,18,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,18,633,6,,,,54,,,2,,,179,,,,,,,,1,,,2,,,,,,,1,,,,1,,,,,,,1,,,19,,,11,,,,,,,,,
457,5011,1,,,,330,,,,,,2,,6,1,99,,,1,,11,,,,1,,,,,,,,,,,,95,,,,,,,,,,,,19,,1,,14,,,,,1,,,,,,3,,,,,,,,,1,,,,,1,,,,,,,,,,22,698,3,,,,36,1,,1,1,,144,,,,2,,,,2,1,,3,,,,,,,1,,,,,,1,1,,,,2,,,7,,,9,2,,,,,,,1,
464,5067,1,1,,,258,,1,,,,3,,9,,116,,,1,,7,,,,,,,,,,,,,,,,153,,,,,,,,,,,,6,,2,1,19,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,22,635,5,,,,47,,,2,,,164,,,,,,,1,2,,,3,,,,,,,,,,,,,,,,,,,1,,13,,,8,,,,,,,,3,
471,5123,,,,,230,,,,,,2,,8,,113,,,,,8,,,,,,,,,,2,,,2,,,112,,,,,,,,,,,,11,,,,18,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,17,737,3,1,,,32,,,3,,,157,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,2,,,15,,,9,1,1,,,,,,,
478,5179,,,,,210,,1,,,,2,,3,2,70,,,,,6,,,,2,,,,,,,,,,,,103,,,,,,,,,,,,5,,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,760,4,,,,19,,,1,,,100,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,17,,,6,,,,,,,,,
485,5235,1,2,,,176,,1,,,,2,,7,,71,,,,,8,,,,1,,,,1,,,,,3,,,102,,,,,,,,,,,,7,,,,14,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,24,816,3,,,,27,,,2,,,89,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,2,,,14,,,2,,,,1,,,,,
492,5291,,,,,187,,,,,,3,,1,,101,,,,,3,,,1,2,,,,,,,,,,,,106,,,,,,,,,,,,11,,,,15,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,18,847,1,,,,16,,,1,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,1,,,,,,,,,
499,5347,1,1,,,186,,1,1,,,,,6,,63,,,,,6,,,,3,,,,,,,,,1,,,168,,,,,,,,,,,,8,,1,,22,,,,,,,,,,,,,,,,,,,,1,,,5,,,,,,,,,,,,15,881,1,,,,26,1,,3,,,128,,,,1,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,11,,,2,,,,1,,,,,
506,5403,1,3,,,195,,,,,,2,,10,,45,,,,,6,,,,,,,,,,,1,,1,,,136,,,,,,,,,,,,5,,1,,15,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,29,844,3,,,,32,,,2,,,124,,1,,,,,,7,,,,,,,,,,1,,,,,,,,,,,7,,,21,,,2,,,,,,,,,
513,5459,,1,,,172,,,,,,,,12,,38,,,,,3,,,,1,,,,,,,,,1,,,141,,,,,,,,,,,,8,,1,,20,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,16,884,7,,,,28,,,4,,,103,,1,,,,,,1,,,2,,,,,,,,,,,,,2,,,,,2,,,24,,,15,,,,1,,,,,
520,5515,,1,,1,142,,,,1,,1,,12,,45,,,,,5,,,,3,,,,,,,,,,,,139,,,,,,,,,,,,8,,,,13,,,,,,,,,,,1,,,,,,,2,,,,,2,,,,,,,,,,,,14,866,,,,,21,,,2,,,110,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,4,,,12,,,20,,,,,,,,,
523,5538,,,,,250,,3,,,,,,9,,90,,,,,9,,,,1,1,,,,,,,,2,,,158,,,,,,,,,,,,6,,1,1,34,,,,,1,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,12,679,1,,,,31,,,3,,,204,,1,,3,,,3,1,,,3,,,,,,,,,,,,,,,,,,5,1,,20,,,30,1,,,,,,,,
527,5570,1,1,,,226,,,,,,2,,4,,115,,,1,,6,,,,,,,,,,,,,,,,106,,,,,,,,,,,,9,,1,,26,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,13,622,1,,,,26,1,,2,,,162,,1,,1,,,2,1,,,4,,,,,,,,,,,,,,,,,,3,,,6,,,22,,,,,,,,,
531,5602,2,,,,203,,,,,,1,,3,,97,,,,,13,,,,3,,,,,,,1,,,,,69,,,,,,,,,,,,5,,1,1,30,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,11,713,2,,,,31,1,,6,,,147,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,1,1,21,,,29,,,,,,,,,
538,5658,,,,,183,,1,1,1,,2,,2,,92,,,,,10,,,,,,,,1,,,,,4,,,70,,,,,,,,,,,,7,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,734,4,,,,19,1,,2,,,140,,,1,,,,,2,,,2,,,,,,,,,,,,,,,,,,2,,,17,,,18,,,,,,1,,,
