depth,age,abies,acer,achillea-type,alisma,alnus glutinosa-type,alnus viridis-type,amaranthaceae,anemone-type,anthericum,anthoceros,apiaceae undiff.,arctostaphylos,artemisia,asteroideae undiff.,betula,boraginaceae,botrychium,brassicaceae,bupleurum-type,calluna,caltha-type,calystegia,campanulaceae,carpinus,caryophyllaceae undiff.,castanea,centaurea cyanus,centaurea jacea-type,centaurea scabiosa-type,cerastium-type,cichorioideae,cirsium-type,cladium,convolvulus arvensis,cornus sanguinea,corylus,dianthus-type,dryas-type,empetrum/rhododendron subsect. ledum,ephedra distachya,ephedra fragilis,epilobium,ericaceae undiff.,euonymus,euphorbia,fabaceae undiff.,fagopyrum,fagus,ficaria verna-type,filipendula,frangula,fraxinus,genista-type,geraniaceae,geum-type,gypsophila,hedera,helianthemum,heracleum-type,hippophaë,hippuris,hordeum-type,humulus/cannabis,hydrocotyle,hypericum-type,hystrix,ilex aquifolium,impatiens,jasione,juniperus,knautia,lamiaceae,lemnoideae,lotus,melampyrum,menyanthes,mercurialis perennis,myriophyllum spicatum,onobrychis-type,ononis-type,ophioglossum,papaver argemone,papaver-type,parnassia,persicaria amphibia,persicaria maculosa-type,picea,pinus,plantago lanceolata,plantago major/p. media,plantago maritima-type,plantago undiff.,poaceae,poaceae (cerealia-type) undiff.,polygonum aviculare,populus,potentilla-type,poterium sanguisorba,quercus,ranunculaceae undiff.,ranunculus acris-type,ranunculus sect. batrachium-type,rhamnus cathartica,rhinanthus-type,rosaceae undiff.,rubiaceae,rumex acetosa-type,rumex subg. rumex,sagina,salix,sambucus,sanguisorba officinalis,scabiosa,scirpus-type,scleranthus annuus,scleranthus perennis,scrophulariaceae,secale,sedum,selaginella selaginoides,silene-type,solanum dulcamara,sorbus-type,stachys-type,stratiotes,succisa,symphytum,taxus,thalictrum,thelypteris,tilia,trifolium-type,trollius-type,ulmus,urticaceae,vaccinium-type,valerianoideae,varia,verbena,viburnum,vicia-type,viscum,xanthium
545,5714,,,,,195,,,,,,2,,2,,91,,,,,9,,,,,,,,,,1,,,,,,85,,,,,,,,,,,,6,,1,,23,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,13,765,,,,,15,,,3,,,127,,1,,,,,1,2,,,3,,,,,,,,,,,,,,,,,,2,,,14,,,22,,,,,,,,1,
552,5770,,2,,,175,,,,,,,,3,1,80,,,1,,11,,,,,,,,,,,,,1,,1,81,,,,,,,,,,,,4,,,,20,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,732,1,,,,17,,,4,,,132,,,,1,,,,1,,,,,,,,,,2,,,,,,1,,,,,1,,,21,,,12,1,,,,,,,,
559,5826,,,,,205,,,,,,3,,4,1,89,,,1,,4,,,,,,,,,,,2,,,,,93,,,,,,,,,,,,7,,,,28,,,,,1,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,14,713,5,,,,24,,,2,,,157,,,,,,,1,2,,,1,,,,,,,2,,,,,,,,,,,3,1,,12,,,23,1,,1,,,,,1,
566,5882,1,2,,,222,,,,,,1,,6,1,83,,,,,13,,,,1,,,,,,,1,1,1,,,80,,,,,,,,,,,,8,,1,,28,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,20,779,1,,,,30,,,3,,,104,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,16,,,19,,,,,,,,,
573,5938,1,2,,,199,,1,,,,1,,,,127,,,,,11,,,,,,,,,,,,,,,,85,,,,,,,,,,1,,4,,1,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,698,3,,,,32,,,1,,,124,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,19,,,23,,,,1,,,,,
580,5994,1,3,,,198,,,,,,1,,2,,93,,,,,7,,,,,,,,,,,,,,,,73,,,,,,,,,,,,3,,3,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,875,3,,,,20,,,,,,120,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,18,,,21,,,,,,,,,
587,6050,,,,,216,,,,,,,,4,,86,,,,,6,,,,,,,,,,,,,1,,,89,,,,,,,,,,,,4,,1,,20,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,776,3,,,,34,1,,2,,,116,1,2,,1,,,1,4,,,1,,,,,,,,,,,,,,,,,,,1,,13,,,24,,,,,,,,1,
594,6105,,1,,,255,,,,,,,,5,,80,,,,,9,,,,,,,,,,,,,1,,,92,,,,,,,,,,,,6,,2,,12,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,20,719,2,,,,21,,,2,,,116,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,17,,,19,,,,,,1,,,
601,6161,1,1,1,,261,,,1,1,,,,7,,109,,,,,15,1,,,1,,,,,,,1,,,,,123,,,,,,,,,,,,6,,2,,16,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,16,757,2,,,,36,,1,1,,,143,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,21,,,19,,,,,,,,,
608,6217,,1,,,175,,,,,,4,,1,,82,,,,,5,,,,,,,,,,1,,1,,,,159,,,,,,,,,,,,1,,1,1,18,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,6,795,,1,,,17,,,,,,111,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,23,,,11,,,,,,,,,
615,6273,,1,,,205,,,,,,,,4,,59,,,,,11,,,,,,,,,,,,,1,,,149,,,,,,,,,,,,3,,1,,11,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,15,780,,1,,,18,,,,,,124,,,,1,,,,,,,1,,,,,,,,,,,,,4,,,1,,,,,26,,,13,,,,1,,,,,
622,6329,1,1,,,198,,,,,,,,3,,61,,,,,13,,,,,,,,,,,1,,1,,,165,,,,,,,,,,,,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,799,,,,,25,,,1,,,104,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,20,,,12,,,,,,,,,
632,6409,,1,,,237,,,,,,,,6,2,63,,,,,5,,,,,,,,,,,,,,,,119,,,,,,,,,,,,3,,1,,22,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,18,753,1,,,,24,,,1,,,128,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,16,,,16,,,,,,,,,
639,6465,,1,,,302,,1,,,,1,,9,,115,,,1,,10,,,,,,,,,,,2,,,,,133,,,,,,,,,,,,5,,1,,21,,,,,,,,,,,,,,,,,,1,,,,,2,,,,1,,,,,,,,11,623,7,1,,,31,,,3,,,174,,,,1,,,1,2,,,,,,,,,,,,,,1,,,,,,,1,,,15,,,14,,,,,,,,,
646,6521,,2,,,221,,,,,,2,,3,1,121,,,,,8,,,,,,,,,,,,,,,,122,,,,,,,,,,,,1,,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,733,7,,1,,23,1,,4,,,132,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,22,,,24,,,,1,,,,,
653,6577,,1,1,,267,,1,,,,,,3,1,115,,,1,,14,1,,,,,,,,,,1,,,,,216,,,,,,,,,,,,1,,1,,28,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,9,755,2,,,,33,,,3,,,128,,,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,25,,,7,,,,,,1,,1,
660,6632,,,2,,217,,1,,,,1,,7,,74,,,,,19,,,,,,,,,,,,,,,,168,,,,,,,,,,,,1,,1,1,24,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,10,766,,,,,32,,,5,,,113,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,23,,,18,,,,,,,,,
667,6688,,,,,158,,,,,,3,,6,1,57,,,,,10,,,,,,,,,,,,,1,,,168,,,,,,,,,,,,1,,1,,14,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,15,932,,1,,,21,,,1,,,90,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,,,,1,,21,,,14,,,,,,1,,,
674,6744,,1,,,169,,,,,,1,,4,,63,,,,,7,,,,,,,,,,,,,2,,,133,,,,,,,,,,,,2,,1,,27,,,,,,,,1,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,9,808,,,,,16,,,5,,,95,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,12,,,7,,,,,,1,,,
681,6800,,,,,211,,,,,,2,,1,1,102,,,,,11,,,,,,,,,,,,,,,,180,,,,,,,,,,,,3,,,1,28,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,16,718,,,,,21,,,1,,,153,,,,,,,,2,,,3,,,,,,,1,,,,,,,,,,,,1,,18,,,15,,,,,,1,,,
688,6856,,,,,175,,,,,,,,,,95,,,,,8,,,,,,,,,,,,,,,,132,,,,,,,,,,,,1,,,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,821,,,,,22,,,5,,,162,,,,1,,,,3,1,,1,,,,,,,,,,,,,,,,,,,1,1,18,,,15,,,,1,,,,,
695,6912,,,,,230,,1,,,,3,,2,1,128,,,1,,11,,,,,,,,,,,,,3,,,153,,,,,,,1,,,,,1,,,,18,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,640,,,,,47,,,4,,,173,,,,1,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,20,,,38,,,,,,,,1,
702,6968,,,,,249,,1,,,,1,,3,2,117,,,,,16,,,,,,,,,,,,,1,,,119,,,,,,,,,,,,,,,1,30,,,,,1,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,19,714,,,,,31,,,5,,,154,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,21,,,40,,,,,,,,,
709,7024,,,,,206,,,,,,,,4,,93,,,,,10,,,,,,,,,,,1,,,,,143,,,,,,,,,,,,1,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,671,,,,,28,,,1,,,145,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,16,,,29,,,,,,,,,
716,7080,,,,,190,,,,,,,,5,1,101,,,,,3,,,,,,,,,,1,,,,,,123,,,,,,,,,,,,1,,1,,23,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,16,835,,,,,19,,,2,,,109,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,17,,,26,,,,,,,,,
723,7136,,,1,,212,,,,3,,1,,,,102,,,,,8,1,,,,,,,,,,1,,,,,117,,,,,,,,,,,,,,,,25,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,12,698,,,,,18,,,1,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,18,,,,,,,,,
730,7191,,,,,242,,,1,,,,,3,1,143,,,,,13,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,668,,,,,20,,,6,,,136,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,18,,,42,,,,,,,,,
736.5,7243,,,,,199,,,,,,,,1,,117,,,,,10,,,,2,,,,,,,,,,,,130,,,,,,,,,,,,,,3,,31,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,10,714,,,,,20,,,1,,,118,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,16,,,26,,,,,,,,,
743,7295,,1,,,183,,,,,,1,,4,2,101,,,,,9,,,,,,,,,,,,,,,,108,,,,,,,,,,,,2,,1,,27,,,,,1,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,8,799,,,,,36,,,2,,,117,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,17,,,49,,,,,,,,,
749.5,7347,,,,,182,,,,,,2,,1,,119,,,,,9,,,,,,,,,,,,,,,,90,,,,,,,,,,,,1,,,,22,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,8,811,,,,,20,,,1,,,93,,,,,,,,1,,,6,,,,,,,,,,,1,,,,,,,,,,26,,,26,,,,,,2,,1,
756,7399,,,,,223,,,,,,,,2,1,110,,,,,16,,,,,,,,,,,,,,,,89,,,,,,,,,,1,,,,,,14,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,13,821,,,,,29,,,,,,83,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,16,,,26,,,,,,,,,
762.5,7451,,2,,,190,,,,,,1,,1,2,79,,,,,10,,,,,,,,,,,,,4,,,116,,,,,,,,,,,,,,,1,31,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,11,731,,,,,24,,,3,,,122,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,19,,,28,,,,,,,,1,
769,7503,,,,,141,,,,,,,,2,,88,,,,,6,1,,,,,,,,,,1,,1,,,77,,,,,,,,,,,,1,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,940,,,,,26,,,3,,,91,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,12,,,36,,,,1,,,,,
775.5,7555,,,,,153,,,,,,,,4,3,94,,,,,8,,,,,,,,,,,1,,1,,,86,,,,,,,,,,1,,1,,,,16,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,837,,,,,20,,,4,,,95,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,13,,,27,,,,1,,,,,
782,7607,,,,,184,,1,,,,,,4,,122,,,,,8,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,11,805,,,,,33,,,2,,,136,,,,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,26,,,34,,,,,,,,,
788.5,7659,,,,,162,,,1,,,2,,4,,107,,,,,13,,,2,,,,,,,,,,,,,130,,,,,,,1,,,,,1,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,843,,1,,,30,,,1,,,129,,,,,,,1,1,,,2,,,,,,,1,,,,,,,,,,,,,,12,,,38,,,,,,,,1,
795,7710,,1,,,145,,1,,,,1,,1,,67,,,,,12,,,,,,,,,,,,,1,,,93,,,,,,,,,,,,2,,1,,27,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,949,,,,,19,,,5,,,99,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,21,,,36,,,,,,,,1,
801.5,7762,,1,,,179,,,,,,1,,1,,98,,,,,9,,,,,,,,,,,,,1,,,118,,,,,,,,,,,,2,,,,22,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,10,902,,,,,26,,,3,,,101,,,,,,,,3,,,2,,,,,,,1,,,,,,,,,,,,2,,22,,,23,,,,,,,,,
808,7814,,,,,167,,,,,,1,,1,,141,,,,,9,,,,,,,,,,,,,,,,115,,,,,,,,,,,,3,,,,22,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,13,868,,,,,22,,,2,,,153,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,11,,,25,,,,,,1,,,
814.5,7866,,,,,179,,2,,,,,,4,2,121,,,1,,7,,,,,,,,,,,1,,2,,,127,,,,,,,,,,,,,,1,,25,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,8,682,,,,,22,,,2,,,168,,1,,1,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,19,,,50,,,,1,,,,,
821,7918,,,,,158,,,,,,1,,8,,125,,,,,7,,,,,,,,,,,,,2,,,123,,,,,,,,,,,,1,,,,21,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,13,879,,,,,26,,,3,,,147,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,17,,,43,,,,,,,,,
827.5,7970,,,,,141,,,,,,1,,2,1,82,,,,,4,,,,,,,,,,,,,1,,,95,,,,,,,,,,,,,,,,20,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,6,835,,,,,20,,,3,,,122,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,16,,,45,1,,,,,,,,
836,8038,,,,,206,,1,,,,,,,,91,,,,,5,,,,,,,,,,,1,,,,,58,,,,,,,,,,,,,,,,16,,,,,2,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,7,916,,,,,18,,,3,,,111,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,18,,,35,,,,,,1,,,
843,8094,,,,,184,,,,,,1,,4,,98,,,,,4,,,,,,,,,,,,,1,,,75,1,,,,,,,,,,,1,,,,27,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,4,873,,,,,33,,,2,,,87,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,14,,,26,,,,,,,,,
850,8150,,,,,135,,1,,,,2,,4,,86,,,,,6,,,1,,,,,,,,1,,,,,78,,,,,,,,,,,,,,1,,22,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1016,,,,,25,,,2,,,84,,,,,,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,16,,,23,1,,,,,,,,
857,8206,,,,,147,,1,,,,,,10,,94,,,,,10,,,,,,,,,,,,,1,,,86,,,,,,,,,,,,,,2,,23,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,7,957,,,,,21,,,3,,,68,,,,,,,,1,,,3,,,,,,,,,,,1,,,,,,,,1,,21,,,24,1,,,,,,,1,
864,8261,,,,,138,,1,,,,1,,2,1,73,,,1,,6,,,,,,,,,,,,,1,,1,99,,,,,,,,,,,,1,,,,18,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,947,,,,,28,,,1,,,74,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,10,,,42,,,,,,,,,
871,8317,,,,,130,,,,,,1,,4,1,80,,,1,,3,,,,,,,,,,,1,,1,,,103,,,,,,,,,,,,1,,3,,15,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,6,900,,,,,40,,,3,,,93,,,,,,,2,2,,1,,,,,,,,,,,,,,,,,,,,1,,22,,,33,1,,,,,,,,
878,8373,,,,,202,,,,,,,,3,,100,,,,,6,,,,,,,,,,,,,1,,,108,,,,,,,,,,,,,,1,,13,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,786,,,,,19,,,2,,,137,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,24,,,28,,,,,,,,,
885,8429,,,,,126,,,,,,,,6,,94,,,,,9,,,,,,,,,,,1,,3,,,66,,,,,,,,,,,,,,1,,17,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,10,939,,,,,24,,,4,,,112,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,8,,,34,,,,,,1,,,
892,8485,,,,,130,,,,,,1,,4,,95,,,,,5,,,,,,,,,,,,1,2,,,91,,,,,,,,,,,,,,2,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,998,,,,,43,,,3,,,105,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,21,,,29,,,,1,,,,,
899,8541,,,1,,134,,,,,,,,5,,103,,,,,8,,,,,,,,,,,,,1,,,81,,,,,,,,,,,,,,,,24,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,835,,,,,36,,,6,,,79,,,,1,,,1,2,,,2,,,,,,,,,,,,,,,,,,,,,8,,,23,,,,,,,,,
906,8597,,,,,140,,,,,,1,,5,2,80,,,,,2,,,,,,,,,,,,,1,,,123,,,,,,,,,,,,1,,1,,26,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,6,888,,,,,27,,,2,,,101,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,8,,,30,,,,,,,,,
916,8677,,,,,150,,,,,,1,,1,1,85,,,,,6,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,2,,27,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,7,999,,,,,28,,,4,,,98,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,8,,,38,,,,,,,,,
923,8733,,,,,149,,,,,,,,6,,127,,,,,11,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867,,,,,32,,,1,,,94,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,14,,,32,,,,,,,,3,
930,8788,,,,,156,,,,,,1,,3,1,76,,,,,7,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,1,,23,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1018,,,,,34,,,3,,,100,,,,1,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,10,,,45,,,,,,,,1,
937,8844,,,,,187,,1,,,,2,,2,1,110,,,,,5,,,,,,,,,,,,,,,,89,,,,,,,,,,,,1,,3,,18,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,8,949,,,,,39,,,2,,,90,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,13,,,29,,,,,,,,1,
944,8900,,,,,188,,,,,,,,4,,71,,,,,4,,,1,,,,,,,,,,,,,84,,,,,,,,,,1,,1,,,,16,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,8,905,,,,,42,,,1,,,81,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,1,,17,,,27,,,,,,,,,
951,8956,,,,,144,,,,,,,,1,,82,,,,,11,,1,,,,,,,,,,,,,,76,,,,,,,,,,,,,,1,,9,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,7,935,,,,,45,,,8,,,62,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,14,,,19,,,,,,,,1,
958,9012,,,,,159,,1,,,,,,3,,91,,,,,10,,,,,,,,,,,,,1,,,91,,,,,,,,,,,,,,,,8,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,941,,,,,35,,,1,,,85,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,20,,,39,,,,,,,,,
965,9068,,,,,164,,,,,,,,2,,95,,,1,,7,,,,,,,,,,,,,1,,,123,,,,,,,,,,,,,,1,,14,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,920,,,,,25,,,2,,,97,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,19,,,40,,,,,,,,,
972,9124,,,,,157,,,1,,,1,,2,,81,,,,,3,,,,,,,,,,,,,2,,,103,,,,,,,,,,,,1,,,,14,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,922,,,,,13,,,3,,,82,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,21,,,52,,,,,,,,1,
979,9180,,,,,160,,2,,,,,,7,,86,,,,,4,,,,,,,,,,,1,,,,,103,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,981,,,,,30,,,3,,,81,,,,,,,1,2,,,3,,,,,,,,,,,,,,,,,,,,,17,,,35,,,,,,,,,
986,9236,,,,,174,,,,,,,,1,,73,,,,,6,,,,,,,,,,,,,1,,,84,,,,,,,,,,,,,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,944,,,,,19,,,4,,,90,,,,,,,1,1,,,2,,,,,,,,,,,,,,,,,,,1,,11,,,18,,,,,,,,,
993,9292,,,,,134,,,1,,,1,,3,,79,,,,,10,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,1,,5,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,979,,,,,26,,,3,,,70,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,17,,,25,,,,,,,,,
1000,9347,,,,,116,,,,,,,,4,,100,,,,,2,,,,,,,,,,,2,,4,,,76,,,,,,,,,,,,,,2,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,948,,,,,20,,,1,,,69,,,,1,,1,1,2,,,4,,,,,,,,,,,,,,,,,,,,1,11,,,23,,,,,,,,1,
1007,9403,,,,,152,,1,,,,1,,2,1,95,,,,,4,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,7,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,914,,,,,28,,,3,,,60,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,22,,,31,,,,,,,,2,
1014,9459,,,1,,166,,,,,,3,,5,1,155,,,,,4,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,951,,,,1,49,,,5,,,56,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,12,,,35,,,,,,,,,
1021,9515,,,,,139,,,,,,,,5,1,133,,,,,1,,,,,,,,,,,,,1,,,112,,,,,,,,,,,,,,1,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,10,907,,,,,43,,,2,,,70,,,,,,,1,1,,,3,,,,,,,,,,,,,,,,,,,1,,12,,,28,,,,,,,,,
1033,9611,,,,,144,,2,,,,,,1,1,113,,,,,6,1,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,4,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,3,1057,,,,,26,,,5,,,86,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,1,,20,,,43,,,,1,,,,,
1040,9667,,,,,189,,1,,,,,,4,1,111,,,,,7,,,,,,,,,,,,1,1,,,159,1,,,,,,,,,,,,,,,10,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,899,,,,,35,,,3,,,131,,,,,,,1,3,,,2,,,,,,,,,,,,,,,,,,,,,15,,,47,,,,1,,1,,1,
1047,9723,,,,,195,,,,,,1,,7,1,178,,,,,5,,,,,,,,,,,2,,,,,133,,,,,,,,,,,,,,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,791,,,,,32,,,3,,,95,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,20,,,33,,,,,,,,,
1054,9779,,,,,274,,,,,,3,,7,,175,,,,,4,,,,,,,,,,,,,,,,194,,,,,,,,,,,,,,1,,3,,,,,,,,,,,2,,,,,,1,1,,,,,,,,,,,,,,,,,1,895,,,,,68,,,5,,,122,,,,,,,1,1,,,4,,,,,,,,,,,,,,,,,,,2,,20,,,41,,,,2,,,,3,
1061,9835,,,,,216,,1,,,,1,,2,,161,,,,,3,,,,,,,,,,,1,,,,,186,,,,,,,,,,,,,,1,,10,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,2,757,,,,,43,,,4,,,113,,1,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,1,,13,,,32,,,,1,,,,,
1068,9890,,,,,173,,,,,,1,,5,1,158,,,,,6,,,,,,,,,,,1,,1,,,188,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,922,,,,,40,,,4,,,107,,1,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,2,,11,,,39,,,,,,,,,
1075,9946,,,,,155,,,,,,,,5,,135,,,,,11,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5,893,,,,,44,,,3,,,77,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,15,,,28,,,,,,,,1,
