depth,age,abies,acer,agrimonia-type,alisma-type,alnus,amaranthaceae,anemone-type,anthoceros punctatus,apiaceae,artemisia,asteraceae undiff.,avena-type,betula,bidens-type,brassicaceae,calluna vulgaris,caltha-type,campanulaceae undiff.,carpinus betulus,caryophyllaceae undiff.,centaurea cyanus,centaurea jacea-type,centaurea scabiosa,cerastium-type,cichorioideae,circaea,cirsium-type,comarum palustre,convolvulus arvensis-type,corylus,crataegus-type,cyperaceae,empetrum-type,ericaceae-type,fabaceae undiff.,fagopyrum,fagus,fallopia,filipendula,frangula alnus,fraxinus excelsior-type,galeopsis-type,galium-type,genista-type,geranium,hedera helix,hordeum-type,humulus/cannabis-type,hypericum,hystrix,jasione-type,juglans,juniperus-type,lamiaceae undiff.,linum usitatissimum-type,lonicera periclymenum,lotus pedunculatus,lythrum,matricaria-type,melampyrum,melilotus-type,mentha-type,menyanthes trifoliata,mercurialis perennis-type,myriophyllum spicatum,nuphar,nymphaea candida,nymphaea undiff.,ononis-type,ophioglossum,pediastrum,persicaria maculosa-type,picea,pinus,plantago lanceolata-type,plantago major/p. media-type,plantago maritima-type,poaceae (>37 µm),poaceae (cerealia-type) undiff.,poaceae undiff.,polygonum aviculare-type,polypodiaceae undiff.,polypodium vulgare,potamogeton-type,pteridium,quercus,ranunculaceae undiff.,ranunculus acris-type,rhamnus-type,rhinanthus-type,rosa-type,rosaceae undiff.,rubus-type,rumex acetosa-type,salix,sambucus-type,scleranthus annuus,secale,silene-type,solanum dulcamara,solanum nigrum-type,sorbus-type,sparganium-type,sphagnum,stellaria holostea,succisa-type,taxus,thalictrum,thelypteris palustris,tilia cordata-type,tilia platyphyllos-type,trifolium pratense-type,trifolium repens-type,triticum-type,ulmus,urtica-type,utricularia,vaccinium-type,valeriana-type,viburnum-type
160,332.3596,,,,1,94,1,,1,,5,,,73,1,3,20,,,8,,11,,,,3,,,,,67,,27,,,1,2,99,,1,1,4,,,,,,3,7,,,1,2,1,,1,1,,,1,1,,1,,,,,,2,,,242,,2,74,15,,,1,2,103,1,7,,,3,164,1,2,2,,,1,1,56,8,1,,101,,,,,2,1,,,,,,,,,,,2,2,,,,1
176,367.5955,,1,,,101,1,,,,4,,,84,1,6,14,,,21,,16,,,,2,,,,,79,1,22,,,,3,97,,,,2,,,,,,7,5,,,2,,,,,,,,2,,,,1,,,,,2,1,,185,,2,54,10,,1,1,1,106,2,13,,1,3,184,,,1,,,2,1,72,13,1,1,75,,1,1,2,2,1,,,,,2,1,,,1,,5,,,1,,2
192,486.7184,,,,,125,2,,,3,9,,,101,1,3,6,,,27,,3,,,,3,,,,1,39,,32,,,,,110,,4,2,10,,,,,,1,11,,,,,,,,,,,4,,,1,,,,,,2,1,,236,,,50,21,2,,2,,165,1,11,,,3,64,,3,,,1,,,101,23,3,,85,1,,,,1,,,,,1,1,1,,,,,11,1,,,,
208,617.8253,,,,,193,,,,,4,,,112,,3,6,,,42,,2,,,,1,,,2,,46,,27,,,,,113,,1,,4,,,,,,1,7,,,,,,,1,,,,2,,,,,,,,,1,,,123,,1,47,7,1,,4,,96,1,8,,,3,42,,1,,,1,,,53,2,,,83,,,,,1,2,,,,,1,1,,,,2,5,,,,,
240,880.0388,,,,,176,2,,,1,1,,,97,,,4,,,68,,,,,,,,,,,64,,8,,,,,179,,,2,7,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,22,,1,20,3,,,1,1,53,,,,,2,83,,,,1,,,,17,11,1,,8,,,,1,,1,,,,,1,,,,1,,8,,,,,1
272,1142252,,2,,,43,,,,,4,,,118,,,4,,,60,,,,,,,,,,,73,,4,,,,,208,,1,,5,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,12,,2,27,3,,,,,19,,1,,,2,83,,,,,,1,,6,1,,,1,,,,1,,,,,,,,1,,,,1,12,1,,,,
304,1449407,1,2,,,153,,,,1,,,,50,,,1,,,93,,,,,,1,,,,,39,,7,1,,,,202,,,1,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,13,,1,27,2,,,,,22,,1,,1,2,66,,1,,,,,,1,3,,,1,,,,,,1,,,,,,1,,,1,,6,,,,,
336,1535348,2,1,,,147,,,,,1,,,47,,,,,,141,,,,,,,,,,,104,,7,,,,,150,,,,2,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,22,,2,19,2,,,,,12,,2,1,,,72,,1,,,,,,5,,,,2,,,,,1,1,,,,,1,2,,,,,5,,,,,
368,1587174,1,,,,278,1,,,,5,,,69,,,2,,,43,,,,,,,,,1,,234,,12,,,,,190,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,20,1,1,21,9,,,,,35,,6,,,2,33,,,,,1,,,7,,,,4,,,,,2,1,,,,,,2,,,,,7,,,,,
400,1639,1,1,,,217,,,,,2,,,97,,,3,,,62,,,,,,1,,1,,,64,,11,,,,,143,,,,9,,,,,,1,2,,,1,,,,,1,,,,,,,,,,,,,,,22,,,28,3,,,2,,30,,3,,,1,91,,1,,,,1,,6,1,,,,,,,,1,,,,,,1,3,,,,1,4,,,,,
