depth,age,abies,acer,alnus,amaranthaceae,apiaceae,aristolochia,artemisia,asphodelus,asteroideae,berberidaceae,betula,boraginaceae,brassicaceae,buxus,campanulaceae,caryophyllaceae,castanea,centaurea,cichorioideae,convolvulaceae,corydalis,corylus,cyperaceae,ephedra distachya-type,ephedra fragilis-type,epilobium,ericaceae,euphorbiaceae,fabaceae,fagus,fraxinus,galium,genista-type,gentiana,geraniaceae,hedera helix,helianthemum,ilex aquifolium,iridaceae,isoëtes,juglans,juniperus,lamiaceae,liliaceae,linum,lonicera,lotus-type,lygeum spartum,lythrum,malvaceae,myriophyllum,nymphaea,osmunda,papaver,pedicularis,phillyrea,pinus,pistacia,plantago,plumbaginaceae,poaceae,polypodium,populus,potamogeton,potentilla,primulaceae,pteris,quercus (deciduous),quercus (evergreen),ranunculaceae,rhamnus,ribes,rosaceae,rumex,salix,sambucus,sanguisorba,saxifragaceae,scrophulariaceae,sedum,selaginella,solanaceae,sparganium,tamarix,taxus,thymelaea,tilia,trifolium-type,ulmus,urticaceae,utricularia,viburnum
369,9771,,,,1,12,,10,,,,67,,,1,,,,,,,,112,1,,,,,,6,,2,,,,,,,,,,,24,,14,,,,,,,5,,,,,,98,,,,12,,2,,,,,21,3,3,,,,1,,,1,,1,,,,,,,,,,7,,,
371,9832,,,1,,15,,14,,,,64,,,1,,,,,,,,135,1,,1,,,,4,,3,,,,,,,,,,,18,,17,,,,,,,7,,,,,,105,1,,,17,,1,,,,,20,2,7,,,1,1,,,1,,,,,,,2,,,1,,4,,,
373,9893,,,1,2,17,,11,,,,64,,2,1,,,1,1,,,,165,7,1,,,,,3,1,4,,,,,1,,,1,,,16,,21,,,,,,,11,,,1,,,119,,,,17,,3,,,3,,22,1,8,1,,1,1,1,,,,,,,,,,3,,4,,5,,,1
372,9862,,,,1,12,,11,,,,62,,,,,,,,,,,142,5,,,,,,2,,,,,,,,,,,,,17,,19,,,,,,,9,,,,,,100,,,,16,,1,,,,,21,1,5,,,,,,,,,,,,,,1,,,,,4,,,
375,9926,,,,,15,,5,,,,63,,,,,,,,,,,171,9,1,,,,,2,,,,,,,,,,,,,15,,17,,,,,,,,,,,,,99,,,,18,,1,,,,,23,3,8,,,1,,,,,,,,,,,1,1,,,,4,,,1
377,9956,,1,1,1,14,,8,,1,,69,,,,,,,,1,,,165,10,1,1,,1,,7,,,,,,,,,,,,,11,,12,,,,,,,,,,,,,105,,,,19,,,,,,,24,2,6,,,1,1,,1,,,1,,,,,,,,,,3,,,
378,9987,,,,1,12,,10,,,,73,,,,,,,,1,,,156,12,,1,,,,8,,2,,,,,1,,,,,,14,,9,,,,,,,,,,,,,110,,,,24,,1,,,,,23,4,,1,,2,2,1,,,,,,,,,1,1,,1,,4,,,
380,9997,,,1,,15,,9,,1,,76,,,1,,,,,2,,,143,10,1,1,,,,4,,1,,,,,1,,,,,,12,,2,,,,,,,,,,,,,108,,,,27,,,,,,,27,2,,,,3,,2,,1,,1,,,,,2,2,,,,5,,,
381,11500,,,1,,16,,7,,1,,70,,1,,,,,,3,,1,100,14,,1,,,,5,,1,1,,,,2,,,1,,,9,1,2,,,,,,,2,1,,,,,104,,,,30,,,,,,,30,4,1,,,3,3,2,,,,2,4,,,,3,2,,,,6,1,,
382,12500,,,1,2,9,,11,,,,89,,,,,1,,,,,,65,10,,,,1,1,14,,,,,,,,,,,,,8,2,,,,,,,,5,,,,,,60,,2,,32,,,,,,,31,,,1,,3,3,1,,,,3,2,,,,,,,,,1,,,
384,12575,,,1,,10,,5,,,,88,,,,,,,,1,,,7,5,,,,1,2,13,,,,,,,,,,,,,3,4,3,,,,,,,3,,,,,,101,,1,,19,,,,,,,13,,,1,,3,,2,,,,1,2,,,,,3,,,,4,,,1
386,12650,,,,1,9,,2,,,,64,3,,,,1,,,,,,4,8,1,1,,,,10,,1,,,,,,2,,,,,12,2,4,,,,,,1,1,,,,,,117,,,,21,,,,,,,8,2,2,2,,2,5,,,,,1,,,2,,,,,,,2,7,,
387,12651,,,1,,8,,1,,,,94,,,,,,,,,,,5,7,,,,,,11,,,,,,,,,,,,,16,1,4,,,,,,,,,,,,,115,,,,18,,,,,,,6,1,,,,6,3,,1,,,1,,,,,1,,,,,1,6,,
388,12726,,,,1,2,,2,,,,98,,,,,,,,1,,,4,9,,,,,,13,,,1,6,,,,1,,,,,14,2,5,,,,,,,,,,,,,114,,,,14,,,,,,,5,1,1,,,8,4,1,,,,3,,,4,,,1,,,,,3,,
389,12751,,,,,,,9,,,,97,1,,,,,,,6,,,6,7,,,,,,11,,,1,,,,,,,,,,37,5,2,,,,,,,4,,,,,,121,,,,27,,,5,,,,6,,1,4,,8,3,,,,,3,,,,,,4,,,,,9,,
390,12753,,,,2,3,,10,,,,40,,,,,,,,4,,,3,6,,,,3,,12,,,,,,,,,,,,,26,4,4,,,,,,,,,,,,,120,,,,24,,,,,,,2,4,,,,10,2,,,,,5,,,,,1,1,,,,,5,,1
393,12847,,,3,2,13,,13,,1,,76,2,,2,,,,,2,,,4,11,,,,,,15,,,,,,,,1,,,,,10,4,1,,,,,,,1,,,,,,127,,1,,26,,,,,1,,10,,3,1,,11,7,,,,,5,,,,,1,,,,,2,,,
391,12799,,,,4,5,,11,,,,68,1,1,,,,,,,,,2,8,,,,4,,13,,,,3,,,,3,,,,,10,1,2,,,,,,,,,,,,,114,,,,26,,,,,,,7,5,1,1,,10,3,,,,,6,,,1,,,2,,,,,7,,
396,12864,,,1,3,6,,3,,,,74,,1,,,1,,,,,,10,21,,,,,3,11,,,,,,,1,1,,,,,12,5,4,,,,,,,,,,,,,110,,2,,28,,,,,1,,5,2,3,,,6,4,1,,,,1,,,,,,,,,,1,1,,
397,12866,,,1,2,11,,11,1,,,72,,,1,,1,,,1,1,,7,3,1,,,1,,2,2,4,,,,,,4,,,,,32,,1,,,,3,,,,1,,1,3,,112,1,1,,35,,,14,,1,,9,3,,1,,1,,4,,,,,,1,,2,1,3,,,,3,3,,
402,12888,,,1,2,9,,8,,,,87,,,1,,,,,,,,5,1,,,,,,2,,,,,,,1,2,,,,,35,2,5,,,,,,,,,,,,,165,,,,32,,,1,,,,15,,8,,,5,,2,,,,1,,,,,1,2,,,,2,1,,
401,12887,,,1,1,10,,10,,,,101,,,1,,,,,1,,,4,2,,,,,,4,,3,,,,,,5,,,,,33,,7,,,,,,,,,,,,,160,,,,30,,,10,,,,17,1,,,,3,,3,,,,,,,,,,1,,,,1,1,,
404,12889,,,1,2,10,,9,,,,92,,,,,,,,1,,,6,7,,,,,,4,,2,,,,,,4,1,,,,38,1,8,,,,,,,,,,,,,170,,,,34,,,2,,,,14,1,12,,,7,,1,,,,,,,,,,1,,,,,2,,1
409,12990,,,3,3,10,,10,2,,,76,,,,,,,,1,,,4,9,1,2,,,,8,,,2,,,,,7,1,,,,37,3,9,,,,,,,,1,,,1,,173,,2,,37,,,1,5,,1,13,,13,3,,8,,1,,,,1,2,,,,,3,,,,1,1,,
411,13016,,,2,,8,,10,,,,64,,,,,,,,3,,,4,7,,,,,,5,,,,,,,1,6,,,,,30,1,5,,,,,,,,,,,,,160,,2,,34,,1,,,,,10,1,12,,,7,1,2,,,,,,,,,,,,,,,7,,
410,13003,,,2,2,9,,11,,1,,78,,,,,,,,2,,,7,8,,,,,,7,,,,,,,,5,,1,,,35,,7,,,,,,,,,,,,,168,,1,,38,,,,,,,11,,10,,,5,,,,,,,,,,,,1,,,,1,5,,1
412,13029,,,,1,9,,9,,1,,56,,,,,,,,4,,,5,5,,,,,,4,,,,,,,,5,1,,,,28,2,2,,,,,,,,,,,,,161,,3,,30,,,,,,,9,1,13,,,4,,,,,,,,,,,2,,,,,1,8,,1
413,13042,,,1,1,10,,8,,2,,43,,,,,,,,5,,,7,6,,,,,,2,,,,,,,1,4,,,,,26,4,1,,,,,,,,,,,,,157,,2,,31,,,,,,,8,,11,,,5,1,1,,,,,,,,,3,1,,,,1,11,,
414,13055,,,3,1,8,,14,2,3,,39,1,,,,1,,,4,,,4,7,4,2,,,,8,,,2,,,,,2,,1,,,24,5,8,,,,,,,,1,,,,,156,,5,,32,,,1,,1,,6,1,13,,,3,,1,,,,3,3,,,,5,,,,,1,11,,
415,13066,,,2,1,12,,16,,2,,30,,,,,,,,2,,,3,9,1,,,,,9,,,,,,,,,,,,,21,4,7,,,,,,,,,,,,,161,,3,,34,,,,,,,4,1,12,,,1,1,,,,,,,,,,4,,,,,1,11,,
416,13077,,,1,1,15,,17,,3,,31,,,,,,,,5,,,1,14,,,,,,7,,,,,,,,,,1,,,20,2,2,,,,,,,,,,,,,157,,2,,40,,,,,,,6,2,9,,,2,3,1,,,,,,,,,2,1,,,,,10,,1
417,13088,,,,2,18,,28,,2,,28,,,,,,,,7,,,2,10,,,,,,5,,,,,,,1,,,1,,,19,4,,,,,,,,,,,,,,181,,1,,44,,,,,,,8,3,7,,,4,4,,,,,,,,,,1,,,,,,8,,
418,13099,,,1,3,21,,32,,4,,32,,,,,,,,6,,,1,17,1,,,,,6,,,,,,,,,1,,,,21,3,1,,,,,,,,,,,,,187,,,,65,,,,,,,10,4,5,,,1,1,,,,,,,,,,,,,,,,1,,1
419,13110,,,,2,24,,30,,6,,33,,,,,,,,5,,,1,19,,,,,,8,,,,,,,,,,1,,,20,1,,,,,,,,,,,,,,193,,1,,76,,,,,,,11,5,,,,4,2,,,,,,,,,,1,1,,,,,2,,
420,13121,,,1,4,27,,36,,4,,35,,,,,,,,8,,,,20,1,,,,,9,,,,,,,1,,,,,,17,2,1,,,,,,,,,,,,,195,,,,89,,,,,,,12,6,1,,,5,4,1,,,,,,,,,2,2,,,,,4,,
421,13131,,,,5,26,,40,,5,,36,,,,,1,3,,10,,,1,23,1,,,,,11,,,,,,,,,,,,,24,5,2,,,,,,,1,,,,4,,206,,1,,107,,,2,,3,1,15,8,,,,6,5,,,,,3,,,,,5,2,,,,,5,,
426,13194,,,,3,5,,19,3,1,,37,,2,,,,,,,,,1,12,1,1,,1,,9,,,2,,,,,2,,,,,36,12,5,,,,,,,,1,,,2,,147,,,,49,,1,,2,,,14,,9,1,,2,13,6,,,,1,1,,,3,2,3,,,,,6,,
443,13398,,,2,9,8,,6,1,3,,21,1,12,,,,,,8,,,1,7,,9,,1,,11,,1,1,,,,,1,,,,,37,10,11,,,,,,,2,,,,,,148,,6,,32,,,,,,,6,,,,,6,2,,,,1,1,3,,,,4,2,,1,,5,1,,
448,13458,,,,16,9,,13,,3,,24,,,,,2,,2,17,,,18,6,3,2,,,,6,1,3,,,,3,,,,,,,23,2,1,,1,,,,,,,,,,,199,,,,47,,1,1,,,,17,,3,,,3,8,,,,,2,,,,,2,,,,,1,3,,
455,13856,1,,,10,5,,25,,1,,,,,,1,,,,13,,,1,13,1,1,,,,5,,,,,,1,,1,,,,,8,6,2,,,,,,,,,,,,,225,,10,,58,,,,,,,1,,6,,,8,7,,,,,,,,,,,8,,,,5,2,,
456,13913,,,,9,4,,27,,1,,4,,3,,,1,,1,27,,,,21,2,1,,,,5,,,1,,,,,4,,,,,30,4,3,,,1,,,,,,,,,,159,,3,,33,,,6,,1,,2,1,4,,,8,4,1,,,,,,,,,3,,,,,1,3,,
457,13970,,,,8,5,,39,,4,,2,,1,,,,,,19,,,,31,,1,,,,4,,2,,,,1,,2,,,,,29,10,4,,,,,,,,,,,1,,180,,3,,35,,2,5,,3,,1,,3,,,4,3,2,,,,,,,,,,2,,,,3,5,,
458,14027,,,,8,6,,21,,1,,6,1,,,,1,,,15,,,10,17,2,4,,,,3,,,,,,1,,4,,,,,27,5,6,,,,,,,,,,,1,,280,,2,,38,,,,,3,,1,2,2,,,3,2,3,,,,,,,,,2,3,,,,4,3,,
460,14141,,,,14,8,,8,,3,,1,,,,,1,,,19,,,2,27,2,5,,,,10,,,,,,,,4,,,,,41,8,9,,,,,,,1,,,,1,,174,,,1,52,,,5,1,2,,1,,,1,,8,,,,,,3,1,,,,2,5,,,,3,,,
461,14198,,,,9,5,,8,,10,,7,,,4,,,,,41,,,4,8,1,3,,,,3,,1,1,,,1,,4,,,1,,18,10,10,,,,,,,,,,,,,176,,4,,10,,,,,5,,1,,4,1,,4,2,,,,,,,,,,,1,,,,2,1,,
462,14254,,,,13,5,,20,,3,,2,,,1,,,,,11,,,,16,4,5,,,,8,,2,,,,1,,5,,1,,,26,9,8,,,1,,,,,1,,,,,139,,10,,28,,,1,,4,,1,1,2,,,5,,2,,,,,2,,,,1,,,,,4,4,,
463,14311,,,,9,3,,21,,7,,,,3,1,,,,,8,,,2,5,1,3,,1,,10,,,1,,,,,3,,1,,,30,11,6,,,,,,,,,,,,,129,,8,,26,,,,,1,,,,9,2,,10,,,,,,,,,,,,,,,,,1,,2
465,14425,,,,27,5,,25,,6,,1,,,,,,,,28,,,2,31,3,2,,2,,14,,,,,,,,2,,,,,49,8,,,,,,,,,,,,,,179,,1,,99,,,1,,4,,,,13,2,,8,2,,,,,1,,,,,,5,,,,1,,,
466,14482,1,,,7,4,,13,,4,,,,3,1,,1,,,12,,,,9,1,1,,,,8,,,,,,,,3,,,,,47,6,5,,,,,,,,,,,4,,113,,11,1,30,,,4,,2,,1,,10,,,7,,1,,,,,,,,,,2,,,,,2,,
467,14539,,,,6,7,,13,,2,,,,2,,,,,,17,,,,1,2,,,1,,3,,,1,,,,,,,2,,,9,4,2,,,,,,,,,,,,,127,,4,,42,,,,,1,,,,1,,,2,4,,,,,,5,,,,,,,,,1,,,
468,14596,,,,4,3,,18,,11,,,,,2,,1,,,14,,,1,16,5,,,,,7,,1,,,,,,6,,1,,,17,5,4,,,1,,,,,,,,,,152,,6,1,60,,,2,,2,,,1,2,1,,10,,,,,,,,,,,,,,,,5,5,,
469,14653,,,,17,3,,54,,3,,1,,,,,2,,,46,,,2,11,7,3,,,,9,,1,,,,1,,,,,,,55,4,4,,,,,,,,,,,,,242,,4,,73,,1,,,3,,2,,,1,,,1,,,,,,,,,,,,1,,,,6,,
470,14710,,,,12,8,,21,,4,,,1,5,,,2,,,19,,,,27,,5,,3,1,11,,,1,,,,,3,,,,,30,4,11,,,,,,,1,,,,1,,169,,7,,46,,,1,,1,,,,2,,,7,,2,,,,1,,,,,,,,,,3,2,,
473,14880,,,,10,9,,33,,4,,,,5,,,,,1,27,,,,6,3,3,,,,3,,,,,,,,,,,,,17,1,4,,,,,,,,,,,,,128,,13,,54,,,,,4,,,,2,,,1,,1,,,,1,1,,,,,,,,,,2,,
472,14823,,,,9,5,,7,,5,,3,,,1,,,,1,30,,,,20,2,,,,,7,,,1,,,,,,,,,,12,4,5,,,,,,,,,,,,,166,,7,,39,,,,,2,,,1,6,1,,3,1,,,,,2,,,,,,,,,,,2,,
471,14766,,,,10,7,,28,,3,,1,,,,,1,,,40,,,,8,1,1,,,,6,,,1,,,,,2,,,,,11,3,4,,,,,,,,,,,,,158,,3,,29,,,2,,5,,1,,7,,,6,3,,,,,,1,,,,,,,,1,,4,,
