depth,age,abies,acer,alnus,amaranthaceae,apiaceae,aristolochia,artemisia,asphodelus,asteroideae,berberidaceae,betula,boraginaceae,brassicaceae,buxus,campanulaceae,caryophyllaceae,castanea,centaurea,cichorioideae,convolvulaceae,corydalis,corylus,cyperaceae,ephedra distachya-type,ephedra fragilis-type,epilobium,ericaceae,euphorbiaceae,fabaceae,fagus,fraxinus,galium,genista-type,gentiana,geraniaceae,hedera helix,helianthemum,ilex aquifolium,iridaceae,isoëtes,juglans,juniperus,lamiaceae,liliaceae,linum,lonicera,lotus-type,lygeum spartum,lythrum,malvaceae,myriophyllum,nymphaea,osmunda,papaver,pedicularis,phillyrea,pinus,pistacia,plantago,plumbaginaceae,poaceae,polypodium,populus,potamogeton,potentilla,primulaceae,pteris,quercus (deciduous),quercus (evergreen),ranunculaceae,rhamnus,ribes,rosaceae,rumex,salix,sambucus,sanguisorba,saxifragaceae,scrophulariaceae,sedum,selaginella,solanaceae,sparganium,tamarix,taxus,thymelaea,tilia,trifolium-type,ulmus,urticaceae,utricularia,viburnum
289,7955,,,1,1,6,,1,,1,,48,1,,,,,,,4,,,34,25,,,,1,,5,,1,,,,,,,1,,,,21,,7,,,,,,,,,,,,,142,,1,,21,,1,,,,,19,1,,,,2,,2,,,,,,,,,,5,,2,,34,7,,
290,7979,,,2,,9,,1,,1,,49,,,1,,,,,5,,,32,29,,,,,,6,,,,,,,,,,,,,18,,6,,,,,,,1,,,,,,125,,,,17,,,1,,,,15,3,,,,4,,,,,,,,,,,2,1,,,,21,5,,
291,8003,,,2,,12,1,1,,,,50,,,,,,,,7,,,33,33,,,,,1,6,,1,1,,,,1,,,,,,15,6,8,,,,,,,2,,,,2,,139,,2,,16,,1,2,,,,14,4,1,1,,5,1,2,,,,3,2,,,,4,,,1,,16,5,,
292,8020,,,1,1,10,,1,,1,,51,1,,,,,,,6,,,34,30,,,,1,,4,,,,,,,,,1,,,,17,,7,,,,,,,1,,,,,,141,,,,14,,,,,,,13,3,,,,,,,,,,,,,,,3,,,,,18,4,,
293,8037,,,,,8,,,,,,49,,,1,,,,,4,,,30,28,,,,,,2,,1,,,,,1,,,,,,10,,5,,,,,,,,,,,,,128,,1,,12,,2,,,,,10,2,,,,4,,1,,,,,,,,,,,,1,,17,2,,
294,8054,,,1,1,7,,1,,1,,48,1,,,,,,,5,,,28,25,,1,,,,4,,,,,,,,,,,,,11,,1,,,,,,,1,,,,,,132,,,,15,,,,,,,11,,,1,,,,,,,,,,,,,1,,,,,19,1,,
295,8071,,,,1,5,,,,,,47,,,1,,,,,3,,,33,20,,,,,,3,,1,,,,,,,1,,,,14,,4,,,,,,,1,,,,,,130,,,,12,,,,,,,12,1,,,,2,,,,,,,,,,,,,,,,22,,,
296,8088,,,,,4,,1,,,,48,,,,,,,,2,,,32,15,,,,1,,5,,,,,,,1,,,,,,12,,7,,,,,,,1,,,,,,128,,1,,11,,,,,,,10,,,,,,,1,,,,,,,,,,,,,,23,1,,
297,8105,,,,,6,,1,,1,,46,,,,,,,,1,,,34,10,,,,,,2,,1,,,,,,,,,,,11,,5,,,,,,,2,,,,,,130,,2,,10,,2,,,,,12,,,1,,1,,,,,,,,,,,,,,1,,25,,,
299,8139,,,,,2,,,,,,48,,,,,,,,2,,,36,14,,,,1,,2,,,,,,,1,,,,,,8,,1,,,,,,,1,,,,,,150,,1,,11,,,,,,,13,,,,,,,1,,,,,,,,,,,,,,24,1,,
298,8122,,,1,,8,,1,,1,,45,1,,1,,,,,1,,,34,18,,1,,,,3,,,,,,,,,1,,,,7,,2,,,,,,,1,,,,,,135,,,,12,,,,,,,11,1,,,,4,,1,,,,,,,,,,,,,,27,1,,
301,8173,,,,,3,,1,,1,,51,,,,,,,,3,,,31,11,,,,,,1,,,,,,,1,,,,,,10,,8,,,,,,,1,,,,,,160,,,,15,,1,4,,,,14,2,,1,,1,,,,,,,,,,,1,,,1,,31,1,,
302,8191,,,1,,4,,,,,,50,1,,,,,,,2,,,30,19,,,,1,,1,,,,,,,,,1,,,,8,,9,,,,,,,2,,,,,,152,,1,,16,,1,5,,,,16,1,,,,,,,,,,,,,,,2,,,,,30,,,
303,8211,,,1,1,6,,2,,,,51,,1,1,,,,,4,,,33,26,,,,,2,2,,1,,,,,1,,,,,,9,2,10,,,,,,,4,,,,1,,174,,3,,14,,,7,,,,15,2,1,2,,2,1,,,,,2,5,,,,4,,,1,,33,1,,1
300,8156,,,1,,1,,1,,,,50,,,,,,,,2,,,32,10,,1,,,,1,,1,,,,,,,,,,,11,,7,,,,,,,,,,,,,141,,1,,13,,1,1,,,,15,1,,,,2,1,1,,,,,,,,,1,,,,,29,,,
305,8249,,,,,3,,,,,,54,1,,1,,,,,1,,,35,18,,1,,,,2,,,,,,,,,,,,,12,,8,,,,,,,,,,,,,157,,2,,11,,1,,,,,17,,,1,,,3,,,,,,,,,,1,,,,,38,4,,
304,8230,,,1,,4,,1,,2,,52,,,,,,,,3,,,32,20,,,,,,2,,,,,,,,,1,,,,11,,9,,,,,,,2,,,,,,161,,,,10,,,1,,,,14,1,,,,,,,,,,,,,,,3,,,,,35,,,
306,8268,,,1,,2,,1,,1,,62,,,,,,,,,,,40,14,,,,,,1,,,,,,,,,1,,,,11,,7,,,,,,,1,,,,,,143,,,,12,,,,,,,16,1,,,,1,2,1,,,,,,,,,2,,,1,,41,2,,
308,8306,,,,1,2,,1,,1,,75,1,,,,,,,,,,49,11,,,,,,,,,,,,,,,,,,,17,,4,,,,,,,2,,,,,,96,,,,10,,,,,,,20,,,,,,,1,,,,,,,,,,,,,,41,,,
307,8287,,,,,4,,1,,,,72,,,,,,,,1,,,43,10,,,,1,,1,,,,,,,1,,,,,,14,,5,,,,,,,1,,,,,,121,,1,,15,,,1,,,,18,,,,,,,,,,,,,,,,,,,,,45,1,,
309,8325,,,,,5,,1,,,,82,,,1,,,,,,,,59,15,,,,1,,1,,,,,,,1,,,,,,21,,7,,,,,,,,,,,,,84,,1,,8,,1,1,,,,21,1,,,,1,,1,,,,,,,,,1,,,,,47,1,,
311,8363,,,,1,3,,,,,,88,,,1,,,,,1,,,66,12,,,,,,,,,,,,,1,,,,,,22,,4,,,,,,,1,,,,,,65,,,,7,,1,1,,,,26,2,,,,,,1,,,,,,,,,2,,,1,,52,1,,
310,8344,,,,1,4,,,,1,,86,,,,,,,,,,,64,14,,1,,,,1,,,,,,,,,,,,,18,,8,,,,,,,1,,,,,,78,,,,9,,,,,,,23,,,1,,,,,,,,,,,,,1,,,,,49,,,
313,8401,,,1,1,4,,,,1,,102,,,,,,,,,,,79,14,,,,,,2,,,,,,,,,1,,,,23,,7,,,,,,,4,,,,,,62,,,,9,,,,,,,31,1,,1,,,,,,,,,,,,,1,,,,,60,1,,
312,8382,,,,,2,,1,,1,,95,1,,,,,,,,,,73,13,,1,,1,,1,,,,,,,,,,,,,24,,5,,,,,,,2,,,,,,58,,1,,8,,,,,,,27,1,,,,1,,,,,,,,,,,1,,,,,57,2,,
315,8419,,,1,1,6,,1,,,,106,,,,,,,,,,,80,14,,1,,,,3,,,2,,,,,,,,,,26,3,3,,,,,,,5,,,,,,52,2,1,,7,,,3,1,,,32,3,,4,,,1,1,,,1,1,,,,,5,,,2,,65,5,,
317,8453,,,2,,8,,1,,,,97,1,,,,,,,1,,,80,18,,1,,,,1,,,,,,,,,,,,,28,2,1,,,,,,,2,,,,,,65,,1,,18,,1,,,,,30,1,,,,4,,,,,,,,,,,,,,,,57,1,,
316,8436,,,,1,7,,1,,,,109,,,,,,,,,,,83,17,,,,1,,2,,,,,,,,,,,,,27,4,2,,,,,,,1,,,,,,61,,,,10,,,,,,,31,2,,,,2,,,,,,,,,,,3,,,,,34,,,
