depth,age,acer,aconitum,alnus,amaranthaceae,ambrosia-type,anthemis-type,apiaceae undiff.,artemisia,asteraceae undiff.,asteroideae,avena/triticum-type,betula,betula cf. b. nana,brassicaceae,calluna vulgaris,cannabaceae,carpinus,centaurea cyanus-type,chamaenerion angustifolium-type,cichorioideae,cornus,corylus,cystopteris,dryas octopetala,equisetum,ericaceae undiff.,fabaceae undiff.,fagus,filipendula,frangula alnus,fraxinus,galium-type,geum,gymnocarpium,hordeum-type,huperzia selago,juglans,juniperus-type,papaver argemone-type,persicaria amphibia,picea,pinus subg. pinus,plantago lanceolata,plantago major,poaceae undiff.,polygonum aviculare-type,populus,potentilla-type,quercus,ranunculus-type,rhamnus cathartica,rosaceae undiff.,rubus chamaemorus,rumex acetosella-type,sagina,salix,sambucus,scleranthus,secale-type,tilia,ulmus,urtica,vicia cracca-type
1010,8546,,,127,,,,,2,,,,391,,,,,,,,,,114,,,,5,,,,,1,,,,,,,,,,,554.5,,,20,,8,,6,,,1,,,,8,,,,,16,,
1012,8670,,,112,,,,1,1,1,,,287,,1,,3,,,,,,78,,,,3,,,,,,,,,,,,,,,,550.5,,,25,,10,,4,,1,,,2,,6,,,,,10,,
1014,8798,,,102,,,,,,,,,317,,,10,,,,,,,73,,,,1,,,,,,,,,,,,,,,,537,,,14,,8,,7,,,,,2,1,8,,,,,9,,
1016,8931,,,74,,,,,1,,,,280,,,9,1,,,,,,96,,,,,,,2,,,,,,,,,,,,,553.5,,,47,,9,,6,,1,,,,,7,,,,1,8,,
1018,9068,,,37,,,,,1,,,,299,,,13,,,,,,,80,,,,2,,,1,,,,,,,,,,,,,595.5,,,37,,6,,2,,,1,,,,9,,,,1,6,,
1020,9210,,,21,2,,,,2,1,,,233,,,13,1,,,,,,86,,,,3,,,1,,,,,,,,,1,,,,554,,,44,,12,,6,,2,,,,,11,,,,,6,,
1022,9357,,,7,,,,1,4,,,,210,,,20,,,,,,,116,,,,3,,,,,1,,,,,,,,,,,650.5,,,42,,,,4,,2,1,,,,5,,,,,11,,
1024,9508,,,4,,1,,,2,1,,,261,,,6,,,,,,,125,,,,3,,,4,,,,,,,,,,,,,568.5,,,43,,8,,2,,,,,,1,6,,,,,5,,
1026,9665,,,2,,,,,1,,1,,243,,,11,,,,,,1,91,,,,4,1,,,,,,,,,,,1,,,,554,,,56,,5,,1,,1,,,,,5,,,,1,11,,
1028,9828,,,,,,,,1,,,,257,,,8,2,,,,,,91,,,,3,,,,,,,,,,,,,,,,572,,,45,,7,,4,,2,1,,1,,11,,,,,5,,
1030,9997,,,,1,,,,1,,,,324,,,12,,,,,,,76,,,,6,,,,,,,,,,,,,,,,577,,,60,,3,,5,,2,2,,1,1,8,,,,1,7,,
1032,10171,,,3,,,,,5,,,,279,,,4,,,,,,2,88,,,,5,,,2,,,1,,,,,,,,,,555,,,67,,9,1,,,1,1,,1,1,8,,,,,6,,
1034,10352,,,,,,,,6,2,,,322,2,,7,1,,,,,,81,,,,3,,,1,,1,,,1,,,,2,,,,552,,,91,,7,,4,,,,,4,,14,,,,1,15,,
1036,10539,,,1,1,,,,1,,,,443,4,,3,1,,,,,,82,1,,5,3,,,,,,,,,,,,3,,,,286,,,125,,,,4,,,,,3,,22,,,,,16,,
1038,10734,,,,,,,,1,,,,547,6,,6,1,,,,,1,72,,1,11,6,1,,,,1,,,,,,,2,,,,211.5,,,125,,3,,6,,1,,,3,,25,2,,,,9,,
