depth,age,abies,abies alba,acer campestre-type,achillea-type,allium,alnus glutinosa-type,alnus viridis,amaranthaceae,apiaceae,artemisia,aster-type,avena-type,bartsia-type,betula nana,betula pubescens,botrychium,brassicaceae,buxus sempervirens,calluna vulgaris,calystegia,campanula,cannabis-type,carduus,carpinus betulus,caryophyllaceae,castanea sativa,centaurea cyanus,centaurea montana,centaurea scabiosa,cerastium,chaerophyllum-type,cichorioideae,corylus avellana,cuscuta europaea-type,cyperaceae,dryas octopetala,ephedra distachya-type,ephedra fragilis-type,eryngium,fagus sylvatica,filipendula,fraxinus excelsior-type,genista-type,gentiana-type,geranium-type,geum,gnaphalium-type,gypsophila,hedera helix,hedwigia,helianthemum,heracleum,homogyne alpina,hordeum-type,juglans regia,juniperus,juniperus-type,knautia,lamiaceae,larix,larix decidua,liliaceae undiff.,lonicera alpigena,lonicera xylosteum,mentha-type,olea europaea,pediastrum,picea,picea abies,pinus,pinus cembra,pinus sylvestris-type,pistacia,plantago alpina,plantago lanceolata,plantago major/p. media,poaceae,poaceae (cerealia),podospora-type,populus,potentilla-type,poterium sanguisorba,quercus robur-type,ranunculus acris-type,ranunculus-type,rhamnus,rhinanthus-type,rhododendron,rosaceae,rubiaceae,rumex acetosa-type,salix,saxifraga granulata-type,saxifraga oppositifolia-type,scorzonera-type,secale,selaginella selaginoides,silene dioica-type,sorbus,sordaria-type,sporormiella,succisa,taxus baccata,thalictrum,tilia,triticum-type,trollius europaeus,ulmus,urtica,valeriana officinalis,vitis vinifera,xanthium spinosum-type
186,2894,,32,3,,,25,59,,1,4,1,,,,30,1,,,,,,,,,,,,,,,1,,13,,9,,,,,45,1,3,,,,,,,,,,1,,2,,,,,,,2,,,,,1,4,2,133,,3,27,,,2,,21,4,,,1,,22,3,4,,,1,1,,,,,,,2,,,2,,4,,,,,,,1,,,,
187,2919,,21,1,1,,32,72,2,,4,,,,,18,,,,,,,,,,,,,,,,1,,12,,8,,,,,41,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,1,3,129,,,33,,,5,1,7,1,,,,,31,2,3,,,,,1,2,2,,,,,,,3,1,4,,,2,,,,3,,,,
188,2943,,37,,,,10,48,,,2,,,,,19,,1,,,,,,,,,,,,,,1,2,7,,8,,,,,49,1,1,,,,,,,,,,,,1,,,,,,,4,,,,,,2,2,164,,8,29,,,1,1,18,1,,,,,25,2,4,,,1,,,1,,,,,,,,,,1,,,,,,,2,,,,
189,2967,,21,1,,,14,57,,2,3,,,,,27,,,,,,,,,,,,,,,,,1,15,,3,,,,,49,1,1,,,,,,,,,,1,,2,,,,,,,2,,,,,,3,3,151,,3,38,,,,,16,2,,,2,,29,3,1,,1,,,,1,,,,,,,,1,,3,,,1,,,,3,,,,
190,2991,,15,1,,,28,77,1,,2,,,,,33,,,,,,1,,,,,,,,,,,2,10,,4,,,,,39,,7,,,,,,,,,,,,1,,,,,,,2,,,,,,1,2,127,,2,28,,,3,1,19,1,,,,,21,2,4,,,2,,,2,,,,,,,1,3,,1,,2,,,,,9,1,,,
191,3015,,17,1,,,21,81,,1,5,,,,,28,,1,,,,,,,1,,,,,,,,,16,,6,,,,,55,3,5,,,,,,,,,,2,,2,,,1,,,2,5,,,2,,,2,4,125,,,34,,,2,,16,2,,,4,,28,4,4,,,,2,,,,,,,,,1,4,,3,,1,,1,,,3,,,,
192,3039,,19,1,,,26,61,1,,5,,,,,27,,,,,,,,,,,,,,,,1,2,12,,11,,,,,40,1,2,,,,,,,,,,,,3,,,1,,,6,3,,,,,,2,4,134,,,41,,,2,,13,3,,,1,,35,3,3,,,,,,3,,,,,,,,,,3,,,,2,,,1,,,,
193,3064,,22,1,,,33,55,,1,5,1,,,,49,,2,,,,,,,,,,,,,,3,3,19,,2,,,,,52,1,3,1,,,,,,,,,,,8,,,3,,,,5,,,,,,3,7,117,,7,30,,,4,,34,8,,,3,,31,3,2,,,,,2,3,1,,,,,,,2,2,5,,,,1,,1,5,,,,
194,3088,,11,2,,,25,72,,1,5,1,,,,51,,,,,,,,2,1,,,,,,,2,1,12,,5,,,,,48,2,9,,1,,,,,,,,,,3,,,2,,,1,5,,,1,,,4,2,106,,,21,,,2,1,22,3,,,2,,37,2,4,,,,2,1,8,1,,,,,,,1,1,6,,,,,,,4,,,,
195,3112,,12,2,1,,44,73,,1,4,,,,,46,,1,,,,,,1,1,,,,,,,2,1,18,,8,,,,,56,,3,,,,,,,,,,2,,4,,,3,,,,6,,,1,,,2,2,107,,,30,,,3,1,30,4,,,2,,34,5,4,,,2,2,1,1,,,,,,,,2,2,5,,,,,,,3,,,,
196,3136,,11,2,,,39,75,,4,7,,,,,28,,1,,,,,,,1,,,,,,,3,3,17,,13,,,,,52,2,7,,,,,,,,,,1,,4,,,2,,,,4,,,,,,4,1,105,,3,16,,,5,1,23,4,,,3,,38,5,7,,,1,1,,2,1,,,,,,,2,,10,,,,,,,4,,,,
197,3160,,17,3,1,,39,59,2,,5,1,,,,46,,,,,,,,,,,,,,,,2,2,19,,8,,,,,38,1,3,,,,,,,,,,,,5,,,,,,,2,,,,,,7,1,119,,5,19,,,1,,20,6,,,1,,28,3,2,,,,,,1,1,,,,1,,,2,,5,,1,,,,,2,1,,,
198,3185,,17,1,,,38,72,1,,1,,,,,43,,,,,,,,,,,,,,,,3,1,18,,9,,,,,50,,3,,,,,,,,,,,,1,,,1,,,1,3,,,,,1,3,5,116,,,19,,,2,,17,1,,,1,,37,2,4,,,,,,2,2,,,,,,,,1,11,,,,,,,7,1,,,
199,3209,,15,,1,,32,81,,,3,,,,,47,,1,,,,,,1,,,,,,,,2,1,19,,8,,,,,49,2,4,,,,,,,,,,,,2,,,,,,,1,,,,,,3,2,121,,,24,,,1,1,23,2,,,1,,26,1,1,,,,,,2,1,,,,,,,3,,7,,,,,,,,1,,,
200,3233,,7,1,,,28,67,,2,2,,,,,51,,2,,,,1,,,,,,,,,,2,1,20,,7,,,,,51,2,3,,,,,,,,,,,,2,,,,,,,2,,,,,,4,2,101,,,19,,,1,,23,2,,,1,,47,2,3,,,,,,2,1,,,,,,,2,,8,,,,,,1,2,,,,
201,3257,,13,2,,,44,69,,,5,,,,,42,,,,,,,,,,,,,,,,2,1,16,,9,,,,,37,2,4,,,,,,,,,,,,5,,,2,,,,1,,,,,,9,,103,,,17,,,6,,29,6,,,2,,50,4,8,,,,1,1,4,2,,,,1,,,,1,13,,1,,1,,2,7,2,,,
202,3281,,16,3,,,22,71,,1,1,,,,,50,,1,,,,,,,,1,,,,,,4,1,18,,8,,,,,46,,,,,,,,,,,,,,5,,,,,,,2,,,,,,13,2,119,,4,16,,,3,,35,6,,,1,,44,6,6,,,,1,,6,,,,,1,,,,,21,,,,,,1,3,,,,
203,3305,,8,5,,,38,80,,,5,2,,,,35,,,,,,,,,,,,,,,,,1,13,,11,,,,,49,2,,,,,,,,,,,,,6,,,,,,1,2,,,,,,10,1,106,,4,19,,1,7,1,31,6,,,4,,60,6,10,,,1,,,2,,,1,,,,,3,1,19,,,,,,,6,1,,,
204,3330,,16,,1,,38,64,,1,4,,,,,46,,1,,1,,,,1,,,,,,,,2,2,16,,8,,,,,39,,3,,,,,,,,,,,,4,,,2,,,,,,,,,,9,1,99,,6,18,,,2,,32,4,,,1,,42,5,5,,,,,1,3,,,,,,,,1,,9,,1,,1,,,3,,,,
