depth,age,abies,abies alba,acer campestre-type,achillea-type,allium,alnus glutinosa-type,alnus viridis,amaranthaceae,apiaceae,artemisia,aster-type,avena-type,bartsia-type,betula nana,betula pubescens,botrychium,brassicaceae,buxus sempervirens,calluna vulgaris,calystegia,campanula,cannabis-type,carduus,carpinus betulus,caryophyllaceae,castanea sativa,centaurea cyanus,centaurea montana,centaurea scabiosa,cerastium,chaerophyllum-type,cichorioideae,corylus avellana,cuscuta europaea-type,cyperaceae,dryas octopetala,ephedra distachya-type,ephedra fragilis-type,eryngium,fagus sylvatica,filipendula,fraxinus excelsior-type,genista-type,gentiana-type,geranium-type,geum,gnaphalium-type,gypsophila,hedera helix,hedwigia,helianthemum,heracleum,homogyne alpina,hordeum-type,juglans regia,juniperus,juniperus-type,knautia,lamiaceae,larix,larix decidua,liliaceae undiff.,lonicera alpigena,lonicera xylosteum,mentha-type,olea europaea,pediastrum,picea,picea abies,pinus,pinus cembra,pinus sylvestris-type,pistacia,plantago alpina,plantago lanceolata,plantago major/p. media,poaceae,poaceae (cerealia),podospora-type,populus,potentilla-type,poterium sanguisorba,quercus robur-type,ranunculus acris-type,ranunculus-type,rhamnus,rhinanthus-type,rhododendron,rosaceae,rubiaceae,rumex acetosa-type,salix,saxifraga granulata-type,saxifraga oppositifolia-type,scorzonera-type,secale,selaginella selaginoides,silene dioica-type,sorbus,sordaria-type,sporormiella,succisa,taxus baccata,thalictrum,tilia,triticum-type,trollius europaeus,ulmus,urtica,valeriana officinalis,vitis vinifera,xanthium spinosum-type
258,5283,,40,6,,,16,3,,2,1,,,,,19,,,,,,1,,1,,,,,,,,,,10,,6,,,,,32,,4,,1,,,,,,,,1,,,,,1,,,,,,,1,,,2,4,186,,2,51,,,,,11,,,,,,32,3,3,,,1,,,2,1,,,,,,,,,,,,,,,,1,,,,
259,5313,,41,8,,,28,,,4,5,,,,,35,,,,,,,,,,,,,,,,4,2,9,,3,,,1,,29,,4,,,,,,,,,,1,,1,,,,,,,3,,,,1,,1,2,160,,4,37,,,,,12,1,,,,,35,2,2,,,1,,1,1,,,,,,,,,,1,,,,,,,12,,,,
260,5343,,26,4,,,35,4,1,1,3,,,,,51,,,,,,,,,,,,,,,,1,1,15,,7,,,,,24,,4,,,,,,,,,,,,2,,,1,,,,1,,,,,,6,5,136,,,49,,,,,15,2,,,1,,39,2,3,,,2,,,1,,,,,,,,3,,3,,,,3,,,24,,,,
261,5373,,36,2,,,42,3,,2,2,,,,,38,,,,,,,,,,,,,,,,1,1,14,,3,,,,,28,,6,,,1,,,,,,,,,1,,,3,,,1,2,,,,,,1,2,131,,,48,,,1,1,19,1,,,,,37,1,3,,,,1,,4,,,1,,,,,1,,,,,,1,,,14,,1,,
262,5403,,61,4,,,15,,,,1,,,,,36,,,,,,,,,,1,,,,,,2,2,7,,2,,,,,38,,2,,,,,,,,,,,,1,,,,,,,2,,,,,,2,1,143,,3,48,,,1,,11,1,,,,,21,2,4,,,1,,,1,,,,,,,,6,,1,,,,,,,21,,,,
263,5433,,56,6,,,20,2,,,2,,,,,23,,1,,,,,,,,,,,,,,1,,15,,6,,,,,32,,2,,,,,,,,,,3,,2,,,1,,,,1,,,,,,4,7,128,,4,47,,,,,16,2,,,,,44,2,2,,,,1,,4,2,,,,,,,1,,,,,,2,,,14,,,,
264,5463,,46,8,,,21,1,,,3,2,,,,17,,,,,,,,,,,,,,,,5,2,11,,6,,,,1,46,2,8,,,,,,,,,1,,,2,,,1,,,,1,,,,,,1,1,115,,11,33,,,,,13,2,,,,,47,3,4,,,,,,2,2,,,,,,,4,,,,,,1,,,26,,,,
265,5493,,51,6,,,25,3,,1,2,,,,,44,,1,,,,,,,,,,,,,,1,,11,,8,,,,,23,,4,,,,,,,,,,,,2,,,4,,,,2,,,,,,2,7,107,,,53,,,,,14,2,,,,,38,2,1,,,,1,,2,,,,,,,,3,,1,,,1,4,,,16,,,,
266,5523,,50,10,,,30,1,,1,4,1,,,,61,,,,,,,,,,,,,,,,2,,22,,4,,,,,31,,12,,,,,,,,,,,,3,,,1,,,,1,,,1,,,,1,69,,13,55,,,1,1,14,3,,,2,,34,,,,,1,1,,1,,,,,,,,2,,,,,,5,,1,16,1,,,
267,5553,,61,7,,,35,4,,3,3,,,,,46,,,,,,,,,,,,,,,,2,,26,,6,,,,,20,,4,,,,,,,,,,1,,,,,1,,,,,,,,,,2,,84,,,51,,,1,,5,,,,,,47,1,3,,,,,,2,3,,,,,,,1,,,,,1,1,,,21,,,,
268,5583,,58,7,,,19,4,,2,1,1,,,,46,,1,,,,,,,,,,,,,,3,1,13,,5,,,,,26,,10,,1,,,,,,,1,1,,2,,,1,,,1,3,,,,,,2,,66,,6,63,,,3,,12,2,,,2,,39,3,6,,,1,,,1,1,,,,,,,6,,1,,,,1,,,27,,,,
269,5613,,91,4,1,,19,5,,1,7,1,,,,40,,,1,1,,,,,,,,,,,,6,1,19,,7,,,,,17,,6,,1,,,,,,,,1,,2,,,,,,,2,,,1,,,3,,77,,8,59,,,4,,13,2,,,,,45,3,6,,,1,,,2,,,1,,,,,6,,2,,,,3,,,24,,,,
270,5643,,96,10,1,,13,,,1,9,2,,,,53,,,,,,,,,,,,,,,,3,1,25,,5,,,,,20,,4,,,,,,,,,,,1,2,,,,,,,3,,,,,,,,74,,4,60,,,,,16,2,,,,,33,,2,,,1,,1,2,,,,,,,,2,,2,,,1,3,,,26,,,,
271,5673,1,99,6,2,,25,2,,1,7,1,,,,49,,1,,,,,,1,,,,,,,,2,4,12,,13,,,,,20,2,5,,,,,,,,,,1,,2,,,,,,,3,,,,,,1,,49,,,53,,,,1,13,2,,,,,32,1,2,,,,,,4,2,,,,,1,,4,,2,,,,,,,26,,,,
272,5703,2,101,6,1,,23,1,,1,4,2,,,,36,,2,,,,,,1,,,,,,,,1,1,14,,4,,,,1,32,,6,,,,,,,,,,1,,1,,,,,,,2,,,,,,2,,47,,,63,,,,,7,1,,,4,,50,1,3,,,,2,,,1,,,,,,,3,,,,,1,6,,,35,,,,
273,5733,3,95,6,,,44,,,1,2,,,,,43,,,,,,,,,,,,,,,,1,2,23,,5,,,,,15,1,7,,,,,,,,,,2,,,,,,,,,,,,1,,,1,,32,2,2,53,,,,,4,,,,1,,39,1,3,,,1,2,1,4,1,,,,,,,7,,,,,,2,,,38,,,,
274,5763,4,132,14,,,22,,,2,1,,,,,48,,,,,,,,,,,,,,,,2,,21,,9,,,,1,21,,4,,,,,,,,,,,,,,,,,,,5,,,,,,3,,28,,8,40,,,,,9,,,,2,,43,2,3,,,,,,,,,,,,,,1,,,,,2,8,,,20,,,,
275,5793,1,114,5,,,24,2,,,5,,,,,53,,,,,,,,,,,,,,,,3,3,17,,4,,,,,16,2,6,,,,,,,,,,1,,3,,,,,,,2,,,1,,,3,,34,,8,51,,,1,,14,3,,,1,,35,3,5,1,,1,1,,,,,,,,,,3,,1,,,,2,,,48,,,,
276,5824,3,108,6,,,24,4,1,3,4,,,,,36,,,,,,,,,,,,,,,,4,1,9,,7,,,,,19,,15,,,,,,,,,,1,,1,,,2,,,,1,,,,,,1,,36,,19,49,,,1,,10,1,,,3,,29,6,3,,,,,,2,,,,,,,,7,1,1,,,,2,,,41,1,,,
277,5856,,91,9,,,25,4,1,1,3,,,,,43,,,,,,,,,,1,,,,,,,4,20,,5,,,,,18,1,8,,,,,,,,,,,,1,,,,,,,5,,,1,,,2,,32,,10,57,,,,1,13,1,,,2,1,30,1,4,,,,1,,1,1,,,,,1,,13,,3,,,,3,,,37,,,,
278,5888,1,111,7,,,21,,1,,3,,,,,47,,1,,,,,,,,,,,,,,3,1,13,,3,,,,,23,,6,,,,,,,1,,,,,,,,,,,,1,,,,,,6,,24,,11,57,,,,,6,,,,,,31,1,3,,,,,1,2,,,,,,,,4,1,,,,,2,,,47,,,,
286,6147,,89,6,,,21,,,3,7,,,,,73,,,,,,,,1,,,,,,1,,1,2,13,,5,,,,,10,1,13,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,3,63,,,,,10,,,,,,36,1,2,,,,,,,,,,,,,,2,,,,,,2,,,76,,,,
294,6405,,107,6,,,33,,,,4,,,,,58,,,,,,,,,,,,,,,,1,1,30,,4,,,,1,9,,22,,,,,,,1,,,1,,,,,,,,,2,,,,,,9,,2,,9,52,,,,,14,,,,,,19,,2,,,1,,,1,2,,,,,,,5,,,,,1,3,,,56,,,,
302,6663,,138,4,,,13,,,2,4,,,,,57,,,,,,,,,,,,,,,,1,3,17,,4,,,,,11,1,25,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,2,47,,,,,7,,,,,,31,,2,,,2,,,,,,,,,,,2,,,,,,6,,1,46,,,,
310,6811,,112,8,,,13,,,,1,,,,,35,,,,,,,,,,,,,,,,,1,30,,1,,,,1,21,,26,,,,,,,,,,,,,,,,,,,1,,,1,,,5,,,,4,39,,,,,6,,,,,,14,,3,,,,,,2,,,,,,1,,4,,,,,1,11,,,82,,,,
318,6848,,63,7,,,9,,,1,3,1,,,,41,,,,,,,,,,,,,,,,4,1,23,,4,,,,,4,,43,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,67,,,,,6,,,,,,36,,2,,,2,,,,,,,,,1,,4,,,,,,11,,,113,,,,
326,6885,2,87,9,,,22,,,,1,1,,,,45,,,,,,,,,,,,,,,,1,1,34,,1,,,,1,4,,43,,,,,,,,,,,,,,,,,,,1,,,,,,16,,,,4,35,,,,,6,,,,,,31,,2,,,,,,2,1,,,,,,,3,,,,,,14,,,103,,,,
334,6922,1,63,9,,,6,,,2,2,,,,,59,,,,,,,,,,,,,,,,3,1,21,,2,,,,,1,1,47,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,3,67,,,,,13,,,,,,40,,1,,,,,,,2,,,,,,,4,,,,,2,10,,,82,,,,
350,6996,,3,6,,,16,,1,1,5,,,,,95,,,,,,,,,,,,,,,,3,,31,,7,,,,1,,2,47,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,2,45,,,,,6,,,,,,32,,2,,,,,,1,4,,,,,,,4,,,,,,23,,,109,,,,
366,7070,,7,5,,,22,,,1,6,,,,,57,,,,,,,,,,,,,,,,,,94,,10,,,,,,,8,,,,,,,,,,,,,,,,,1,,1,,,1,,,2,,,,3,62,,,,,9,,,,,,31,,,,,,,,1,1,,1,,,,,4,,,,,,25,,,110,,,,
382,7144,,5,2,,,16,,,,1,,,,,38,,,,,,,,,,,,,,,,3,,119,,10,,,,,,1,5,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,17,69,,,,,13,,,,,,32,,3,,,,,,,1,,,,,,,1,,,,,,29,,,122,,,,
398,7219,,,2,,,2,,,,6,,,,,29,1,,,,,,,,,,,,,,,1,2,146,,10,,,,,,,6,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,1,,6,139,,,,,12,,,,,,13,,,,,,,,,1,,,,,26,,,,,,,,9,,,67,,,,
406,7256,,,,,,8,,,1,2,,,,,23,,,,,,,,,,,,,,,,2,,167,,8,,,,,,,2,,,,,,,,,,,,,,,1,,1,,,,,,,,2,,,,,107,,,,,14,,,,,,7,,,,,,,,,,,,,,13,,2,,,,,,6,,,46,,,,
414,7293,,,1,,,5,,,,1,,,,,28,,,,,,,,,,,,,,,,1,5,111,,10,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,123,,,,,15,,,,,,19,,1,,,,,,1,1,,,,,19,,,,,,,,16,,,92,,,,
430,7637,,,2,1,,10,,1,,5,,,,,32,,,,,,,,,,,,,,,,,,60,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,10,230,,,,,8,,,,,,12,,,,,,,,,,,,,,,,,,,,,,16,,,33,,,,
446,8044,,,2,,,9,,,,3,,,,,67,,,,,,,,,,,,,,,,2,,89,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,23,167,,,,,15,,,,,,22,,3,,,,,,,2,,,,,,,,,,,,1,20,,,53,,,,
462,8451,,1,4,,,17,,,,1,,,,,25,,,,,,,,,,,,,,,,2,,125,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,2,16,120,,,,,9,,,,,,30,,3,,,,,,,2,,,,,,,1,,,,,,15,,,77,,,,
494,9264,,4,,,,28,,,,,,,,,31,,,,,,,,,,,,,,,,3,,103,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,1,13,155,,,,,6,,,,,,23,,,1,,,,,,,,,,,1,,,,,,,,22,,,28,,,,
510,9671,,2,,,,33,,1,,1,,,,,27,,,,,,,,,,,,,,,,,,145,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,5,117,,,,,6,,,,,,21,,1,,,,,,,,,,,,,,,,,,,1,9,,,53,,,,
526,10078,,,,,,2,,2,,1,,,,,54,,,,,,,,,,,,,,,,,,43,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,43,228,,,,,5,,,,,,9,,,,,,,,,1,,,,,,,,,,,,1,8,,,23,,,,
542,10473,,,,,,11,,,,,,,,,47,,,,,,,,,,1,,,,,,,,55,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,43,225,,,,,4,,,,,,9,,,,,1,,,,1,,,,,,,,,,,,,14,,,24,,,,
558,10700,,,,,,22,,,,,,,1,,29,,,,,,,,,,,,,,,,,1,79,,10,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,66,168,1,,,,4,,,,,,21,,1,,,,,,1,,,,,,,,,,,,,1,11,,,45,,,,
590,11155,,,,,,,,,,3,,,,,81,,,,,,,,,,,,,,,,3,,1,,4,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,51,269,,,,,8,,,,1,,3,,1,,,,,,,,,,,,,,2,,,,,1,,,,1,,,,
606,11382,,,,,,,,1,,4,,,,,53,,,,,,,,,,,,,,,,4,,,,1,,,,,,5,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,70,279,,,,,24,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,,,,,,,,
622,11610,,,,2,,,,1,,8,,,,,129,,,,,,,,,,,,,,,,7,1,,,5,,,,,,4,,,,,,,1,,,1,,,,,1,11,,,,,,,,,,,,,,24,270,,,,,44,,,,,,,,,,,,1,1,,3,,,,,,,,,,,,1,,,,,,,,
654,11942,,,,1,,,,,2,10,,,,,14,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,1,,,,,,71,,,,,,,,,,,,,,13,326,,,,,44,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
686,12264,,,,1,,,,4,,10,,,,,11,1,,,,,,,,,,,,,,,,2,,,35,,,,,,,,,,,,,,,,1,,,,,,59,,,,,,,,,,,,,,19,239,,,,,76,,,,,,,,1,,,,1,1,,5,,3,2,,,,,,,,,,,,,,,,,
718,12586,,,,,,,,1,,9,,,,,12,,,,,,,,,,,,,,,,,1,,,23,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,12,290,,,,,69,,,,,,,,1,,,,,,,3,,1,,,,,1,,,,,,,,,,,,,
750,12907,,,,2,,,,7,,7,,,,1,9,1,,,,,,,,,,,,,,,,1,,,21,2,1,3,,,,,,,,,,,,,3,,,,,,113,,,,,,,,,,,,,,12,282,,,,,85,,,,,,,,,,,,3,1,,3,,2,1,,1,,,,,,,,,,,,,,,
782,13229,,,,2,,,,1,1,3,,,,1,8,,,,,,,,,,,,,,,,,2,,,19,,,5,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,14,339,,,,,51,,,,,,,,,,,,3,,,,,3,1,,1,,1,,,,,,,,,,,,,
814,13551,,,,,,,,1,,2,,,,4,16,,,,,,,,,,,,,,,,1,1,,,10,1,,,,,1,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,386,,,,,63,,,,,,,,1,,,,1,,2,2,,1,,,,,,,,,,1,,,1,,,,,
848,13800,,,,1,,,,1,1,22,1,,,13,75,1,,,,,,,,,,,,,,,,,,,20,,1,2,,,1,,,,,,,,,,2,,,,,,66,,,,,,,,,,,,,,,140,,,,,104,,,,,,,,1,,,,1,,1,4,,1,,,,,,,,,,1,,,,,,,,
864,13812,,,,,,,,,,1,,,,5,32,1,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,346,,,,,35,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
880,13824,,,,,,,,1,,2,,,,3,23,1,,,,,,,,,,,,,,,,,,,21,,,1,,,1,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,318,,,,,47,,,,,,,,,,,,,,,1,,2,,,1,,,,,,,,,,,,,,,
896,13836,,,,,,,,,,14,,,,3,23,,,,,,,,,,,,,,,,,,,,6,,,,,,1,,,,,,1,,,,1,,,,,,23,,,,,,,,1,,,,,,,297,,,,,45,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,
1008,13921,,,,,,,,,,9,,,,6,49,,,,,,,,,,,,,,,,1,,,,14,1,,1,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,230,,,,,64,,,,,,,,,,,,,,1,,2,2,,,,,,,,,,,,,,,,,,
1120,14005,,,,1,,,,1,,30,,,,10,99,,,,,,,,,,,,,,,,2,,,,17,4,2,1,,,1,,,,,,,,,,2,,,,,,35,,,,,,,,,,,,,,,100,,,,,108,,,,,,,,,,,,1,2,1,,3,2,,,,,,,,,,5,,,,,,,,
1248,14101,,,,,,,,1,3,20,,,,21,61,,,,,,,,,,,,,,,,,,,,11,4,,1,,,,,,,,,,,,,4,,,,,,37,,,,,,,,,,,,,,,7,,,,,64,,,,,,,,,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,
1376,14197,,,,,,,,1,1,11,,,,11,44,,,,,,,,,,,,,,,,,,,,3,2,,1,,,,,,,,,,,,,2,,,,,,35,,,,,,,,,,,,,,,6,,,,,59,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
