age,Abies,Pinus,Juniperus,Taxus,Betula,Corylus,Alnus,Carpinus,Salix,Ulmus,Populus,Acer,Fraxinus,Fagus,Tilia,Juglans,Castanea,Quercus caducifolio,Quercus perennifolio,Pistacia,Rhamnus,Phillyrea,Buxus,Sambucus,Viburnum,Sanguisorba,Tamarix,Thymelaeaceae,Ephedra distachya,Ephedra fragilis,Ericaceae,Hereda helix,Ilex aquifolium,Viscum album,Lonicera,Vitis,Oleaceae,Myrtus,Olea,Poaceae,Lygeum spartum,Artemisia,Cichorioideae,Asteroideae,Cardueae,Rubiaceae,Centaurea,Chenopodiaceae,Caryophyllaceae,Plantago,Brassicaceae,Gentiana,Saxifragaceae,Fabaceae,Genista,Lotus type,Trifolium type,Rosaceae,Ribes,Potentilla,Boraginaceae,Sedum,Helianthemum,Linum,Corydalis,Lamiaceae,Urticaceae,Rumex,Plumbaginaceae,Berberidaceae,Euphorbiaceae,Primulaceae,Scrophulariaceae,Papaver,Geraniaceae,Campanulaceae,Dipsacaceae,Malvaceae,Violaceae,Convolvulaceae,Asphodelus,Liliaceae,Iridaceae,Erodium,Cytisus,Crassulaceae,Lycium,Ranunculaceae,Cistaceae,Orobanchaceae,Galium,Apiaceae,Valerianaceae,Cerealia type,Polygonaceae,Pinguicula,Droseraceae,Cannabis ,Epilobium,Aristolochia,Ranunculus,Thalictrum,Lythrum,Juncus,Utricularia,Cyperaceae,Typha,Pedicularis,Sparganium,Lemna,Nymphaea,Myriophyllum,Potamogeton,Isoetes,Asplenium,Polypodium,Monolete ornametnada,Monolete indeterminada,Botrychium,Osmunda,Pteris,Selaginella,Trilete ornamentada,Trilete indeterminada
-56.87,0.00289017341040462,0.546242774566474,0.023121387283237,0,0.00578034682080925,0.00578034682080925,0,0,0,0,0,0,0.0173410404624277,0.00289017341040462,0,0,0.00578034682080925,0.0635838150289017,0.0722543352601156,0,0,0,0.00289017341040462,0,0,0,0,0,0,0,0.00578034682080925,0,0,0,0,0,0,0,0.0289017341040462,0.0346820809248555,0,0.00578034682080925,0,0,0.00289017341040462,0,0,0.0289017341040462,0,0.00289017341040462,0.00578034682080925,0,0,0.00578034682080925,0.023121387283237,0.00289017341040462,0.00289017341040462,0.00289017341040462,0,0.00289017341040462,0,0,0,0,0,0.023121387283237,0.0144508670520231,0.00289017341040462,0,0.00289017341040462,0,0.0115606936416185,0.00867052023121387,0,0,0.00289017341040462,0,0,0,0,0,0.00578034682080925,0.00578034682080925,0,0,0.00289017341040462,0,0.00578034682080925,0.00289017341040462,0,0,0,0,0.00578034682080925,0,0,,,0,0,0.00289017341040462,0.00289017341040462,0,0,0,0.00578034682080925,0,0.00289017341040462,0,0,0,0.00867052023121387,0.00289017341040462,0,0,0,0.00289017341040462,0,0,0,0,0,0,0
-45.91,0.00301204819277108,0.448795180722892,0.0451807228915663,0,0.00602409638554217,0.00602409638554217,0,0,0.00301204819277108,0.00301204819277108,0,0,0.00602409638554217,0.0150602409638554,0,0.00301204819277108,0.00301204819277108,0.0903614457831325,0.072289156626506,0,0,0,0.00602409638554217,0.00301204819277108,0.00301204819277108,0,0,0,0,0,0.00301204819277108,0,0,0,0,0,0,0,0.0542168674698795,0.0662650602409639,0,0.00602409638554217,0.00602409638554217,0.00602409638554217,0.00301204819277108,0,0,0.0331325301204819,0.00301204819277108,0.00602409638554217,0.00903614457831325,0,0,0.0150602409638554,0.0150602409638554,0,0.00301204819277108,0.00903614457831325,0,0,0.00301204819277108,0,0,0,0,0.00602409638554217,0.00602409638554217,0.00301204819277108,0,0,0,0,0.00602409638554217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150602409638554,0,0,0,0.00301204819277108,0,0.00301204819277108,0,0,,,0,0,0.00903614457831325,0.00602409638554217,0,0,0,0.00602409638554217,0.00301204819277108,0,0,0,0,0.00602409638554217,0.00301204819277108,0,0,0,0,0,0,0,0,0,0,0
-34.95,0,0.614925373134328,0.0238805970149254,0,0.00895522388059702,0.0149253731343284,0,0,0.00597014925373134,0,0,0,0.00895522388059702,0.00895522388059702,0,0,0.0119402985074627,0.0298507462686567,0.0149253731343284,0,0,0,0.00298507462686567,0,0,0,0,0,0,0,0.00298507462686567,0,0,0,0,0,0,0,0.0358208955223881,0.0417910447761194,0,0.00895522388059702,0.00298507462686567,0,0,0,0,0.0388059701492537,0,0.00597014925373134,0.00597014925373134,0,0.00298507462686567,0.0119402985074627,0.00298507462686567,0.0119402985074627,0.00298507462686567,0.00298507462686567,0,0,0,0,0,0,0,0.00895522388059702,0.00597014925373134,0.00597014925373134,0,0,0,0.00895522388059702,0.00298507462686567,0,0,0,0,0,0,0,0,0.00298507462686567,0.00298507462686567,0,0,0.00298507462686567,0,0.017910447761194,0,0,0.00298507462686567,0.00597014925373134,0,0.00597014925373134,0,0,,,0,0,0.0149253731343284,0,0,0.00597014925373134,0,0.00597014925373134,0,0.00298507462686567,0,0,0,0.00597014925373134,0.00895522388059702,0,0,0,0,0.00298507462686567,0,0,0,0,0,0
-23.99,0,0.636363636363636,0.0151515151515152,0,0.00252525252525253,0.00505050505050505,0,0,0.00505050505050505,0,0,0,0.00252525252525253,0,0,0,0.0101010101010101,0.0353535353535354,0.0202020202020202,0,0,0,0.00252525252525253,0,0,0,0,0,0,0.00757575757575758,0.00252525252525253,0,0,0,0,0,0.00505050505050505,0,0.0378787878787879,0.0454545454545455,0,0.0151515151515152,0.0176767676767677,0.00505050505050505,0.00757575757575758,0,0,0.0328282828282828,0.00252525252525253,0,0.00757575757575758,0,0.00252525252525253,0.0101010101010101,0.00252525252525253,0.00505050505050505,0,0.00505050505050505,0,0,0,0,0,0,0,0.0126262626262626,0.00757575757575758,0.00252525252525253,0,0,0,0.00757575757575758,0.00252525252525253,0,0,0.00252525252525253,0,0,0,0,0,0,0,0,0,0,0,0.0101010101010101,0,0,0.00252525252525253,0,0,0.00252525252525253,0,0,0.00252525252525253,,0,0,0.00505050505050505,0.00252525252525253,0,0.00252525252525253,0,0.00252525252525253,0,0,0,0,0,0.00757575757575758,0.00252525252525253,0,0,0,0,0.00252525252525253,0,0,0,0.00252525252525253,0,0
-1.27,0,0.436532507739938,0.0278637770897833,0,0.00619195046439629,0.0123839009287926,0,0,0,0,0,0,0.00619195046439629,0.0123839009287926,0.00309597523219814,0.00619195046439629,0.00619195046439629,0.0773993808049536,0.0464396284829721,0,0,0,0,0,0,0,0,0,0,0.00309597523219814,0.00309597523219814,0,0,0,0,0,0,0,0.0990712074303406,0.0557275541795666,0,0.0154798761609907,0.00619195046439629,0.0123839009287926,0,0,0.00619195046439629,0.0185758513931889,0,0.00619195046439629,0.00309597523219814,0,0.00309597523219814,0.0123839009287926,0.00928792569659443,0,0,0.00928792569659443,0.00309597523219814,0,0,0,0,0,0,0.0185758513931889,0.0185758513931889,0.00928792569659443,0,0,0,0.00619195046439629,0.0123839009287926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123839009287926,0,0,0,0.00928792569659443,0,0.00309597523219814,0.00309597523219814,0,,,0,0,0.00928792569659443,0.00309597523219814,0,0,0,0.0154798761609907,0.00928792569659443,0.00309597523219814,0,0,0,0,0.00309597523219814,0,0,0,0,0.00309597523219814,0,0,0,0,0,0
56.90,0,0.452830188679245,0.050314465408805,0,0.00628930817610063,0.00628930817610063,0,0,0,0,0,0,0.00628930817610063,0.0125786163522013,0,0.00314465408805031,0.00314465408805031,0.059748427672956,0.0408805031446541,0,0,0,0,0,0,0,0,0,0,0,0.00628930817610063,0,0,0,0,0.00314465408805031,0,0,0.0943396226415094,0.0691823899371069,0,0.00943396226415094,0.00314465408805031,0.00628930817610063,0.00314465408805031,0,0,0.0251572327044025,0,0.0125786163522013,0.00314465408805031,0,0.00943396226415094,0.00314465408805031,0.00628930817610063,0.00314465408805031,0.00628930817610063,0.00314465408805031,0.00314465408805031,0,0.00314465408805031,0,0,0,0,0.0125786163522013,0.00943396226415094,0.00628930817610063,0,0,0,0.00314465408805031,0.00628930817610063,0.00628930817610063,0,0.0125786163522013,0,0,0,0,0,0,0,0,0,0.00314465408805031,0,0.0125786163522013,0,0,0.00314465408805031,0.00628930817610063,0,0.00314465408805031,0,0,0,,0,0,0.0125786163522013,0,0,0,0,0.00943396226415094,0,0,0,0,0,0.00314465408805031,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0
115.0,0,0.535714285714286,0.00974025974025974,0,0.00324675324675325,0,0.00324675324675325,0,0,0,0,0,0.00974025974025974,0.00974025974025974,0,0.00324675324675325,0.00324675324675325,0.051948051948052,0.0454545454545455,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0.00324675324675325,0,0,0,0,0,0.00324675324675325,0,0.0876623376623377,0.0714285714285714,0,0.012987012987013,0.0162337662337662,0.00324675324675325,0,0,0,0.0227272727272727,0.00324675324675325,0.00649350649350649,0,0,0.00649350649350649,0.00324675324675325,0.012987012987013,0.00324675324675325,0,0,0.00649350649350649,0,0,0,0,0,0,0.00974025974025974,0.0162337662337662,0.00649350649350649,0,0,0,0,0.00324675324675325,0.00324675324675325,0,0.00324675324675325,0,0,0,0.00324675324675325,0,0,0.00324675324675325,0,0,0,0,0.00649350649350649,0,0,0.00324675324675325,0,0,0,0,0,,,0,0,0.00324675324675325,0,0,0.00324675324675325,0,0.0194805194805195,0,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0.00324675324675325,0,0,0,0,0
217.4,0,0.293929712460064,0.0287539936102236,0,0.00319488817891374,0.00319488817891374,0,0,0,0,0.00319488817891374,0,0.0479233226837061,0.00638977635782748,0,0,0,0.0383386581469649,0.0191693290734824,0,0,0,0,0.00319488817891374,0,0,0.00319488817891374,0,0,0.00319488817891374,0.00319488817891374,0,0,0,0,0.00319488817891374,0.012779552715655,0,0.12779552715655,0.0638977635782748,0,0.0511182108626198,0.012779552715655,0.012779552715655,0.00319488817891374,0,0.00958466453674121,0.0447284345047923,0.012779552715655,0.00319488817891374,0.00638977635782748,0,0.00319488817891374,0.0447284345047923,0.012779552715655,0.00319488817891374,0.00638977635782748,0.0159744408945687,0,0,0,0,0.0159744408945687,0,0,0.0223642172523962,0.00319488817891374,0,0,0,0,0.012779552715655,0.012779552715655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255591054313099,0,0,0,0,0,0,0,0,,,0,0.00319488817891374,0.00319488817891374,0.00958466453674121,0,0,0,0.00638977635782748,0,0.00319488817891374,0,0,0,0.00319488817891374,0,0,0,0,0.00319488817891374,0.00319488817891374,0.00638977635782748,0,0,0.00319488817891374,0,0
231.4,0,0.255172413793103,0.0344827586206897,0,0.00344827586206897,0.00344827586206897,0,0,0,0.00344827586206897,0.00344827586206897,0,0.00689655172413793,0.00689655172413793,0,0.00344827586206897,0.0137931034482759,0.0655172413793103,0.0379310344827586,0,0,0,0.00689655172413793,0,0,0,0.00344827586206897,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0689655172413793,0,0.0310344827586207,0.0103448275862069,0.00344827586206897,0,0,0,0.0689655172413793,0.00344827586206897,0.00344827586206897,0.00344827586206897,0,0.00344827586206897,0.0310344827586207,0.00689655172413793,0,0.0103448275862069,0.00344827586206897,0.00344827586206897,0,0,0,0,0,0,0.0137931034482759,0.0137931034482759,0.00689655172413793,0,0,0,0.0137931034482759,0.00689655172413793,0,0,0,0,0,0,0,0,0.00344827586206897,0.00344827586206897,0,0,0.00344827586206897,0,0.0241379310344828,0,0,0,0.00689655172413793,0,0,0.00344827586206897,0,,,0,0,0.0172413793103448,0.0103448275862069,0,0,0,0.0172413793103448,0,0.00344827586206897,0,0,0,0,0.00689655172413793,0,0,0,0,0,0,0,0,0.00689655172413793,0,0
289.6,0,0.54320987654321,0.0216049382716049,0,0.00925925925925926,0.00617283950617284,0,0,0.00617283950617284,0.00308641975308642,0,0,0.00308641975308642,0.00925925925925926,0,0,0.00617283950617284,0.0185185185185185,0.00617283950617284,0,0,0,0,0,0,0,0.00617283950617284,0,0,0.00308641975308642,0.00925925925925926,0,0,0,0,0,0,0,0.0679012345679012,0.0895061728395062,0,0.00617283950617284,0.0308641975308642,0.0154320987654321,0.00617283950617284,0.00308641975308642,0.00308641975308642,0.0308641975308642,0,0.00308641975308642,0,0,0,0.00308641975308642,0,0.00617283950617284,0.00308641975308642,0.00617283950617284,0,0,0,0,0.00925925925925926,0,0,0.0154320987654321,0.00925925925925926,0,0,0,0,0.0123456790123457,0.00308641975308642,0,0,0.00308641975308642,0,0,0,0.00308641975308642,0,0,0.00617283950617284,0,0,0,0,0.00617283950617284,0,0,0.00308641975308642,0.00308641975308642,0,0,0,0,,,0,0,0.0123456790123457,0.00308641975308642,0,0,0,0.00925925925925926,0,0,0,0,0,0,0.00308641975308642,0,0,0,0,0.00617283950617284,0,0,0,0.0185185185185185,0,0.00617283950617284
