depth,age,acer,alchemilla,allium-type,alnus,amaranthaceae,arbutus,armeria-type,artemisia,asphodelus,asteraceae,asteroideae,astragalus-type,berberis,betula,botryococcus,brassicaceae,bupleurum,caryophyllaceae,centaurea nigra-type,cheilanthes,cichorioideae,cistus,closterium,corylus,crassulaceae,cyperaceae,daphne,ephedra fragilis-type,ephedra major subsp. major,erica arborea,erodium,fabaceae,fallopia convolvulus/f. dumetorum,fraxinus angustifolia-type,gelasinospora,genista-type,helianthemum,helleborus foetidus,hypecoum,juglans regia,juncus,juniperus-type,lamiaceae,lamiaceae (hexacolpate),lamiaceae (tricolpate),liliaceae,olea,ononis-type,papaver,paronychia-type,phillyrea,pinus nigra-type,pinus pinaster,pistacia,plantago lanceolata-type,poaceae,poaceae (cerealia),polygala,polypodium,primula,prunus-type,quercus (deciduous),quercus (evergreen),rhamnus,rubiaceae,salix,sample quantity,scabiosa,sideritis,spirogyra (psilate),spirogyra (type 132,taxus,teucrium,thalictrum,typha angustifolia,ulmus,vitis,zygnema,zygnemataceae
86,3710.1,,,,,2,,,3,,7,2,,,,3,,,,,,5,,,,,,,,,,1,,26,3,,,,,,,,,,,,,,,,,,107,3,,,21,,,,,,3,,,,,28,,,1,,,,,,,,18,21
88,3746.9,,,,,1,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,35,4,,,,,,,,8,,,,,,,,,,146,,,,36,,,8,,,,,,,,25,2,,,,,,,,,,1,1
90,3783.2,,,,,2,,,,,8,,,,,,,,,,1,8,,,,,,,,,,,,125,12,,,,,,,,8,2,2,,,,,,,,70,,,,34,,,,,,3,,,,,30,,,,1,,,,1,,,16,16
96,4337.7,,,,,6,,,1,,21,,,,,8,,,2,,,21,,,,,,,,,,,,49,2,,,,,,,,9,,,,,,,,,,125,7,,,42,,1,,,,10,1,,,,21,,,,,,,,,,,,15
102,5168.9,1,,,,,,,13,,,,,,,17,,,,,,,,2,,,8,,,,,,,120,38,,,,,,,,11,,,,,,,,,,175,13,,,26,,,,,,3,,,,,20,,,2,,,,,1,,,28,69
108,6230.2,,,,,12,,,13,,,,,,,29,,,11,,,,,3,,,,,,,4,,,49,,2,,,,,,,,,,,,,,,,,96,3,,,21,,,,,,18,,,,,16,,,,,,,,,,,9,21
112,7082.4,,,,,,,1,,,28,4,,,,26,,,,,,24,,1,,,,,,,,,,18,8,,,,,6,,,26,1,,1,,,,,,,162,1,,,69,,,1,,,11,,,,,19,,,,,,,,,,,9,9
116,7965,,,,,4,,,5,,12,10,,,,18,,,,,,2,,3,,,,,,,,,,72,10,,,,,,,,11,,,,,,,,1,,168,2,,,48,,,,,,7,4,,,,17,2,,,,,,,,,,27,33
118,8396.8,,,,,11,,,70,,23,14,,,,17,,,,,,9,,21,,,,,,21,,,,,3,,,,,,,,6,5,1,4,,,,,,,48,,,,228,,,,,,,,,,,20,,,,,,,,,,,4,4
120,8827.7,,,,,10,,,50,,21,10,,,,8,9,,1,,,11,,11,,,,,,20,,,,,6,,,,,,,,9,11,,11,1,,,,,,26,,,,158,,,1,,,,,,,,21,,,,2,,,,,,,2,2
124,9131.5,,,,,12,,,26,,22,4,,,,6,,,,,,18,,19,,,,,,7,2,,,2,,,,,,,,,9,7,1,6,3,,,,,,28,,,,56,,,,,,,,,,,41,,,,,,,,,,,1,1
128,9406.9,,,,,6,,,14,,12,4,,,,,,,,,,8,,18,,,,,,2,,,,,,,,,,,,,7,1,1,,,,,,,,19,,,,68,,,,,,,,,,,31,,,,,,,,,,,1,1
